,URL,MEAN_G_RING,MEAN_GS_RING,MEAN_FG%_PER_GAME_RING,MEAN_3P_PER_GAME_RING,MEAN_3P%_PER_GAME_RING,MEAN_FT%_PER_GAME_RING,MEAN_ORB_PER_GAME_RING,MEAN_FTr_RING,MEAN_DRB%_RING,MEAN_STL%_RING,MEAN_TOV%_RING,MEAN_USG%_RING,MEAN_DBPM_RING,MEAN_OFF_TEAM_RTG_RING,MEAN_W/L%_TEAM_RING,MEAN_G_PLAYOFF_1stPO,MEAN_GS_PLAYOFF_1stPO,MEAN_FG%_PER_GAME_PLAYOFF_1stPO,MEAN_FT%_PER_GAME_PLAYOFF_1stPO,MEAN_3P%_PER_GAME_PLAYOFF_1stPO,MEAN_FTr_PLAYOFF_1stPO,MEAN_ORB%_PLAYOFF_1stPO,MEAN_DRB%_PLAYOFF_1stPO,MEAN_STL%_PLAYOFF_1stPO,MEAN_TOV%_PLAYOFF_1stPO,MEAN_USG%_PLAYOFF_1stPO,MEAN_OWS_PLAYOFF_1stPO,MEAN_G_PLAYOFF_SGFCT,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_FG%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_OFF_TEAM_RTG_SGFCT,ROY,DRAFT_PICK,AGE_ENTRANCE,IS_ACTIVE
59,/players/c/caldwke01.html,69.0,26.0,0.467,1.3,0.385,0.775,0.6,0.201,6.4,1.5,10.1,14.7,0.4,112.0,0.732,4.0,4.0,0.44,0.714,0.444,0.14,1.6,11.0,2.4,3.6,17.2,0.3,12.5,3.0,3,1,1,SG,81.0,0.3985,0.733,0.55,6.8500000000000005,16.7,105.6,108.05000000000001,108.0875,0,8,21,1
60,/players/c/campbel01.html,65.0,27.0,0.439,0.0,0.0,0.685,0.8,0.395,20.1,1.3,14.6,22.6,2.0,102.0,0.659,14.0,0.0,0.658,0.467,0.0,0.395,7.2,18.3,2.3,11.9,16.6,0.2,8.833333333333334,3.0,7,1,2,C,66.5,0.4515,0.636,5.550000000000001,10.5,16.9,109.9,106.95,105.9,0,27,23,0
61,/players/c/cardibr01.html,56.0,4.0,0.43,0.8,0.483,0.944,0.2,0.18,8.9,2.0,13.6,9.5,2.4,109.7,0.695,4.0,0.0,0.391,0.727,0.0,0.478,2.8,16.1,2.0,3.5,16.7,0.0,6.5,2.0,6,1,2,PF,11.5,0.3925,0.8055,0.55,9.4,15.85,102.4,102.1,105.475,0,44,24,0
62,/players/c/carusal01.html,64.0,2.0,0.412,0.6,0.333,0.734,0.3,0.323,9.8,2.8,13.8,13.8,2.4,112.0,0.732,21.0,1.0,0.425,0.8,0.279,0.265,3.5,7.6,2.2,19.7,13.4,0.2,12.5,2.5,2,1,2,PG,31.0,0.438,0.7484999999999999,1.4,20.9,15.95,107.15,108.75,110.4,0,-100,24,1
63,/players/c/cassesa01.html,55.0,10.5,0.417,0.525,0.33425,0.8514999999999999,0.375,0.29175,10.225,2.075,15.725,22.925,0.25,109.0,0.7225,22.0,0.0,0.394,0.865,0.378,0.463,4.8,8.8,2.3,19.6,23.3,0.6,13.3,2.75,8,4,1,PG,74.0,0.4225,0.842,0.45,18.5,20.85,107.80000000000001,104.4,107.12857142857142,0,24,25,0
64,/players/c/chalmma01.html,70.5,70.5,0.4385,1.6,0.39849999999999997,0.7935000000000001,0.25,0.20750000000000002,9.2,2.9,18.9,16.75,1.05,109.44999999999999,0.751,7.0,7.0,0.4,0.714,0.286,0.14,3.5,6.6,5.0,24.3,15.7,-0.1,16.5,3.6666666666666665,3,2,1,PG,77.5,0.4105,0.756,0.35,18.9,16.3,107.19999999999999,105.85,107.65,0,34,23,0
65,/players/c/chandty01.html,74.0,74.0,0.654,0.0,0.0,0.732,2.8,0.725,26.6,0.9,14.1,14.2,1.0,109.7,0.695,6.0,0.0,0.475,0.696,0.0,1.15,17.2,18.7,0.3,11.7,16.8,0.5,9.285714285714286,2.3333333333333335,9,1,2,C,73.0,0.514,0.606,4.6,18.950000000000003,17.35,99.2,106.6,105.53125,0,2,20,0
66,/players/c/chilcpe01.html,68.0,17.0,0.445,0.5,0.407,0.738,1.6,0.128,17.1,0.9,15.0,13.6,-0.6,109.7,0.573,20.0,15.0,0.484,0.824,0.389,0.266,5.5,15.3,1.1,13.3,11.9,0.5,20.0,1.75,8,1,1,PF,64.0,0.4685,0.7585,1.4,13.25,17.85,105.2,109.75,103.91111111111111,0,27,24,0
67,/players/c/clarkia01.html,77.0,0.0,0.487,0.8,0.374,0.759,0.3,0.134,9.0,1.7,10.7,19.5,-0.5,115.6,0.817,16.0,0.0,0.491,0.8,0.333,0.189,1.4,10.4,2.6,13.6,18.9,0.2,13.666666666666666,1.6,5,1,1,SG,26.5,0.3665,0.857,1.05,14.95,19.2,104.1,107.9,112.775,0,-100,23,0
68,/players/c/claxtsp01.html,30.0,0.0,0.462,0.0,0.0,0.684,0.7,0.393,8.0,2.5,17.1,20.2,1.1,105.6,0.732,5.0,0.0,0.333,0.667,0.0,0.5,2.3,0.0,5.6,17.0,16.9,0.0,14.5,1.5,6,1,1,PG,48.5,0.43100000000000005,0.761,0.65,16.4,19.2,103.85,100.0,104.0,0,20,24,0
