,URL,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_GS_2S,MEAN_FG%_PER_GAME_2S,MEAN_3P_PER_GAME_2S,MEAN_3P%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_ORB_PER_GAME_2S,MEAN_AST_PER_GAME_2S,MEAN_STL_PER_GAME_2S,MEAN_BLK_PER_GAME_2S,MEAN_PF_PER_GAME_2S,MEAN_PER_2S,MEAN_3PAr_2S,MEAN_FTr_2S,MEAN_ORB%_2S,MEAN_DRB%_2S,MEAN_AST%_2S,MEAN_STL%_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OWS_2S,MEAN_DBPM_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_W/L%_TEAM_2S,MEAN_GS_SGFCT,MEAN_OWS_SGFCT,MEAN_OFF_TEAM_RTG_SGFCT,MEAN_W/L%_TEAM_SGFCT,ALL-ROOKIE,ALL_STAR,ROY,HALL_OF_FAME,DRAFT_PICK,HEIGHT(cm),AGE_ENTRANCE,IS_ACTIVE
343,/players/g/gibsojo01.html,1.0,2,0,1,PG,10.5,0.0,0.4885,1.2,0.4165,0.362,0.05,1.25,0.25,0.0,1.25,17.45,0.498,0.1525,0.25,9.6,20.700000000000003,0.9,0.0,13.9,27.65,-0.09999999999999999,-0.75,106.6,106.35,0.5365,0.0,-0.3,105.6,0.402,0,0,0,0,-100,187.96,30,0
344,/players/g/giddejo01.html,1.0,1,0,1,SG,54.0,54.0,0.419,1.0,0.263,0.709,1.8,6.4,0.9,0.4,1.6,13.3,0.318,0.118,5.8,19.8,32.3,1.5,1.1,19.5,22.2,-1.3,0.3,104.6,112.8,0.293,54.0,-1.3,104.6,0.293,1,0,0,0,6,203.2,20,1
345,/players/g/giddejr01.html,2.0,2,0,1,SF,19.0,0.5,0.5670000000000001,0.0,0.0,0.2825,0.4,0.2,0.25,0.05,0.55,17.6,0.0835,0.1915,19.8,15.85,4.1,4.25,0.3,22.25,20.0,-0.05,1.9500000000000002,109.1,103.05,0.683,1.0,-0.1,107.7,0.61,0,0,0,0,30,195.58,24,0
346,/players/g/gildetr01.html,1.0,1,0,1,SF,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,30.9,0.0,0.0,0.0,23.4,0.0,10.3,0.0,0.0,8.8,0.0,13.6,108.3,109.9,0.488,0.0,0.0,108.3,0.488,0,0,0,0,-100,205.74,25,0
347,/players/g/gillebe01.html,1.0,1,0,1,C,24.0,0.0,0.316,0.0,0.0,0.565,0.3,0.1,0.1,0.2,1.2,5.0,0.0,1.211,8.8,20.8,3.1,1.1,2.8,14.7,16.7,-0.1,0.2,104.5,110.0,0.329,0.0,-0.1,104.5,0.329,0,0,0,0,-100,213.36,24,0
348,/players/g/gillefr01.html,1.0,2,0,1,PF,14.5,2.0,0.4665,0.0,0.0,0.563,1.75,0.55,0.5,1.0,2.1,11.45,0.0225,0.35550000000000004,11.45,18.25,4.550000000000001,1.4,6.0,13.75,11.55,0.2,0.45,108.25,112.5,0.3215,2.0,0.5,112.0,0.375,0,0,0,0,-100,205.74,24,1
349,/players/g/gladnmi01.html,1.0,3,1,1,PF,17.0,3.5,0.3785,0.0,0.0,0.25,0.3,0.25,0.15000000000000002,0.45,1.1,5.65,0.0,0.1015,5.4,30.450000000000003,6.3500000000000005,1.35,4.5,29.9,11.5,-0.1,1.3499999999999999,103.8,99.2,0.6439999999999999,7.0,-0.05,103.2,0.4695,0,0,0,0,-100,210.82,26,0
350,/players/g/glassge01.html,1.6,5,0,1,SF,63.0,22.0,0.439,0.1,0.207,0.65,1.25,1.5499999999999998,0.7,0.30000000000000004,1.9,14.55,0.056,0.184,8.0,9.7,13.55,2.1,0.95,9.95,26.7,-0.15000000000000002,-1.4,105.85,111.65,0.26849999999999996,13.5,0.024999999999999988,106.95,0.40249999999999997,0,0,0,0,20,195.58,24,0
351,/players/g/gloucge01.html,1.0,1,0,1,PF,49.0,16.0,0.402,0.0,1.0,0.574,0.6,0.7,0.5,0.5,2.5,5.7,0.005,0.584,4.8,18.9,5.3,1.5,1.8,22.4,17.5,-1.4,0.0,104.3,107.2,0.39,16.0,-1.4,104.3,0.39,0,0,0,0,148,203.2,26,0
352,/players/g/glovedi01.html,2.0,4,1,1,SG,43.5,4.0,0.403,0.30000000000000004,0.2315,0.7050000000000001,0.6,1.05,0.7,0.15000000000000002,1.25,12.350000000000001,0.2,0.307,4.2,8.35,11.4,2.3,0.7,12.5,21.5,0.05,-0.6000000000000001,100.35,106.1,0.323,26.0,0.38,101.17999999999999,0.38280000000000003,0,0,0,0,20,195.58,22,0
353,/players/g/glynian01.html,1.0,1,0,1,C,13.0,4.0,0.471,0.0,0.0,0.5,0.2,0.1,0.0,0.0,1.5,-3.3,0.0,0.118,2.9,9.0,1.8,0.0,0.0,33.5,15.1,-0.2,-2.6,107.2,110.3,0.378,4.0,-0.2,107.2,0.378,0,0,0,0,58,215.9,26,0
354,/players/g/godfrda01.html,1.0,2,0,1,C,5.5,0.0,0.2085,0.0,0.0,0.375,0.0,0.0,0.05,0.2,0.25,10.15,0.0415,0.1665,0.0,6.2,0.0,1.3,6.35,0.0,14.8,0.0,-0.5999999999999999,106.45,109.45,0.433,0.0,0.0,106.7,0.354,0,0,0,0,-100,208.28,24,0
355,/players/g/goldwan01.html,1.6,10,1,1,PG,51.0,19.0,0.3995,0.9500000000000001,0.40800000000000003,0.7745,0.2,3.2,0.5,0.0,1.7999999999999998,11.25,0.4515,0.27649999999999997,1.35,7.0,28.25,1.45,0.05,19.950000000000003,18.65,0.7999999999999999,-1.95,107.55000000000001,111.6,0.3415,13.0,1.1125,105.9125,0.39187500000000003,0,0,0,0,52,185.42,25,0
356,/players/g/gomesry01.html,2.0,4,0,2,SF,67.0,46.5,0.477,0.1,0.357,0.7815000000000001,1.7,1.3,0.6499999999999999,0.15000000000000002,1.8499999999999999,13.85,0.0415,0.371,7.8500000000000005,16.049999999999997,8.0,1.2000000000000002,0.35,11.45,17.2,2.2,-1.1,104.2,106.9,0.34750000000000003,61.5,2.0166666666666666,104.21666666666665,0.30483333333333335,1,0,0,0,50,200.66,24,0
357,/players/g/gondrgr01.html,1.0,2,0,1,SG,45.5,0.5,0.42500000000000004,0.1,0.254,0.6755,0.6499999999999999,1.3,0.45,0.05,1.35,11.350000000000001,0.08650000000000001,0.389,6.5,8.75,16.05,1.9,0.25,13.5,20.25,0.1,-0.75,104.4,110.25,0.34750000000000003,1.0,0.2,108.0,0.439,0,0,0,0,77,195.58,24,0
358,/players/g/goodrst01.html,1.0,2,0,2,PF,10.5,0.0,0.2945,0.05,0.1665,0.5355,0.35,0.55,0.15000000000000002,0.15000000000000002,1.15,1.5999999999999999,0.0835,0.2945,4.1,11.0,10.45,0.9,1.75,24.55,11.3,-0.1,-0.8,100.6,103.4,0.4085,0.0,-0.1,97.2,0.183,0,0,0,0,-100,208.28,25,0
359,/players/g/goodwar01.html,1.5,4,0,2,SG,46.5,1.0,0.42400000000000004,0.2,0.216,0.704,0.6,0.75,0.4,0.2,1.1,10.75,0.21,0.371,5.4,11.35,9.15,1.7999999999999998,1.4500000000000002,17.75,21.4,-0.25,-0.35,107.4,106.45,0.5305,5.0,-0.3,105.66666666666667,0.447,0,0,0,0,29,195.58,20,0
360,/players/g/goodwbr01.html,1.3333333333333333,3,0,1,PG,25.0,0.5,0.3305,0.45,0.316,0.8755,0.2,1.2,0.2,0.05,0.8500000000000001,9.95,0.35950000000000004,0.318,2.3,9.65,25.05,0.65,0.4,11.1,22.75,-0.05,-3.05,110.1,111.85,0.479,3.6666666666666665,-0.06666666666666667,111.60000000000001,0.46833333333333327,0,0,0,0,-100,182.88,24,1
361,/players/g/goodwjo01.html,1.0,1,0,1,SG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-20.4,0.333,0.0,0.0,18.2,0.0,0.0,0.0,0.0,22.2,-0.1,-9.4,111.1,114.5,0.427,0.0,-0.1,111.1,0.427,0,0,0,0,-100,190.5,24,1
