,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS,ORB,DRB,Unnamed: 27,Unnamed: 25
0,1988-89,LSU,SEC,32,36.9,11.2,23.1,0.486,8.6,16.3,0.526,2.6,6.8,0.389,5.1,6.3,0.815,3.4,4.1,1.7,0.2,3.5,2.2,30.2,6.44,/players/mahmoud-abdul-rauf-1.html,,,,,
1,1989-90,LSU,SEC,32,37.6,9.5,20.7,0.461,6.8,13.0,0.522,2.8,7.7,0.358,6.0,6.6,0.91,2.5,3.2,1.6,0.0,3.7,2.1,27.8,7.64,/players/mahmoud-abdul-rauf-1.html,,,,,
2,1995-96,California,Pac-10,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44,/players/shareef-abdur-rahim-1.html,28.0,,,,
3,1981-82,Boston College,Big East,26,14.6,2.0,4.0,0.495,,,,,,,1.4,2.3,0.59,1.2,1.5,1.1,0.1,1.1,1.1,5.3,5.83,/players/michael-adams-1.html,0.0,,,,
4,1982-83,Boston College,Big East,32,33.6,6.1,12.7,0.481,,,,,,,4.0,4.9,0.809,2.7,5.3,2.8,0.0,3.7,2.2,16.2,3.94,/players/michael-adams-1.html,,,,,
5,1983-84,Boston College,Big East,30,34.2,6.5,14.3,0.455,,,,,,,4.3,5.7,0.756,3.4,3.5,2.9,0.2,3.1,2.2,17.3,5.25,/players/michael-adams-1.html,,,,,
6,1984-85,Boston College,Big East,31,33.7,6.2,13.3,0.467,,,,,,,2.9,3.8,0.748,3.3,5.2,2.3,0.1,3.1,2.4,15.3,6.24,/players/michael-adams-1.html,,,,,
7,2012-13,Pitt,Big East,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0.0,0.0,,1.0,2.2,0.443,6.3,0.6,0.7,2.0,1.1,1.6,7.2,5.66,/players/steven-adams-1.html,32.0,2.8,3.5,,
8,2016-17,Kentucky,SEC,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,8.0,0.8,0.7,1.5,1.7,2.6,13.0,10.49,/players/edrice-adebayo-1.html,38.0,3.1,4.9,,
9,2004-05,Texas,Big 12,16,22.2,3.6,5.4,0.663,3.6,5.4,0.663,0.0,0.0,,2.8,4.2,0.657,5.9,0.9,1.1,1.5,1.8,3.1,9.9,7.56,/players/lamarcus-aldridge-1.html,16.0,2.7,3.3,,
10,2005-06,Texas,Big 12,37,33.7,5.9,10.4,0.569,5.9,10.4,0.569,0.0,0.0,,3.2,4.9,0.646,9.2,0.5,1.4,2.0,1.6,2.5,15.0,6.99,/players/lamarcus-aldridge-1.html,37.0,3.6,5.5,,
11,1995-96,Virginia,ACC,27,26.9,5.4,11.2,.487,4.8,9.9,.483,0.7,1.3,.514,2.3,3.0,.768,4.5,1.3,0.7,0.3,1.7,2.1,13.9,11.64,/players/courtney-alexander-1.html,,,,,
12,1996-97,Virginia,ACC,26,28.2,5.5,13.0,.420,3.9,9.5,.411,1.5,3.5,.444,2.3,3.0,.759,2.7,1.4,0.8,0.0,1.2,1.9,14.8,11.13,/players/courtney-alexander-1.html,20,,,,
13,1997-98,,,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,/players/courtney-alexander-1.html,Transfer,Transfer,Transfer,Transfer,
14,1998-99,Fresno State,WAC,32,32.0,8.3,17.6,.469,6.7,12.7,.528,1.6,4.9,.316,3.3,4.4,.757,3.8,2.6,1.6,0.2,2.4,1.0,21.4,3.54,/players/courtney-alexander-1.html,,,,,
15,1999-00,Fresno State,WAC,27,36.1,9.3,20.9,.447,7.2,14.4,.499,2.1,6.5,.331,4.0,5.1,.781,4.7,3.5,1.4,0.1,2.5,2.3,24.8,3.58,/players/courtney-alexander-1.html,27,,,,
16,1988-89,LSU,SEC,32,36.9,11.2,23.1,0.486,8.6,16.3,0.526,2.6,6.8,0.389,5.1,6.3,0.815,3.4,4.1,1.7,0.2,3.5,2.2,30.2,6.44,/players/mahmoud-abdul-rauf-1.html,,,,,
17,1989-90,LSU,SEC,32,37.6,9.5,20.7,0.461,6.8,13.0,0.522,2.8,7.7,0.358,6.0,6.6,0.91,2.5,3.2,1.6,0.0,3.7,2.1,27.8,7.64,/players/mahmoud-abdul-rauf-1.html,,,,,
18,1995-96,California,Pac-10,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44,/players/shareef-abdur-rahim-1.html,28,,,,
19,1981-82,Boston College,Big East,26,14.6,2.0,4.0,0.495,,,,,,,1.4,2.3,0.59,1.2,1.5,1.1,0.1,1.1,1.1,5.3,5.83,/players/michael-adams-1.html,0.0,,,,
20,1982-83,Boston College,Big East,32,33.6,6.1,12.7,0.481,,,,,,,4.0,4.9,0.809,2.7,5.3,2.8,0.0,3.7,2.2,16.2,3.94,/players/michael-adams-1.html,,,,,
21,1983-84,Boston College,Big East,30,34.2,6.5,14.3,0.455,,,,,,,4.3,5.7,0.756,3.4,3.5,2.9,0.2,3.1,2.2,17.3,5.25,/players/michael-adams-1.html,,,,,
22,1984-85,Boston College,Big East,31,33.7,6.2,13.3,0.467,,,,,,,2.9,3.8,0.748,3.3,5.2,2.3,0.1,3.1,2.4,15.3,6.24,/players/michael-adams-1.html,,,,,
23,2012-13,Pitt,Big East,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0.0,0.0,,1.0,2.2,0.443,6.3,0.6,0.7,2.0,1.1,1.6,7.2,5.66,/players/steven-adams-1.html,32,2.8,3.5,,
24,2016-17,Kentucky,SEC,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,8.0,0.8,0.7,1.5,1.7,2.6,13.0,10.49,/players/edrice-adebayo-1.html,38,3.1,4.9,,
25,2004-05,Texas,Big 12,16,22.2,3.6,5.4,0.663,3.6,5.4,0.663,0.0,0.0,,2.8,4.2,0.657,5.9,0.9,1.1,1.5,1.8,3.1,9.9,7.56,/players/lamarcus-aldridge-1.html,16,2.7,3.3,,
26,2005-06,Texas,Big 12,37,33.7,5.9,10.4,0.569,5.9,10.4,0.569,0.0,0.0,,3.2,4.9,0.646,9.2,0.5,1.4,2.0,1.6,2.5,15.0,6.99,/players/lamarcus-aldridge-1.html,37,3.6,5.5,,
27,1995-96,Virginia,ACC,27,26.9,5.4,11.2,.487,4.8,9.9,.483,0.7,1.3,.514,2.3,3.0,.768,4.5,1.3,0.7,0.3,1.7,2.1,13.9,11.64,/players/courtney-alexander-1.html,,,,,
28,1996-97,Virginia,ACC,26,28.2,5.5,13.0,.420,3.9,9.5,.411,1.5,3.5,.444,2.3,3.0,.759,2.7,1.4,0.8,0.0,1.2,1.9,14.8,11.13,/players/courtney-alexander-1.html,20,,,,
29,1997-98,,,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,/players/courtney-alexander-1.html,Transfer,Transfer,Transfer,Transfer,
30,1998-99,Fresno State,WAC,32,32.0,8.3,17.6,.469,6.7,12.7,.528,1.6,4.9,.316,3.3,4.4,.757,3.8,2.6,1.6,0.2,2.4,1.0,21.4,3.54,/players/courtney-alexander-1.html,,,,,
31,1999-00,Fresno State,WAC,27,36.1,9.3,20.9,.447,7.2,14.4,.499,2.1,6.5,.331,4.0,5.1,.781,4.7,3.5,1.4,0.1,2.5,2.3,24.8,3.58,/players/courtney-alexander-1.html,27,,,,
32,2016-17,Texas,Big 12,33,32.2,5.4,9.6,0.566,5.4,9.4,0.579,0.0,0.2,0.0,2.5,4.5,0.564,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75,/players/jarrett-allen-1.html,33,3.0,5.4,,
33,1993-94,UConn,Big East,34,21.6,4.6,9.1,0.51,3.7,6.7,0.548,1.0,2.4,0.402,2.4,3.0,0.792,4.6,1.4,1.1,0.2,1.4,1.4,12.6,6.26,/players/ray-allen-1.html,0,,,,
34,1994-95,UConn,Big East,32,32.8,8.0,16.3,0.489,5.3,10.3,0.515,2.7,6.0,0.445,2.5,3.4,0.727,6.8,2.3,1.9,0.5,2.0,1.7,21.1,7.65,/players/ray-allen-1.html,31,,,,
35,1995-96,UConn,Big East,35,34.7,8.3,17.7,0.472,5.1,10.6,0.477,3.3,7.1,0.466,3.4,4.2,0.81,6.5,3.3,1.7,0.5,2.3,1.3,23.4,8.19,/players/ray-allen-1.html,35,,,,
36,2002-03,Oklahoma State,Big 12,32,31.2,5.1,11.4,0.447,4.2,9.0,0.46,0.9,2.4,0.395,3.3,4.8,0.691,5.4,2.7,1.9,0.8,2.8,2.9,14.4,8.46,/players/tony-allen-1.html,28,1.6,3.8,,
37,2003-04,Oklahoma State,Big 12,35,31.6,5.8,11.6,0.504,5.2,9.5,0.55,0.6,2.1,0.297,3.7,5.5,0.675,5.5,3.1,2.1,0.9,2.8,3.0,16.0,7.23,/players/tony-allen-1.html,34,1.8,3.7,,
38,1992-93,Ohio State,Big Ten,22,26.7,3.3,7.2,.456,2.9,5.6,.512,0.4,1.6,.257,3.3,4.0,.809,3.3,2.7,2.0,0.2,2.3,3.0,10.2,10.93,/players/derek-anderson-1.html,8,,,,
39,1993-94,Ohio State,Big Ten,22,31.6,4.9,10.5,.466,4.0,7.7,.512,1.0,2.8,.339,4.2,5.1,.814,4.9,4.9,2.0,0.1,2.9,2.6,15.0,11.74,/players/derek-anderson-1.html,22,,,,
40,1994-95-RS,Kentucky,SEC,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,/players/derek-anderson-1.html,Transfer,Transfer,Transfer,Transfer,
41,1995-96,Kentucky,SEC,36,19.4,3.3,6.4,.509,2.6,4.8,.550,0.6,1.6,.390,2.2,2.8,.784,3.4,2.4,1.7,0.2,1.4,2.3,9.4,10.05,/players/derek-anderson-1.html,24,,,,
42,1996-97,Kentucky,SEC,19,25.3,5.8,11.9,.491,3.8,6.9,.553,2.0,4.9,.404,4.1,5.0,.811,4.1,3.5,1.9,0.1,1.7,2.1,17.7,9.26,/players/derek-anderson-1.html,16,,,,
43,1983-84,Houston,SWC,35,11.8,1.4,2.9,0.485,,,,,,,0.5,1.0,0.528,3.5,0.1,0.4,0.7,0.4,1.5,3.3,4.93,/players/greg-anderson-1.html,,,,,
44,1984-85,Houston,SWC,30,31.0,6.6,11.5,0.573,,,,,,,2.3,4.3,0.535,8.1,0.7,1.1,2.4,2.3,3.3,15.4,4.94,/players/greg-anderson-1.html,30.0,,,,
45,1985-86,Houston,SWC,28,37.7,7.7,13.4,0.572,,,,,,,3.8,6.5,0.586,12.9,0.7,1.5,2.7,2.9,3.3,19.1,4.05,/players/greg-anderson-1.html,,,,,
46,1986-87,Houston,SWC,30,35.2,7.2,13.6,0.526,7.2,13.6,0.526,0.0,0.0,,3.9,6.4,0.604,10.6,0.6,1.4,1.9,3.0,2.5,18.2,4.5,/players/greg-anderson-1.html,30.0,,,,
47,1983-84,Houston,SWC,35,11.8,1.4,2.9,0.485,,,,,,,0.5,1.0,0.528,3.5,0.1,0.4,0.7,0.4,1.5,3.3,4.93,/players/greg-anderson-1.html,,,,,
48,1984-85,Houston,SWC,30,31.0,6.6,11.5,0.573,,,,,,,2.3,4.3,0.535,8.1,0.7,1.1,2.4,2.3,3.3,15.4,4.94,/players/greg-anderson-1.html,30.0,,,,
49,1985-86,Houston,SWC,28,37.7,7.7,13.4,0.572,,,,,,,3.8,6.5,0.586,12.9,0.7,1.5,2.7,2.9,3.3,19.1,4.05,/players/greg-anderson-1.html,,,,,
50,1986-87,Houston,SWC,30,35.2,7.2,13.6,0.526,7.2,13.6,0.526,0.0,0.0,,3.9,6.4,0.604,10.6,0.6,1.4,1.9,3.0,2.5,18.2,4.5,/players/greg-anderson-1.html,30.0,,,,
51,1989-90,Georgia Tech,ACC,35,37.7,8.1,15.7,0.515,6.7,12.3,0.544,1.4,3.3,0.41,3.1,4.2,0.733,5.5,8.1,2.3,0.1,4.0,1.9,20.6,10.33,/players/kenny-anderson-1.html,35,,,,
52,1990-91,Georgia Tech,ACC,30,38.9,9.3,21.2,0.437,7.1,15.0,0.472,2.2,6.2,0.351,5.2,6.2,0.829,5.7,5.6,3.0,0.1,3.8,2.3,25.9,10.83,/players/kenny-anderson-1.html,29,,,,
53,2006-07,California,Pac-10,33,33.2,5.7,12.0,0.476,4.0,7.4,0.535,1.8,4.6,0.382,3.1,3.9,0.798,8.2,0.5,0.7,0.5,1.4,2.8,16.3,8.67,/players/ryan-anderson-1.html,33,2.4,5.8,,
54,2007-08,California,Pac-10,33,32.8,7.0,14.2,0.49,5.0,9.5,0.53,1.9,4.7,0.41,5.2,6.0,0.869,9.9,1.4,0.4,0.5,2.2,2.2,21.1,8.45,/players/ryan-anderson-1.html,33,3.0,6.9,,
55,1992-93,Georgia,SEC,29,19.1,3.4,6.9,0.493,3.1,6.0,0.514,0.3,0.9,0.346,2.2,3.6,0.61,3.6,1.5,1.8,0.2,2.2,2.1,9.3,10.02,/players/shandon-anderson-1.html,0,,,,
56,1993-94,Georgia,SEC,30,28.6,5.2,10.8,0.485,5.0,9.7,0.521,0.2,1.1,0.176,3.1,4.7,0.66,5.6,3.8,2.0,0.3,3.6,2.9,13.8,7.53,/players/shandon-anderson-1.html,30,,,,
57,1994-95,Georgia,SEC,28,30.8,5.3,11.3,0.473,4.7,9.4,0.504,0.6,1.9,0.321,2.0,3.4,0.589,5.2,3.0,1.6,0.3,3.1,2.7,13.3,6.04,/players/shandon-anderson-1.html,29,,,,
58,1995-96,Georgia,SEC,31,28.3,5.7,10.5,0.538,5.2,8.9,0.582,0.5,1.7,0.308,3.0,4.6,0.657,5.5,2.7,1.8,0.5,2.5,2.4,14.9,8.13,/players/shandon-anderson-1.html,31,,,,
59,1984-85,Georgia,SEC,13,6.2,1.5,3.0,0.487,,,,,,,0.4,0.6,0.625,1.5,0.3,0.2,0.2,0.6,0.5,3.3,7.17,/players/willie-anderson-1.html,,,,,
60,1985-86,Georgia,SEC,29,17.0,3.4,6.8,0.508,,,,,,,1.7,2.1,0.787,3.4,1.4,1.0,0.7,1.8,2.4,8.5,7.95,/players/willie-anderson-1.html,0.0,,,,
61,1986-87,Georgia,SEC,30,34.9,6.2,12.5,0.5,5.4,10.3,0.523,0.8,2.1,0.391,2.6,3.2,0.794,4.1,5.0,1.4,1.6,3.8,2.7,15.9,8.91,/players/willie-anderson-1.html,29.0,,,,
62,1987-88,Georgia,SEC,35,33.2,6.9,13.8,0.5,6.6,12.5,0.527,0.3,1.3,0.227,2.6,3.3,0.784,5.1,4.0,1.9,1.4,3.7,2.8,16.7,7.61,/players/willie-anderson-1.html,,,,,
63,2017-18,Dayton,A-10,29,15.1,2.0,3.5,0.574,1.9,3.0,0.651,0.1,0.5,0.133,1.1,2.2,0.516,2.9,0.4,0.2,1.1,1.3,2.3,5.2,2.71,/players/kostas-antetokounmpo-1.html,6,0.8,2.0,,
64,2002-03,Syracuse,Big East,35,36.4,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,10.0,2.2,1.6,0.9,2.2,2.2,22.2,9.02,/players/carmelo-anthony-1.html,35,2.9,7.1,,
65,2004-05,UNLV,MWC,31,13.6,0.7,1.4,0.5,0.7,1.4,0.5,0.0,0.0,,0.5,0.9,0.483,2.7,0.2,0.2,1.5,0.4,1.9,1.9,5.61,/players/joel-anthony-1.html,3,1.2,1.5,,
66,2006-07,UNLV,MWC,37,18.1,2.2,3.6,0.597,2.2,3.6,0.597,0.0,0.0,,0.9,1.4,0.604,4.1,0.4,0.5,2.9,0.8,2.4,5.2,5.37,/players/joel-anthony-1.html,6,1.7,2.4,,
67,2015-16,Indiana,Big Ten,34,13.7,1.9,3.4,0.569,1.6,2.6,0.609,0.4,0.9,0.448,0.6,1.2,0.476,2.6,0.5,0.8,0.8,0.8,1.5,4.9,6.9,/players/og-anunoby-1.html,0,1.2,1.4,,
68,2016-17,Indiana,Big Ten,16,25.1,4.3,7.6,0.557,3.4,4.8,0.701,0.9,2.8,0.311,1.7,3.0,0.563,5.4,1.4,1.3,1.3,1.6,2.1,11.1,8.16,/players/og-anunoby-1.html,10,1.8,3.7,,
69,1999-00,Arizona,Pac-10,34,32.1,5.5,12.1,0.453,4.4,8.3,0.527,1.1,3.8,0.292,3.3,4.4,0.75,4.1,2.1,2.1,0.3,2.6,2.4,15.4,9.7,/players/gilbert-arenas-1.html,31,,,,
70,2000-01,Arizona,Pac-10,36,29.0,5.8,12.1,0.479,3.9,7.4,0.519,1.9,4.6,0.416,2.7,3.7,0.724,3.6,2.3,1.8,0.2,2.8,2.3,16.2,12.56,/players/gilbert-arenas-1.html,33,0.8,2.8,,
71,2003-04,UCLA,Pac-10,25,31.6,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.237,2.3,4.5,0.504,6.5,2.1,1.7,0.4,3.2,2.8,11.6,6.82,/players/trevor-ariza-1.html,23,2.4,4.0,,
72,1985-86,Iowa,Big Ten,29,8.0,1.1,2.3,0.485,,,,,,,0.7,0.7,0.905,0.6,1.4,0.3,0.0,0.7,0.6,2.9,9.28,/players/bj-armstrong-1.html,3,,,,
73,1986-87,Iowa,Big Ten,35,28.4,4.4,8.4,0.519,3.6,6.9,0.519,0.8,1.5,0.519,2.9,3.6,0.794,2.5,4.2,1.4,0.0,2.3,1.6,12.4,7.98,/players/bj-armstrong-1.html,35,,,,
74,1987-88,Iowa,Big Ten,34,30.1,6.0,12.4,0.482,4.1,8.4,0.496,1.8,4.0,0.453,3.6,4.3,0.849,2.2,4.6,1.8,0.0,2.3,1.0,17.4,9.76,/players/bj-armstrong-1.html,34,,,,
75,1988-89,Iowa,Big Ten,32,31.7,6.1,12.6,0.484,4.7,9.0,0.519,1.4,3.6,0.397,5.0,6.0,0.833,2.5,5.4,1.8,0.2,2.4,1.6,18.6,9.71,/players/bj-armstrong-1.html,31,,,,
76,1992-93,South Florida,Metro,27,32.1,3.5,8.2,0.425,2.0,4.4,0.442,1.5,3.7,0.406,1.7,2.7,0.639,3.4,4.0,1.0,0.1,3.1,1.9,10.2,3.66,/players/chucky-atkins-1.html,27.0,,,,
77,1993-94,South Florida,Metro,26,30.3,3.7,10.3,0.357,2.3,5.2,0.437,1.4,5.2,0.276,2.7,3.6,0.745,2.4,4.0,0.7,0.0,2.5,1.8,11.5,5.57,/players/chucky-atkins-1.html,25.0,,,,
78,1994-95,South Florida,Metro,30,35.6,5.4,13.0,0.414,2.6,5.7,0.453,2.8,7.3,0.384,3.3,4.4,0.748,3.2,6.5,1.2,0.0,3.3,1.8,16.8,3.07,/players/chucky-atkins-1.html,,,,,
79,1995-96,South Florida,CUSA,28,38.0,6.3,14.5,0.432,3.3,6.6,0.503,2.9,7.9,0.373,3.9,5.0,0.773,3.0,4.0,1.3,0.3,3.3,1.9,19.3,3.4,/players/chucky-atkins-1.html,,,,,
80,1987-88,UNLV,PCAA,34,26.0,3.4,6.0,0.574,3.4,5.9,0.569,0.1,0.1,1.0,2.2,3.4,0.647,6.1,1.9,2.0,0.7,2.1,3.1,9.1,5.64,/players/stacey-augmon-1.html,,,,,
81,1988-89,UNLV,Big West,37,29.5,5.7,10.9,0.519,4.6,8.3,0.55,1.1,2.6,0.418,2.9,4.3,0.663,7.4,2.7,1.6,0.7,2.4,2.8,15.3,6.66,/players/stacey-augmon-1.html,36.0,,,,
82,1989-90,UNLV,Big West,39,31.9,5.4,9.7,0.553,5.0,8.5,0.588,0.4,1.3,0.32,3.0,4.5,0.67,6.9,3.7,1.8,1.3,2.3,2.5,14.2,9.43,/players/stacey-augmon-1.html,,,,,
83,1990-91,UNLV,Big West,35,30.3,6.3,10.7,0.587,5.2,8.4,0.619,1.1,2.3,0.469,2.9,4.0,0.727,7.3,3.6,2.2,0.8,1.8,2.2,16.5,4.34,/players/stacey-augmon-1.html,,,,,
84,2006-07,Texas,Big 12,35,35.6,4.4,9.8,0.449,3.1,6.9,0.452,1.3,2.9,0.441,4.3,5.1,0.838,2.8,6.7,1.5,0.1,3.3,2.3,14.4,6.12,/players/dj-augustin-1.html,35,0.6,2.2,,
85,2007-08,Texas,Big 12,38,37.3,6.4,14.5,0.439,4.4,9.4,0.471,1.9,5.1,0.381,4.6,5.8,0.783,2.9,5.8,1.2,0.0,2.8,1.6,19.2,8.59,/players/dj-augustin-1.html,38,0.5,2.4,,
86,1989-90,Arizona State,Pac-10,31,27.4,5.3,9.7,0.547,5.3,9.6,0.548,0.0,0.0,0.0,3.1,4.8,0.647,6.2,0.9,0.6,0.8,2.5,3.0,13.7,7.01,/players/isaac-austin-1.html,,,,,
87,1990-91,Arizona State,Pac-10,30,30.2,6.3,11.0,0.571,6.3,11.0,0.573,0.0,0.0,0.0,3.7,5.9,0.629,8.7,1.9,1.0,0.6,2.5,2.8,16.3,8.92,/players/isaac-austin-1.html,,,,,
88,2005-06,Arizona State,Pac-10,27,25.5,4.3,8.6,0.494,4.3,8.6,0.498,0.0,0.1,0.0,2.4,3.3,0.73,6.1,0.6,0.4,0.9,1.9,3.4,10.9,7.18,/players/jeff-pendergraph-1.html,22,2.1,4.0,,
89,2006-07,Arizona State,Pac-10,30,33.6,4.8,8.8,0.551,4.8,8.6,0.562,0.0,0.2,0.0,2.4,3.3,0.73,9.1,0.9,0.6,0.7,2.3,3.5,12.1,7.95,/players/jeff-pendergraph-1.html,29,3.9,5.1,,
90,2007-08,Arizona State,Pac-10,34,28.4,4.5,7.6,0.593,4.5,7.6,0.595,0.0,0.0,0.0,3.4,4.3,0.793,6.4,0.9,0.4,1.6,2.0,3.1,12.4,6.28,/players/jeff-pendergraph-1.html,34,2.2,4.2,,
91,2008-09,Arizona State,Pac-10,35,32.5,5.7,8.6,0.66,5.7,8.5,0.662,0.0,0.0,0.0,3.2,4.1,0.779,8.2,0.9,0.5,0.9,1.2,2.7,14.5,7.82,/players/jeff-pendergraph-1.html,35,2.5,5.7,,
92,2017-18,Arizona,Pac-12,35,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,0.343,4.0,5.5,0.733,11.6,1.6,0.6,1.9,2.0,2.3,20.1,6.84,/players/deandre-ayton-1.html,35,3.4,8.2,,
93,2017-18,Duke,ACC,33,33.9,8.2,13.3,0.614,7.5,11.6,0.647,0.7,1.8,0.397,4.0,6.3,0.627,11.1,1.5,0.8,0.9,2.3,1.8,21.0,9.7,/players/marvin-bagleyiii-1.html,32,4.0,7.1,,
94,1989-90,Hartford,NAC,28,13.4,2.1,3.4,0.617,2.1,3.4,0.617,0.0,0.0,,0.6,1.5,0.39,2.9,0.3,0.3,1.7,1.0,3.1,4.7,-6.68,/players/vin-baker-1.html,,,,,
95,1990-91,Hartford,NAC,29,31.0,7.4,15.2,0.491,7.4,15.2,0.491,0.0,0.0,,4.7,7.0,0.678,10.4,0.6,1.1,2.0,2.8,3.3,19.6,-4.2,/players/vin-baker-1.html,29.0,,,,
96,1991-92,Hartford,NAC,27,36.9,10.4,23.6,0.44,8.9,19.0,0.467,1.5,4.6,0.331,5.3,8.0,0.657,9.9,1.3,1.3,3.7,3.3,2.6,27.6,-7.37,/players/vin-baker-1.html,27.0,,,,
97,1992-93,Hartford,NAC,28,36.4,10.9,22.8,0.477,9.8,18.6,0.525,1.1,4.3,0.269,5.4,8.6,0.625,10.7,1.9,1.4,2.6,2.9,2.8,28.3,-6.09,/players/vin-baker-1.html,28.0,,,,
98,2016-17,UCLA,Pac-12,36,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,6.0,7.6,1.8,0.8,2.5,1.8,14.6,6.39,/players/lonzo-ball-1.html,36,0.9,5.1,,
99,2016-17,TCU,Big 12,39,20.7,2.6,5.1,0.515,1.8,3.1,0.605,0.8,2.0,0.38,1.1,1.4,0.768,2.9,1.0,0.3,0.2,1.0,1.9,7.1,10.95,/players/desmond-bane-1.html,13,0.7,2.2,,
100,2017-18,TCU,Big 12,33,30.5,4.4,8.2,0.539,2.6,4.3,0.61,1.8,3.9,0.461,1.9,2.5,0.78,4.1,2.5,0.9,0.2,1.8,2.3,12.5,9.68,/players/desmond-bane-1.html,32,0.5,3.6,,
101,2018-19,TCU,Big 12,37,35.5,5.8,11.6,0.502,4.0,7.2,0.549,1.8,4.3,0.425,1.8,2.0,0.867,5.7,2.4,1.1,0.5,1.3,2.3,15.2,9.6,/players/desmond-bane-1.html,37,1.3,4.4,,
102,2019-20,TCU,Big 12,32,36.0,6.2,13.6,0.452,3.3,7.1,0.461,2.9,6.5,0.442,1.4,1.8,0.789,6.3,3.9,1.5,0.5,2.3,2.2,16.6,10.09,/players/desmond-bane-1.html,32,1.4,4.9,,
103,2002-03,Northeastern,AEC,28,32.2,5.6,13.9,0.407,3.9,8.4,0.466,1.7,5.4,0.316,4.0,5.1,0.785,3.0,3.9,1.6,0.0,2.8,2.6,17.0,-4.81,/players/jose-barea-1.html,28,0.8,2.3,,
104,2003-04,Northeastern,AEC,26,34.2,6.9,18.0,0.385,4.1,10.1,0.407,2.8,7.8,0.358,4.0,5.6,0.719,3.6,5.8,1.7,0.0,3.0,2.4,20.7,-6.19,/players/jose-barea-1.html,25,0.8,2.8,,
105,2004-05,Northeastern,AEC,30,33.2,7.8,18.5,0.419,5.5,11.5,0.48,2.3,7.1,0.321,4.4,5.6,0.784,4.3,7.3,1.8,0.0,4.5,2.5,22.2,-2.97,/players/jose-barea-1.html,30,0.7,3.6,,
106,2005-06,Northeastern,CAA,29,33.6,7.2,18.0,0.4,4.9,10.2,0.485,2.3,7.8,0.291,4.3,5.7,0.764,4.4,8.4,1.3,0.0,4.7,2.8,21.0,-0.3,/players/jose-barea-1.html,29,1.1,3.4,,
107,2010-11,UNC,ACC,37,29.4,5.6,13.4,0.421,3.8,8.2,0.47,1.8,5.3,0.344,2.5,3.4,0.75,5.8,1.4,0.7,0.4,1.9,1.9,15.6,10.15,/players/harrison-barnes-1.html,36,2.0,3.8,,
108,2011-12,UNC,ACC,38,29.2,6.0,13.7,0.44,4.7,10.1,0.469,1.3,3.6,0.358,3.7,5.1,0.723,5.2,1.1,1.1,0.3,1.9,1.8,17.1,7.07,/players/harrison-barnes-1.html,37,1.9,3.3,,
109,1998-99,UCLA,Pac-10,30,13.1,1.4,3.3,0.434,1.1,2.2,0.508,0.3,1.1,0.294,0.7,1.5,0.478,2.9,0.8,0.3,0.2,1.0,1.9,3.9,8.86,/players/matt-barnes-1.html,8,,,,
110,1999-00,UCLA,Pac-10,28,14.8,2.3,4.9,0.471,2.1,3.8,0.566,0.2,1.1,0.156,0.8,1.5,0.488,2.6,1.0,0.7,0.4,1.3,1.3,5.6,10.11,/players/matt-barnes-1.html,1,,,,
111,2000-01,UCLA,Pac-10,32,30.3,4.4,9.3,0.478,4.3,8.5,0.511,0.1,0.8,0.12,2.7,4.6,0.574,7.3,2.7,1.6,0.6,2.7,3.2,11.6,12.07,/players/matt-barnes-1.html,26,2.7,4.6,,
