,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS,ORB,DRB,Unnamed: 27,Unnamed: 25
544,1987-88,Duke,ACC,35,32.5,7.1,14.8,0.476,6.0,11.7,0.51,1.1,3.1,0.349,3.9,4.7,0.828,7.6,4.0,1.3,0.7,2.9,2.7,19.1,8.38,/players/danny-ferry-1.html,35,,,,
545,1988-89,Duke,ACC,35,33.2,8.6,16.4,0.522,7.3,13.4,0.544,1.3,3.0,0.425,4.2,5.5,0.756,7.4,4.7,1.6,0.6,3.3,2.5,22.6,8.2,/players/danny-ferry-1.html,35,,,,
546,2006-07,Stanford,Pac-10,30,14.0,1.5,4.1,0.363,0.8,1.9,0.431,0.7,2.2,0.303,0.5,0.8,0.652,2.5,0.7,0.2,0.1,0.8,1.0,4.2,9.06,/players/landry-fields-1.html,0,0.8,1.7,,
547,2007-08,Stanford,Pac-10,33,12.6,1.4,3.8,0.362,0.7,2.0,0.369,0.7,1.9,0.355,0.6,1.0,0.625,2.0,1.0,0.3,0.2,0.8,1.2,4.1,6.95,/players/landry-fields-1.html,0,0.5,1.5,,
548,2008-09,Stanford,Pac-10,34,30.7,4.7,9.4,0.498,3.8,6.9,0.547,0.9,2.6,0.368,2.3,3.5,0.65,6.6,1.9,1.2,0.5,1.9,2.1,12.6,6.91,/players/landry-fields-1.html,33,2.3,4.3,,
549,2009-10,Stanford,Pac-10,32,36.3,7.8,15.8,0.49,6.8,13.1,0.521,0.9,2.7,0.337,5.6,8.0,0.696,8.8,2.8,1.6,0.8,2.6,2.0,22.0,6.5,/players/landry-fields-1.html,32,2.5,6.2,,
550,1991-92,Wisconsin,Big Ten,31,29.7,4.2,9.3,0.453,3.4,6.9,0.484,0.8,2.3,0.361,3.1,4.1,0.742,4.9,2.7,0.9,0.8,2.8,2.4,12.3,7.83,/players/michael-finley-1.html,28,,,,
551,1992-93,Wisconsin,Big Ten,28,35.0,8.0,17.1,0.467,5.7,10.9,0.525,2.3,6.2,0.364,4.0,5.1,0.771,5.8,3.1,1.8,0.6,2.7,2.8,22.1,6.72,/players/michael-finley-1.html,28,,,,
552,1993-94,Wisconsin,Big Ten,29,36.1,7.2,15.4,0.466,4.9,9.1,0.538,2.3,6.3,0.363,3.8,4.8,0.786,6.7,3.2,1.4,0.7,2.6,2.3,20.4,9.93,/players/michael-finley-1.html,29,,,,
553,1994-95,Wisconsin,Big Ten,27,37.0,6.6,17.4,0.379,4.4,9.9,0.451,2.1,7.6,0.284,5.2,6.7,0.773,5.2,4.0,1.9,0.6,3.0,2.7,20.5,6.97,/players/michael-finley-1.html,27,,,,
554,1992-93,Little Rock,Sun Belt,27,27.7,2.1,5.1,0.413,1.8,4.0,0.449,0.3,1.1,0.29,2.6,3.4,0.772,3.3,3.4,1.4,0.1,1.9,2.6,7.2,-0.24,/players/derek-fisher-1.html,22,,,,
555,1993-94,Little Rock,Sun Belt,28,31.7,3.4,7.6,0.443,2.5,5.6,0.452,0.8,2.0,0.418,2.6,3.3,0.774,3.9,3.6,1.6,0.0,2.6,3.2,10.1,-3.0,/players/derek-fisher-1.html,28,,,,
556,1994-95,Little Rock,Sun Belt,27,34.7,5.7,14.1,0.401,4.1,10.0,0.409,1.6,4.2,0.381,4.8,6.7,0.722,5.0,4.6,1.6,0.3,2.6,2.3,17.7,-5.31,/players/derek-fisher-1.html,24,,,,
557,1995-96,Little Rock,Sun Belt,30,36.0,4.3,10.4,0.41,2.6,6.1,0.429,1.7,4.3,0.385,4.2,5.6,0.746,5.2,5.1,1.9,0.1,2.7,2.1,14.5,-1.04,/players/derek-fisher-1.html,30,,,,
558,1997-98,Iowa State,Big 12,30,27.2,5.8,12.2,0.474,5.8,12.1,0.477,0.0,0.1,0.0,3.4,5.5,0.616,6.7,0.6,1.1,0.9,2.7,2.5,14.9,6.01,/players/marcus-fizer-1.html,25,,,,
559,1998-99,Iowa State,Big 12,30,32.0,6.3,14.1,0.45,6.1,13.1,0.467,0.2,0.9,0.214,5.1,6.9,0.736,7.6,1.1,1.0,0.8,2.3,2.6,18.0,5.74,/players/marcus-fizer-1.html,29,,,,
560,1999-00,Iowa State,Big 12,37,33.6,8.8,15.2,0.582,8.4,14.1,0.6,0.4,1.1,0.357,4.7,6.5,0.732,7.7,1.1,0.8,1.1,2.1,2.8,22.8,7.14,/players/marcus-fizer-1.html,37,,,,
561,2007-08,Syracuse,Big East,35,35.5,5.5,11.9,0.459,3.9,7.3,0.529,1.6,4.6,0.348,3.1,4.1,0.775,2.7,5.3,1.5,0.2,2.7,1.5,15.7,7.96,/players/jonny-flynn-1.html,35,0.6,2.1,,
562,2008-09,Syracuse,Big East,38,37.3,5.8,12.5,0.46,4.6,8.8,0.521,1.2,3.7,0.317,4.7,6.0,0.786,2.7,6.7,1.4,0.2,3.4,1.4,17.4,9.48,/players/jonny-flynn-1.html,38,0.6,2.2,,
563,2012-13,Cleveland State,Horizon,32,28.3,4.3,9.8,0.433,2.3,4.9,0.478,1.9,4.9,0.389,2.3,2.9,0.804,3.5,1.2,0.8,0.0,1.7,1.8,12.7,-0.16,/players/bryn-forbes-1.html,18,0.8,2.7,,
564,2013-14,Cleveland State,Horizon,32,34.4,4.8,11.1,0.434,2.3,5.1,0.445,2.5,6.0,0.424,3.4,4.1,0.826,3.1,1.7,0.8,0.0,1.6,1.6,15.6,-0.52,/players/bryn-forbes-1.html,32,0.7,2.4,,
565,2014-15,Michigan State,Big Ten,39,26.2,2.8,6.3,0.447,1.0,2.1,0.488,1.8,4.2,0.427,1.1,1.3,0.808,1.4,1.0,0.6,0.1,0.8,1.6,8.5,10.0,/players/bryn-forbes-1.html,24,0.2,1.2,,
566,2015-16,Michigan State,Big Ten,35,28.1,4.7,9.8,0.481,1.5,3.1,0.482,3.2,6.7,0.481,1.8,2.1,0.84,2.1,1.5,0.4,0.0,0.9,1.5,14.4,6.94,/players/bryn-forbes-1.html,34,0.3,1.7,,
567,2001-02,Texas,Big 12,33,32.4,3.7,9.0,0.413,3.6,8.0,0.445,0.2,1.0,0.152,3.2,4.2,0.775,3.8,8.3,2.2,0.1,4.0,2.8,10.8,9.98,/players/tj-ford-1.html,33,0.7,3.1,,
568,2002-03,Texas,Big 12,33,33.6,4.8,12.0,0.401,4.3,10.0,0.429,0.5,2.1,0.265,4.8,5.9,0.82,3.9,7.7,2.0,0.2,3.2,2.5,15.0,9.28,/players/tj-ford-1.html,33,0.6,3.2,,
569,1986-87,UCLA,Pac-10,31,14.2,1.4,2.8,0.5,1.4,2.8,0.5,0.0,0.0,,0.4,0.8,0.5,2.5,0.8,0.2,0.8,0.8,2.0,3.3,6.87,/players/greg-foster-1.html,0,,,,
570,1987-88,UCLA,Pac-10,11,26.5,3.5,6.7,0.527,3.5,6.7,0.527,0.0,0.0,,1.5,3.4,0.432,5.5,1.2,0.2,1.8,2.2,3.3,8.5,7.08,/players/greg-foster-1.html,11,,,,
571,1988-89,UTEP,WAC,26,28.0,4.5,9.3,0.481,4.5,9.3,0.483,0.0,0.0,0.0,2.1,3.2,0.651,7.3,0.7,0.2,0.8,2.2,3.1,11.1,3.41,/players/greg-foster-1.html,24,,,,
572,1989-90,UTEP,WAC,32,26.2,4.2,9.0,0.462,4.2,8.9,0.465,0.0,0.1,0.0,2.3,2.8,0.811,6.2,1.0,0.4,1.2,1.8,3.1,10.6,4.52,/players/greg-foster-1.html,30,,,,
573,1994-95,California,Pac-10,27,25.9,4.6,10.2,.455,4.0,8.1,.493,0.6,2.1,.304,3.5,5.4,.639,6.7,1.0,0.7,0.6,2.2,2.1,13.4,8.89,/players/tremaine-fowlkes-1.html,9,,,,
574,1995-96,California,Pac-10,13,27.0,3.8,9.5,.398,2.8,6.4,.446,0.9,3.1,.300,3.6,5.2,.691,6.2,0.5,0.6,0.4,2.2,1.8,12.1,6.44,/players/tremaine-fowlkes-1.html,7,,,,
575,1996-97,,,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,/players/tremaine-fowlkes-1.html,Transfer,Transfer,Transfer,Transfer,
576,1997-98,Fresno State,WAC,32,28.3,5.0,10.3,.491,4.8,9.1,.533,0.2,1.2,.162,3.7,5.8,.636,11.2,1.0,1.6,0.3,1.6,2.6,13.9,5.63,/players/tremaine-fowlkes-1.html,,,,,
577,1987-88,UNC,ACC,34,10.9,1.7,2.8,0.628,1.6,2.5,0.659,0.1,0.3,0.333,0.4,0.9,0.5,1.9,0.9,0.8,0.1,1.2,2.0,4.0,10.72,/players/rick-fox-1.html,3,,,,
578,1988-89,UNC,ACC,37,22.4,4.5,7.6,0.583,4.1,6.9,0.598,0.4,0.8,0.448,2.2,2.8,0.79,3.8,2.1,1.3,0.4,2.4,3.3,11.5,12.41,/players/rick-fox-1.html,17,,,,
579,1989-90,UNC,ACC,34,28.9,6.0,11.4,0.522,3.9,6.7,0.581,2.1,4.7,0.438,2.2,3.0,0.735,4.6,2.5,1.6,0.2,3.2,3.3,16.2,10.97,/players/rick-fox-1.html,30,,,,
580,1990-91,UNC,ACC,35,28.5,5.9,13.0,0.453,4.0,7.4,0.537,1.9,5.6,0.342,3.2,3.9,0.804,6.6,3.7,2.0,0.5,2.9,2.9,16.9,10.9,/players/rick-fox-1.html,32,,,,
581,2002-03,Villanova,Big East,31,26.8,3.5,9.8,0.362,2.6,6.7,0.389,0.9,3.1,0.302,2.2,2.7,0.831,3.5,2.9,1.0,0.2,3.5,3.3,10.3,7.57,/players/randy-foye-1.html,29,0.9,2.6,,
582,2003-04,Villanova,Big East,35,31.3,4.7,12.3,0.387,3.5,8.1,0.432,1.2,4.1,0.299,2.8,3.7,0.762,4.7,3.6,1.6,0.3,3.6,3.1,13.5,8.25,/players/randy-foye-1.html,34,1.2,3.5,,
583,2004-05,Villanova,Big East,32,32.1,5.6,13.4,0.421,4.0,8.6,0.465,1.6,4.8,0.34,2.7,3.5,0.752,5.0,3.1,2.1,0.4,2.2,2.4,15.5,8.43,/players/randy-foye-1.html,32,1.8,3.3,,
584,2005-06,Villanova,Big East,33,34.7,6.8,16.7,0.411,4.2,9.0,0.463,2.7,7.7,0.35,4.1,5.2,0.791,5.8,3.0,1.4,0.6,2.2,2.2,20.5,9.23,/players/randy-foye-1.html,33,1.6,4.1,,
585,1998-99,Maryland,ACC,34,30.7,6.0,11.5,0.523,4.7,8.1,0.58,1.3,3.4,0.388,3.6,4.6,0.79,4.5,4.5,2.8,0.2,3.0,2.8,17.0,9.04,/players/steve-francis-1.html,33,,,,
586,2001-02,Arizona,Pac-10,34,23.9,3.6,6.0,0.595,3.6,6.0,0.595,0.0,0.0,,2.4,3.2,0.727,6.3,0.7,0.5,1.5,1.4,2.9,9.5,12.47,/players/channing-frye-1.html,25,2.4,3.9,,
587,2002-03,Arizona,Pac-10,32,25.4,5.2,9.1,0.569,5.2,9.0,0.571,0.0,0.0,0.0,2.3,3.4,0.664,8.0,0.7,0.6,1.9,1.0,2.7,12.6,8.95,/players/channing-frye-1.html,27,3.0,5.1,,
588,2003-04,Arizona,Pac-10,30,30.3,6.4,11.7,0.548,6.3,11.6,0.548,0.1,0.2,0.6,3.0,3.8,0.788,7.4,1.9,0.6,2.1,1.6,3.0,15.9,6.63,/players/channing-frye-1.html,30,3.0,4.4,,
589,2004-05,Arizona,Pac-10,37,31.0,6.1,11.1,0.554,6.1,10.6,0.57,0.1,0.5,0.176,3.4,4.1,0.83,7.6,1.9,0.9,2.3,1.7,2.6,15.8,8.02,/players/channing-frye-1.html,37,2.8,4.8,,
590,2010-11,St. Joseph's,A-10,33,34.3,4.1,10.2,0.399,2.1,5.2,0.407,2.0,5.0,0.392,2.6,2.9,0.887,5.5,2.9,1.7,0.5,1.2,2.5,12.8,3.46,/players/langston-galloway-1.html,33,1.4,4.2,,
591,2011-12,St. Joseph's,A-10,34,35.7,5.4,11.0,0.488,2.7,5.3,0.511,2.6,5.7,0.466,2.1,2.7,0.785,4.5,2.2,1.0,0.6,1.2,2.7,15.5,4.25,/players/langston-galloway-1.html,33,1.0,3.5,,
592,2012-13,St. Joseph's,A-10,32,35.7,4.7,11.3,0.414,2.2,5.0,0.44,2.5,6.3,0.394,1.9,2.5,0.772,3.6,2.3,1.4,0.3,1.5,2.3,13.8,4.05,/players/langston-galloway-1.html,32,0.7,2.9,,
593,2013-14,St. Joseph's,A-10,34,36.2,5.6,12.6,0.444,2.4,5.4,0.446,3.2,7.2,0.443,3.4,4.1,0.826,4.3,1.6,1.1,0.5,0.8,2.4,17.7,5.08,/players/langston-galloway-1.html,34,0.8,3.4,,
