,SEASON,SCHOOL,CONF,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,COLLEGE_URL
100,2019-20,Illinois,Big Ten,19,19,674,20.0,0.533,0.502,0.204,0.264,302,2.2,13.7,7.9,23.6,1.1,0.8,14.6,26.8,1.4,0.8,2.2,0.132,/players/ayo-dosunmu-1.html
101,2020-21,Illinois,Big Ten,17,17,599,23.3,0.552,0.511,0.184,0.322,339,4.1,13.7,9.3,30.2,1.8,0.7,15.2,29.5,1.9,0.9,2.8,0.186,/players/ayo-dosunmu-1.html
102,2011-12,UConn,Big East,18,18,552,20.3,0.48,0.503,0.011,0.263,186,15.5,20.3,18.0,4.5,1.7,8.9,14.0,21.9,0.6,0.8,1.4,0.099,/players/andre-drummond-1.html
103,2019-20,Oregon,Pac-12,15,15,498,21.4,0.504,0.46,0.449,0.278,192,5.7,17.1,11.4,9.7,4.3,2.8,9.5,23.6,1.0,0.9,1.9,0.153,/players/chris-duarte-1.html
104,2020-21,Oregon,Pac-12,16,16,552,26.6,0.655,0.635,0.482,0.285,257,2.5,15.2,8.7,13.8,3.3,2.8,15.1,24.7,1.9,0.7,2.6,0.19,/players/chris-duarte-1.html
105,2019-20,Georgia,SEC,18,18,634,21.5,0.537,0.484,0.522,0.37,340,2.7,15.9,9.1,16.4,2.0,1.6,13.5,30.5,1.6,0.2,1.8,0.114,/players/anthony-edwards-2.html
106,2013-14,Kansas,Big 12,15,15,363,26.9,0.642,0.603,0.031,0.804,171,12.7,29.4,21.7,10.8,1.9,11.4,24.3,24.1,0.9,0.8,1.7,0.187,/players/joel-embiid-1.html
107,2010-11,Vanderbilt,SEC,16,16,404,27.2,0.591,0.528,0.0,0.872,201,13.9,16.4,15.2,1.7,1.3,11.5,16.1,27.3,1.3,0.5,1.8,0.177,/players/festus-ezeli-1.html
108,2011-12,Vanderbilt,SEC,16,16,371,20.3,0.557,0.542,0.0,0.776,156,14.2,17.1,15.8,2.6,0.7,9.9,19.7,27.0,0.6,0.5,1.1,0.123,/players/festus-ezeli-1.html
109,2010-11,Morehead State,OVC,18,17,638,31.9,0.578,0.588,0.0,0.77,302,23.4,34.7,28.9,8.9,3.0,8.4,16.6,24.2,2.1,1.7,3.9,0.242,/players/kenneth-faried-1.html
110,2012-13,Indiana,Big Ten,18,18,528,13.2,0.537,0.492,0.377,0.385,170,1.8,8.9,5.6,22.2,1.6,0.4,20.0,17.6,1.0,0.5,1.5,0.113,/players/kevin-ferrell-1.html
111,2013-14,Indiana,Big Ten,18,18,654,19.0,0.568,0.513,0.544,0.397,309,1.0,8.3,4.7,25.0,1.3,0.0,14.0,26.5,1.8,0.5,2.3,0.141,/players/kevin-ferrell-1.html
112,2014-15,Indiana,Big Ten,18,18,658,20.1,0.563,0.528,0.53,0.249,290,2.4,8.9,5.6,28.4,0.9,0.0,11.0,21.9,2.4,0.0,2.4,0.145,/players/kevin-ferrell-1.html
113,2015-16,Indiana,Big Ten,18,18,648,21.5,0.585,0.543,0.464,0.353,329,2.3,8.6,5.5,27.0,2.1,0.2,15.7,25.5,2.2,0.8,3.0,0.185,/players/kevin-ferrell-1.html
114,2012-13,Cleveland State,Horizon,16,15,537,20.1,0.604,0.565,0.517,0.236,208,2.5,16.2,9.1,9.2,2.0,0.2,11.6,22.4,1.6,0.1,1.7,0.127,/players/bryn-forbes-1.html
115,2013-14,Cleveland State,Horizon,15,15,521,13.4,0.519,0.479,0.527,0.339,179,2.3,7.3,4.9,8.8,1.0,0.0,9.0,22.3,0.9,0.5,1.4,0.109,/players/bryn-forbes-1.html
116,2014-15,Michigan State,Big Ten,18,12,467,12.2,0.567,0.55,0.617,0.183,122,1.3,5.2,3.3,5.9,2.1,1.1,12.7,17.4,0.6,0.4,1.0,0.089,/players/bryn-forbes-1.html
117,2015-16,Michigan State,Big Ten,18,17,522,22.9,0.683,0.667,0.672,0.182,225,1.6,6.5,4.2,11.9,0.7,0.2,5.9,21.4,2.2,0.5,2.7,0.21,/players/bryn-forbes-1.html
118,2010-11,St. Joseph's,A-10,16,16,556,23.0,0.579,0.521,0.503,0.35,213,4.0,17.0,10.3,18.3,3.1,1.8,8.7,21.5,1.8,0.2,1.9,0.14,/players/langston-galloway-1.html
119,2011-12,St. Joseph's,A-10,16,15,573,19.9,0.602,0.573,0.528,0.225,218,4.9,10.3,7.8,13.5,1.4,1.7,10.9,20.5,1.8,0.3,2.1,0.148,/players/langston-galloway-1.html
120,2012-13,St. Joseph's,A-10,16,16,573,13.7,0.48,0.467,0.533,0.161,176,2.1,9.9,6.1,15.1,2.5,0.7,10.2,20.8,0.7,0.4,1.1,0.077,/players/langston-galloway-1.html
121,2013-14,St. Joseph's,A-10,16,16,597,19.6,0.569,0.527,0.58,0.322,241,3.2,9.9,6.8,9.7,1.7,1.7,5.2,22.5,1.7,0.7,2.4,0.161,/players/langston-galloway-1.html
122,2017-18,Kentucky,SEC,18,15,650,19.7,0.548,0.485,0.121,0.432,292,2.8,9.3,6.2,30.4,2.0,2.5,17.6,22.9,1.4,0.7,2.1,0.13,/players/shai-gilgeous-alexander-1.html
123,2010-11,Michigan State,Big Ten,18,17,573,23.4,0.506,0.46,0.271,0.372,246,10.7,24.2,17.3,29.8,3.3,3.6,15.3,24.9,1.5,0.7,2.2,0.151,/players/draymond-green-1.html
124,2011-12,Michigan State,Big Ten,18,18,612,28.1,0.583,0.549,0.321,0.414,298,7.5,32.1,20.9,23.5,2.9,2.1,17.3,27.9,2.2,1.6,3.8,0.246,/players/draymond-green-1.html
125,2016-17,Gonzaga,WCC,15,0,75,24.0,0.613,0.654,0.192,0.538,36,12.3,13.4,12.9,2.4,1.5,2.7,10.9,24.5,0.2,0.2,0.4,0.227,/players/rui-hachimura-1.html
126,2017-18,Gonzaga,WCC,18,0,390,28.5,0.648,0.603,0.068,0.486,203,5.5,17.6,11.7,5.8,1.8,2.5,10.5,26.3,1.6,0.9,2.5,0.256,/players/rui-hachimura-1.html
127,2018-19,Gonzaga,WCC,16,16,489,33.4,0.677,0.647,0.051,0.421,282,7.3,17.6,13.1,8.3,2.1,2.7,9.2,27.4,2.5,1.4,3.9,0.32,/players/rui-hachimura-1.html
128,2018-19,Iowa State,Big 12,18,18,583,14.1,0.602,0.588,0.725,0.213,126,2.8,6.6,4.8,16.1,2.4,2.7,13.7,9.1,1.0,0.4,1.5,0.1,/players/tyrese-haliburton-1.html
129,2019-20,Iowa State,Big 12,10,10,376,21.3,0.594,0.559,0.52,0.206,144,4.5,15.0,9.7,30.9,3.4,2.4,22.2,19.7,0.8,0.3,1.1,0.116,/players/tyrese-haliburton-1.html
130,2010-11,Michigan,Big Ten,18,18,575,22.6,0.604,0.582,0.536,0.304,245,2.8,13.2,8.2,14.3,2.4,0.4,11.2,26.1,1.8,0.3,2.0,0.141,/players/tim-hardaway-jr-1.html
131,2011-12,Michigan,Big Ten,18,18,649,16.3,0.506,0.462,0.479,0.376,245,4.1,13.1,8.7,11.3,1.1,1.4,12.8,27.0,1.1,0.5,1.6,0.097,/players/tim-hardaway-jr-1.html
