,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
281,2020-21,Michigan,Big Ten,17,17,32.8,4.9,9.9,0.5,3.4,6.1,0.558,1.5,3.8,2.3,2.8,0.83,0.7,5.4,6.1,2.9,1.5,1.2,1.3,2.0,13.7,/players/franz-wagner-1.html,0.406
282,2010-11,Syracuse,Big East,17,0,16.1,1.7,5.4,0.315,1.1,2.9,0.36,0.6,2.5,0.9,1.1,0.789,0.5,1.2,1.7,1.4,1.1,0.2,0.9,1.3,4.9,/players/dion-waiters-1.html,0.262
283,2011-12,Syracuse,Big East,18,0,25.2,4.2,9.6,0.436,3.2,6.4,0.491,1.0,3.1,2.3,3.4,0.672,0.7,2.2,2.8,2.6,1.8,0.4,1.3,1.9,11.6,/players/dion-waiters-1.html,0.321
284,2010-11,UConn,Big East,18,18,38.9,7.3,18.4,0.395,5.3,12.6,0.425,1.9,5.9,5.2,6.9,0.758,1.3,4.0,5.3,4.5,1.7,0.1,1.8,1.4,21.7,/players/kemba-walker-1.html,0.33
285,2017-18,Kentucky,SEC,18,11,27.6,3.7,7.4,0.493,3.6,6.7,0.529,0.1,0.7,3.6,5.7,0.621,1.8,3.7,5.4,1.3,1.1,0.8,1.7,2.8,11.0,/players/pj-washington-1.html,0.154
286,2018-19,Kentucky,SEC,18,18,30.7,5.8,10.9,0.528,4.6,8.3,0.553,1.2,2.6,3.4,5.2,0.656,2.1,4.4,6.6,1.6,0.8,0.9,1.9,2.7,16.1,/players/pj-washington-1.html,0.447
287,2018-19,UNC,ACC,18,18,29.8,6.2,13.7,0.451,3.3,6.2,0.532,2.9,7.5,2.8,3.4,0.823,0.6,3.1,3.7,4.2,1.1,0.6,3.0,2.2,18.1,/players/coby-white-1.html,0.385
288,2013-14,Kansas,Big 12,18,18,32.7,5.5,12.2,0.452,4.1,8.4,0.49,1.4,3.8,5.2,6.8,0.764,2.7,3.5,6.2,1.8,1.3,0.9,2.4,3.1,17.6,/players/andrew-wiggins-1.html,0.368
289,2010-11,Arizona,Pac-10,18,18,30.9,5.7,9.6,0.599,4.8,7.9,0.608,0.9,1.6,6.2,8.8,0.698,2.7,6.3,9.0,1.1,0.8,0.6,2.8,3.1,18.5,/players/derrick-williams-2.html,0.552
290,2019-20,Florida State,ACC,18,0,23.7,3.1,7.3,0.424,2.6,5.5,0.465,0.6,1.8,2.2,2.7,0.816,1.6,2.9,4.4,0.6,0.9,1.3,1.6,1.8,9.0,/players/patrick-williams-2.html,0.303
291,2016-17,Texas A&M,SEC,18,15,28.1,5.4,9.9,0.542,5.3,9.3,0.575,0.1,0.7,2.1,4.0,0.514,3.6,6.0,9.6,1.4,0.8,2.5,2.1,2.2,12.9,/players/robert-williams-3.html,0.083
292,2017-18,Texas A&M,SEC,17,14,25.7,5.2,8.2,0.636,5.2,7.8,0.674,0.0,0.5,1.5,2.9,0.51,2.5,5.9,8.5,1.1,0.6,2.3,1.6,2.1,11.9,/players/robert-williams-3.html,0.0
293,2016-17,Texas A&M,SEC,18,15,28.1,5.4,9.9,0.542,5.3,9.3,0.575,0.1,0.7,2.1,4.0,0.514,3.6,6.0,9.6,1.4,0.8,2.5,2.1,2.2,12.9,/players/robert-williams-3.html,0.083
294,2017-18,Texas A&M,SEC,17,14,25.7,5.2,8.2,0.636,5.2,7.8,0.674,0.0,0.5,1.5,2.9,0.51,2.5,5.9,8.5,1.1,0.6,2.3,1.6,2.1,11.9,/players/robert-williams-3.html,0.0
295,2018-19,Duke,ACC,13,13,29.6,8.7,12.4,0.702,7.9,10.3,0.769,0.8,2.1,4.5,6.9,0.644,3.2,5.2,8.5,2.2,2.1,1.8,2.3,2.1,22.6,/players/zion-williamson-1.html,0.37
296,2014-15,Duke,ACC,18,18,31.1,4.9,9.8,0.497,3.7,6.9,0.532,1.2,2.9,2.3,3.8,0.594,1.4,5.3,6.7,2.1,1.4,0.9,1.9,3.2,13.3,/players/justise-winslow-1.html,0.415
297,2017-18,Oklahoma,Big 12,18,18,37.2,7.9,20.2,0.393,4.5,9.7,0.466,3.4,10.6,8.1,9.3,0.863,0.5,3.7,4.2,8.1,1.7,0.3,6.1,2.2,27.4,/players/trae-young-1.html,0.326
298,2011-12,Indiana,Big Ten,18,18,28.6,5.6,9.1,0.616,5.6,9.1,0.616,0.0,0.0,4.3,5.6,0.762,2.1,3.8,5.8,1.1,0.9,1.1,1.7,3.2,15.5,/players/cody-zeller-1.html,
299,2012-13,Indiana,Big Ten,18,18,30.8,5.7,10.7,0.536,5.7,10.7,0.536,0.0,0.0,5.7,7.3,0.779,2.9,5.3,8.2,1.3,1.2,1.3,2.5,2.4,17.1,/players/cody-zeller-1.html,
300,2010-11,UNC,ACC,16,14,27.9,5.4,9.4,0.58,5.4,9.4,0.58,0.0,0.0,3.6,4.9,0.734,3.1,3.5,6.6,0.2,0.6,0.9,1.3,2.8,14.5,/players/tyler-zeller-1.html,
301,2011-12,UNC,ACC,16,16,28.7,6.4,11.3,0.569,6.4,11.3,0.569,0.0,0.0,5.6,6.8,0.833,4.0,5.7,9.7,0.7,1.1,1.9,2.1,3.1,18.5,/players/tyler-zeller-1.html,
