,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%,Trp Dbl
1122,2014-15,32.0,DAL,NBA,C,5.0,5.0,160.0,19.0,29.0,0.655,0.0,0.0,19.0,29.0,0.655,0.655,13.0,26.0,0.5,27.0,27.0,54.0,1.0,3.0,6.0,5.0,16.0,51.0,/players/c/chandty01.html,,
1123,2019-20,37.0,HOU,NBA,C,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/c/chandty01.html,,
1124,2010-11,23.0,DEN,NBA,SF,5.0,2.0,115.0,8.0,29.0,0.276,1.0,7.0,7.0,22.0,0.318,0.293,7.0,9.0,0.778,2.0,20.0,22.0,2.0,3.0,4.0,4.0,15.0,24.0,/players/c/chandwi01.html,0.143,
1125,2012-13,25.0,DEN,NBA,PF,6.0,6.0,205.0,27.0,76.0,0.355,9.0,29.0,18.0,47.0,0.383,0.414,9.0,12.0,0.75,5.0,28.0,33.0,8.0,8.0,3.0,7.0,25.0,72.0,/players/c/chandwi01.html,0.31,
1126,2018-19,31.0,LAC,NBA,SF,4.0,0.0,52.0,5.0,16.0,0.313,1.0,10.0,4.0,6.0,0.667,0.344,4.0,4.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,3.0,7.0,15.0,/players/c/chandwi01.html,0.1,
1127,1995-96,28.0,MIA,NBA,SG,3.0,3.0,88.0,12.0,28.0,0.429,3.0,13.0,9.0,15.0,0.6,0.482,0.0,0.0,,0.0,6.0,6.0,5.0,3.0,0.0,1.0,6.0,27.0,/players/c/chapmre01.html,0.231,
1128,1996-97,29.0,PHO,NBA,SG,5.0,5.0,191.0,41.0,83.0,0.494,22.0,48.0,19.0,35.0,0.543,0.627,17.0,25.0,0.68,2.0,14.0,16.0,13.0,2.0,0.0,15.0,14.0,121.0,/players/c/chapmre01.html,0.458,
1129,1997-98,30.0,PHO,NBA,SG,2.0,2.0,58.0,6.0,23.0,0.261,0.0,5.0,6.0,18.0,0.333,0.261,6.0,7.0,0.857,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,18.0,/players/c/chapmre01.html,0.0,
1130,1998-99,31.0,PHO,NBA,SG,3.0,3.0,57.0,6.0,21.0,0.286,2.0,6.0,4.0,15.0,0.267,0.333,3.0,4.0,0.75,2.0,4.0,6.0,6.0,1.0,0.0,4.0,9.0,17.0,/players/c/chapmre01.html,0.333,
1131,1985-86,22.0,ATL,NBA,SF,4.0,0.0,15.0,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,/players/c/charllo01.html,,
1132,1996-97,25.0,WSB,NBA,SG,3.0,3.0,120.0,18.0,41.0,0.439,0.0,2.0,18.0,39.0,0.462,0.439,9.0,12.0,0.75,6.0,5.0,11.0,4.0,3.0,2.0,5.0,10.0,45.0,/players/c/cheanca01.html,0.0,
1133,2002-03,31.0,UTA,NBA,SG,5.0,5.0,122.0,10.0,27.0,0.37,0.0,0.0,10.0,27.0,0.37,0.37,2.0,4.0,0.5,3.0,4.0,7.0,8.0,2.0,1.0,7.0,15.0,22.0,/players/c/cheanca01.html,,
1134,1988-89,21.0,HOU,NBA,SF,4.0,0.0,40.0,5.0,17.0,0.294,0.0,0.0,5.0,17.0,0.294,0.294,8.0,10.0,0.8,5.0,1.0,6.0,2.0,1.0,1.0,3.0,7.0,18.0,/players/c/chievde01.html,,
1135,1989-90,22.0,CLE,NBA,SF,3.0,0.0,28.0,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,7.0,9.0,0.778,2.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,19.0,/players/c/chievde01.html,,
1136,1994-95,26.0,HOU,NBA,PF,20.0,15.0,323.0,31.0,64.0,0.484,14.0,36.0,17.0,28.0,0.607,0.594,14.0,17.0,0.824,15.0,43.0,58.0,18.0,7.0,4.0,11.0,39.0,90.0,/players/c/chilcpe01.html,0.389,
1137,1995-96,27.0,HOU,NBA,PF,1.0,0.0,10.0,1.0,4.0,0.25,0.0,1.0,1.0,3.0,0.333,0.25,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,/players/c/chilcpe01.html,0.0,
1138,2007-08,24.0,ATL,NBA,SF,7.0,0.0,205.0,22.0,42.0,0.524,0.0,2.0,22.0,40.0,0.55,0.524,6.0,12.0,0.5,15.0,25.0,40.0,11.0,1.0,5.0,2.0,7.0,50.0,/players/c/childjo01.html,0.0,
1139,1996-97,29.0,NYK,NBA,PG,10.0,10.0,328.0,38.0,87.0,0.437,9.0,26.0,29.0,61.0,0.475,0.489,19.0,23.0,0.826,9.0,40.0,49.0,59.0,20.0,0.0,28.0,39.0,104.0,/players/c/childch01.html,0.346,
1140,1997-98,30.0,NYK,NBA,PG,10.0,0.0,254.0,24.0,58.0,0.414,4.0,13.0,20.0,45.0,0.444,0.448,11.0,15.0,0.733,5.0,20.0,25.0,33.0,6.0,0.0,23.0,29.0,63.0,/players/c/childch01.html,0.308,
1141,1998-99,31.0,NYK,NBA,PG,20.0,0.0,494.0,33.0,93.0,0.355,9.0,28.0,24.0,65.0,0.369,0.403,19.0,26.0,0.731,8.0,39.0,47.0,73.0,13.0,1.0,30.0,64.0,94.0,/players/c/childch01.html,0.321,
1142,1999-00,32.0,NYK,NBA,PG,16.0,0.0,334.0,27.0,70.0,0.386,9.0,28.0,18.0,42.0,0.429,0.45,24.0,28.0,0.857,1.0,36.0,37.0,39.0,7.0,0.0,14.0,53.0,87.0,/players/c/childch01.html,0.321,
1143,2000-01,33.0,TOR,NBA,PG,12.0,9.0,380.0,37.0,90.0,0.411,15.0,36.0,22.0,54.0,0.407,0.494,20.0,23.0,0.87,2.0,36.0,38.0,78.0,12.0,3.0,35.0,48.0,109.0,/players/c/childch01.html,0.417,
1144,2001-02,34.0,TOR,NBA,PG,5.0,4.0,163.0,21.0,54.0,0.389,8.0,17.0,13.0,37.0,0.351,0.463,9.0,10.0,0.9,2.0,17.0,19.0,37.0,4.0,0.0,20.0,15.0,59.0,/players/c/childch01.html,0.471,
1145,2019-20,24.0,BRK,NBA,PG,4.0,0.0,65.0,8.0,24.0,0.333,5.0,16.0,3.0,8.0,0.375,0.438,2.0,4.0,0.5,1.0,5.0,6.0,17.0,5.0,0.0,3.0,7.0,23.0,/players/c/chiozch01.html,0.313,
1146,2020-21,25.0,BRK,NBA,PG,6.0,0.0,19.0,2.0,7.0,0.286,1.0,3.0,1.0,4.0,0.25,0.357,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,/players/c/chiozch01.html,0.333,
1147,2021-22,24.0,DAL,NBA,PF,7.0,0.0,28.0,4.0,8.0,0.5,1.0,2.0,3.0,6.0,0.5,0.563,5.0,6.0,0.833,4.0,5.0,9.0,0.0,0.0,0.0,0.0,3.0,14.0,/players/c/chrisma01.html,0.5,
1148,1992-93,22.0,LAL,NBA,SG,5.0,0.0,39.0,4.0,11.0,0.364,1.0,3.0,3.0,8.0,0.375,0.409,0.0,0.0,,1.0,3.0,4.0,6.0,2.0,2.0,4.0,5.0,9.0,/players/c/chrisdo01.html,0.333,
1149,1994-95,24.0,NYK,NBA,SG,2.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,/players/c/chrisdo01.html,,
1150,1999-00,29.0,TOR,NBA,SG,3.0,1.0,61.0,3.0,13.0,0.231,3.0,8.0,0.0,5.0,0.0,0.346,3.0,6.0,0.5,1.0,4.0,5.0,6.0,4.0,1.0,4.0,10.0,12.0,/players/c/chrisdo01.html,0.375,
1151,2000-01,30.0,SAC,NBA,SG,8.0,8.0,304.0,25.0,68.0,0.368,5.0,17.0,20.0,51.0,0.392,0.404,24.0,29.0,0.828,7.0,28.0,35.0,26.0,20.0,9.0,19.0,31.0,79.0,/players/c/chrisdo01.html,0.294,
1152,2001-02,31.0,SAC,NBA,SG,16.0,16.0,644.0,54.0,132.0,0.409,17.0,64.0,37.0,68.0,0.544,0.473,52.0,65.0,0.8,19.0,73.0,92.0,79.0,33.0,9.0,44.0,64.0,177.0,/players/c/chrisdo01.html,0.266,
1153,2002-03,32.0,SAC,NBA,SG,12.0,12.0,381.0,37.0,99.0,0.374,6.0,24.0,31.0,75.0,0.413,0.404,29.0,31.0,0.935,15.0,59.0,74.0,55.0,12.0,3.0,22.0,22.0,109.0,/players/c/chrisdo01.html,0.25,
1154,2003-04,33.0,SAC,NBA,SG,12.0,12.0,461.0,56.0,141.0,0.397,13.0,33.0,43.0,108.0,0.398,0.443,41.0,48.0,0.854,17.0,57.0,74.0,47.0,22.0,5.0,22.0,35.0,166.0,/players/c/chrisdo01.html,0.394,
1155,2016-17,24.0,OKC,NBA,PG,2.0,0.0,21.0,2.0,5.0,0.4,1.0,3.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,5.0,/players/c/chrisse01.html,0.333,
1156,2009-10,22.0,PHO,NBA,PF,3.0,0.0,13.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,/players/c/clarkea01.html,,
1157,2010-11,23.0,ORL,NBA,SF,1.0,0.0,6.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,/players/c/clarkea01.html,,
1158,2011-12,24.0,ORL,NBA,PF,5.0,0.0,88.0,8.0,18.0,0.444,0.0,0.0,8.0,18.0,0.444,0.444,4.0,7.0,0.571,8.0,25.0,33.0,1.0,2.0,5.0,4.0,6.0,20.0,/players/c/clarkea01.html,,
1159,2012-13,25.0,LAL,NBA,PF,4.0,1.0,82.0,7.0,19.0,0.368,0.0,4.0,7.0,15.0,0.467,0.368,0.0,0.0,,2.0,10.0,12.0,1.0,1.0,1.0,6.0,4.0,14.0,/players/c/clarkea01.html,0.0,
1160,2014-15,27.0,BRK,NBA,PF,2.0,0.0,13.0,2.0,10.0,0.2,2.0,3.0,0.0,7.0,0.0,0.3,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,/players/c/clarkea01.html,0.667,
1161,2018-19,24.0,HOU,NBA,PF,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/c/clarkga01.html,,
1162,2019-20,25.0,ORL,NBA,SF,5.0,5.0,144.0,11.0,33.0,0.333,11.0,32.0,0.0,1.0,0.0,0.5,4.0,5.0,0.8,4.0,24.0,28.0,7.0,5.0,2.0,2.0,7.0,37.0,/players/c/clarkga01.html,0.344,
1163,2015-16,24.0,GSW,NBA,SG,16.0,0.0,154.0,26.0,53.0,0.491,6.0,18.0,20.0,35.0,0.571,0.547,8.0,10.0,0.8,2.0,15.0,17.0,16.0,8.0,0.0,9.0,18.0,66.0,/players/c/clarkia01.html,0.333,
1164,2016-17,25.0,GSW,NBA,SG,16.0,0.0,219.0,40.0,79.0,0.506,13.0,36.0,27.0,43.0,0.628,0.589,16.0,17.0,0.941,4.0,22.0,26.0,11.0,6.0,0.0,11.0,17.0,109.0,/players/c/clarkia01.html,0.361,
1165,2017-18,26.0,NOP,NBA,SG,9.0,0.0,190.0,28.0,66.0,0.424,10.0,28.0,18.0,38.0,0.474,0.5,4.0,4.0,1.0,2.0,8.0,10.0,11.0,8.0,2.0,9.0,20.0,70.0,/players/c/clarkia01.html,0.357,
1166,2000-01,25.0,TOR,NBA,PF,11.0,0.0,103.0,11.0,30.0,0.367,0.0,0.0,11.0,30.0,0.367,0.367,13.0,20.0,0.65,7.0,16.0,23.0,6.0,2.0,3.0,4.0,16.0,35.0,/players/c/clarkke01.html,,
1167,2001-02,26.0,TOR,NBA,C,5.0,5.0,174.0,26.0,48.0,0.542,0.0,0.0,26.0,48.0,0.542,0.542,15.0,16.0,0.938,14.0,26.0,40.0,8.0,2.0,8.0,14.0,19.0,67.0,/players/c/clarkke01.html,,
1168,2002-03,27.0,SAC,NBA,C,12.0,0.0,171.0,20.0,41.0,0.488,0.0,0.0,20.0,41.0,0.488,0.488,15.0,21.0,0.714,14.0,30.0,44.0,4.0,3.0,8.0,13.0,30.0,55.0,/players/c/clarkke01.html,,
1169,2020-21,24.0,MEM,NBA,PF,2.0,0.0,9.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,/players/c/clarkbr01.html,,
1170,2021-22,25.0,MEM,NBA,PF,12.0,0.0,296.0,56.0,91.0,0.615,0.0,1.0,56.0,90.0,0.622,0.615,36.0,54.0,0.667,37.0,46.0,83.0,24.0,9.0,10.0,12.0,23.0,148.0,/players/c/clarkbr01.html,0.0,
1171,2017-18,25.0,CLE,NBA,SG,19.0,0.0,286.0,37.0,123.0,0.301,11.0,46.0,26.0,77.0,0.338,0.346,5.0,6.0,0.833,9.0,23.0,32.0,13.0,8.0,3.0,13.0,21.0,90.0,/players/c/clarkjo01.html,0.239,
1172,2019-20,27.0,UTA,NBA,SG,7.0,0.0,200.0,45.0,97.0,0.464,17.0,49.0,28.0,48.0,0.583,0.552,10.0,10.0,1.0,2.0,22.0,24.0,15.0,6.0,0.0,7.0,15.0,117.0,/players/c/clarkjo01.html,0.347,
1173,2020-21,28.0,UTA,NBA,SG,11.0,0.0,298.0,67.0,165.0,0.406,34.0,97.0,33.0,68.0,0.485,0.509,25.0,26.0,0.962,6.0,28.0,34.0,17.0,7.0,3.0,23.0,15.0,193.0,/players/c/clarkjo01.html,0.351,
1174,2021-22,29.0,UTA,NBA,SG,6.0,0.0,170.0,40.0,73.0,0.548,9.0,24.0,31.0,49.0,0.633,0.61,16.0,18.0,0.889,5.0,14.0,19.0,8.0,3.0,1.0,10.0,17.0,105.0,/players/c/clarkjo01.html,0.375,
1175,2013-14,25.0,POR,NBA,SF,2.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,/players/c/clavevi01.html,,
1176,2020-21,21.0,BRK,NBA,C,12.0,0.0,130.0,14.0,29.0,0.483,0.0,0.0,14.0,29.0,0.483,0.483,2.0,3.0,0.667,14.0,19.0,33.0,7.0,4.0,12.0,4.0,20.0,30.0,/players/c/claxtni01.html,,
1177,2021-22,22.0,BRK,NBA,C,4.0,0.0,98.0,19.0,24.0,0.792,0.0,0.0,19.0,24.0,0.792,0.792,4.0,22.0,0.182,7.0,18.0,25.0,6.0,5.0,9.0,2.0,6.0,42.0,/players/c/claxtni01.html,,
1178,2001-02,23.0,PHI,NBA,PG,5.0,0.0,49.0,4.0,12.0,0.333,0.0,1.0,4.0,11.0,0.364,0.333,4.0,6.0,0.667,1.0,0.0,1.0,14.0,5.0,0.0,3.0,8.0,12.0,/players/c/claxtsp01.html,0.0,
1179,2002-03,24.0,SAS,NBA,PG,24.0,0.0,326.0,46.0,105.0,0.438,0.0,0.0,46.0,105.0,0.438,0.438,33.0,44.0,0.75,7.0,38.0,45.0,45.0,16.0,5.0,24.0,38.0,125.0,/players/c/claxtsp01.html,,
1180,2008-09,30.0,ATL,NBA,PG,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/c/claxtsp01.html,,
1181,2019-20,22.0,HOU,NBA,SG,2.0,0.0,8.0,2.0,5.0,0.4,2.0,5.0,0.0,0.0,,0.6,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,/players/c/clemoch01.html,0.4,
1182,2019-20,25.0,DAL,NBA,SG,2.0,0.0,9.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,/players/c/clevean01.html,,
1183,2019-20,22.0,LAC,NBA,SG,3.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,/players/c/coffeam01.html,0.0,
1184,2020-21,23.0,LAC,NBA,SG,10.0,0.0,16.0,3.0,4.0,0.75,1.0,1.0,2.0,3.0,0.667,0.875,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,/players/c/coffeam01.html,1.0,
1185,2011-12,23.0,MIA,NBA,PG,19.0,0.0,170.0,12.0,37.0,0.324,3.0,12.0,9.0,25.0,0.36,0.365,7.0,9.0,0.778,1.0,9.0,10.0,12.0,7.0,0.0,5.0,24.0,34.0,/players/c/coleno01.html,0.25,
1186,2012-13,24.0,MIA,NBA,PG,21.0,0.0,418.0,49.0,102.0,0.48,17.0,32.0,32.0,70.0,0.457,0.564,14.0,19.0,0.737,6.0,33.0,39.0,42.0,15.0,2.0,23.0,40.0,129.0,/players/c/coleno01.html,0.531,
1187,2013-14,25.0,MIA,NBA,PG,20.0,0.0,404.0,32.0,78.0,0.41,15.0,40.0,17.0,38.0,0.447,0.506,13.0,15.0,0.867,1.0,21.0,22.0,36.0,9.0,1.0,19.0,34.0,92.0,/players/c/coleno01.html,0.375,
1188,2014-15,26.0,NOP,NBA,PG,4.0,0.0,106.0,15.0,36.0,0.417,3.0,14.0,12.0,22.0,0.545,0.458,2.0,3.0,0.667,1.0,6.0,7.0,7.0,0.0,1.0,8.0,15.0,35.0,/players/c/coleno01.html,0.214,
1189,2016-17,28.0,OKC,NBA,PG,4.0,0.0,25.0,2.0,8.0,0.25,1.0,4.0,1.0,4.0,0.25,0.313,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,/players/c/coleno01.html,0.25,
1190,1988-89,27.0,PHI,NBA,PF,3.0,0.0,23.0,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,2.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,8.0,14.0,/players/c/colembe01.html,,
1191,1991-92,24.0,NJN,NBA,PF,4.0,4.0,162.0,36.0,74.0,0.486,1.0,6.0,35.0,68.0,0.515,0.493,16.0,21.0,0.762,13.0,32.0,45.0,21.0,7.0,4.0,11.0,12.0,89.0,/players/c/colemde01.html,0.167,
1192,1992-93,25.0,NJN,NBA,PF,5.0,5.0,225.0,50.0,94.0,0.532,5.0,12.0,45.0,82.0,0.549,0.559,29.0,36.0,0.806,13.0,54.0,67.0,23.0,6.0,13.0,13.0,18.0,134.0,/players/c/colemde01.html,0.417,
1193,1993-94,26.0,NJN,NBA,PF,4.0,4.0,173.0,27.0,68.0,0.397,5.0,9.0,22.0,59.0,0.373,0.434,39.0,50.0,0.78,19.0,38.0,57.0,10.0,2.0,5.0,18.0,12.0,98.0,/players/c/colemde01.html,0.556,
1194,1999-00,32.0,CHH,NBA,PF,4.0,4.0,169.0,27.0,57.0,0.474,5.0,16.0,22.0,41.0,0.537,0.518,22.0,28.0,0.786,10.0,40.0,50.0,14.0,3.0,12.0,13.0,11.0,81.0,/players/c/colemde01.html,0.313,
1195,2000-01,33.0,CHH,NBA,PF,5.0,0.0,88.0,9.0,34.0,0.265,2.0,8.0,7.0,26.0,0.269,0.294,7.0,9.0,0.778,9.0,16.0,25.0,6.0,4.0,2.0,5.0,12.0,27.0,/players/c/colemde01.html,0.25,
1196,2001-02,34.0,PHI,NBA,PF,5.0,5.0,191.0,22.0,42.0,0.524,4.0,13.0,18.0,29.0,0.621,0.571,16.0,20.0,0.8,15.0,31.0,46.0,10.0,1.0,7.0,5.0,10.0,64.0,/players/c/colemde01.html,0.308,
1197,2002-03,35.0,PHI,NBA,C,12.0,12.0,449.0,59.0,118.0,0.5,4.0,10.0,55.0,108.0,0.509,0.517,41.0,47.0,0.872,29.0,67.0,96.0,24.0,7.0,16.0,17.0,36.0,163.0,/players/c/colemde01.html,0.4,
1198,1991-92,23.0,MIA,NBA,PG,3.0,0.0,45.0,7.0,10.0,0.7,1.0,1.0,6.0,9.0,0.667,0.75,8.0,10.0,0.8,2.0,5.0,7.0,6.0,3.0,0.0,5.0,5.0,23.0,/players/c/colesbi01.html,1.0,
1199,1993-94,25.0,MIA,NBA,PG,5.0,0.0,140.0,25.0,47.0,0.532,1.0,4.0,24.0,43.0,0.558,0.543,18.0,23.0,0.783,2.0,12.0,14.0,17.0,7.0,1.0,11.0,15.0,69.0,/players/c/colesbi01.html,0.25,
1200,2002-03,34.0,BOS,NBA,PG,3.0,0.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,/players/c/colesbi01.html,0.0,
1201,2001-02,23.0,UTA,NBA,C,4.0,4.0,47.0,10.0,18.0,0.556,0.0,0.0,10.0,18.0,0.556,0.556,2.0,2.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,4.0,11.0,22.0,/players/c/collija03.html,,
1202,2006-07,28.0,UTA,NBA,C,13.0,0.0,110.0,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,9.0,17.0,0.529,8.0,12.0,20.0,5.0,4.0,0.0,1.0,21.0,15.0,/players/c/collija03.html,,
1203,2007-08,29.0,UTA,NBA,C,5.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.0,3.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,/players/c/collija03.html,,
1204,2008-09,30.0,UTA,NBA,C,3.0,3.0,35.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,6.0,8.0,0.75,4.0,6.0,10.0,1.0,1.0,0.0,0.0,9.0,8.0,/players/c/collija03.html,,
1205,2009-10,31.0,PHO,NBA,C,11.0,10.0,115.0,5.0,15.0,0.333,0.0,0.0,5.0,15.0,0.333,0.333,2.0,2.0,1.0,9.0,8.0,17.0,0.0,1.0,1.0,3.0,22.0,12.0,/players/c/collija03.html,,
1206,2001-02,23.0,NJN,NBA,C,17.0,0.0,227.0,12.0,33.0,0.364,0.0,0.0,12.0,33.0,0.364,0.364,25.0,38.0,0.658,24.0,17.0,41.0,7.0,5.0,6.0,12.0,48.0,49.0,/players/c/collija04.html,,
1207,2002-03,24.0,NJN,NBA,C,20.0,20.0,529.0,33.0,91.0,0.363,0.0,2.0,33.0,89.0,0.371,0.363,51.0,61.0,0.836,51.0,74.0,125.0,17.0,13.0,12.0,18.0,74.0,117.0,/players/c/collija04.html,0.0,
1208,2003-04,25.0,NJN,NBA,C,11.0,11.0,266.0,14.0,38.0,0.368,0.0,0.0,14.0,38.0,0.368,0.368,12.0,16.0,0.75,18.0,26.0,44.0,17.0,3.0,10.0,15.0,49.0,40.0,/players/c/collija04.html,,
1209,2004-05,26.0,NJN,NBA,C,4.0,4.0,128.0,4.0,17.0,0.235,0.0,0.0,4.0,17.0,0.235,0.235,3.0,8.0,0.375,9.0,17.0,26.0,1.0,2.0,0.0,5.0,19.0,11.0,/players/c/collija04.html,,
1210,2005-06,27.0,NJN,NBA,C,11.0,11.0,302.0,9.0,25.0,0.36,0.0,0.0,9.0,25.0,0.36,0.36,13.0,22.0,0.591,20.0,35.0,55.0,3.0,5.0,2.0,9.0,55.0,31.0,/players/c/collija04.html,,
1211,2006-07,28.0,NJN,NBA,PF,12.0,12.0,329.0,12.0,21.0,0.571,0.0,0.0,12.0,21.0,0.571,0.571,4.0,11.0,0.364,16.0,24.0,40.0,2.0,7.0,3.0,16.0,45.0,28.0,/players/c/collija04.html,,
1212,2009-10,31.0,ATL,NBA,C,3.0,0.0,10.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,0.0,1.0,7.0,6.0,/players/c/collija04.html,,
1213,2010-11,32.0,ATL,NBA,C,12.0,9.0,158.0,9.0,14.0,0.643,0.0,0.0,9.0,14.0,0.643,0.643,3.0,8.0,0.375,6.0,11.0,17.0,1.0,5.0,3.0,5.0,31.0,21.0,/players/c/collija04.html,,
1214,2011-12,33.0,ATL,NBA,C,5.0,4.0,85.0,6.0,11.0,0.545,0.0,0.0,6.0,11.0,0.545,0.545,0.0,0.0,,4.0,8.0,12.0,0.0,1.0,0.0,10.0,16.0,12.0,/players/c/collija04.html,,
1215,2020-21,23.0,ATL,NBA,PF,18.0,18.0,576.0,100.0,182.0,0.549,20.0,56.0,80.0,126.0,0.635,0.604,30.0,36.0,0.833,36.0,121.0,157.0,16.0,8.0,11.0,23.0,59.0,250.0,/players/c/collijo01.html,0.357,
1216,2021-22,24.0,ATL,NBA,PF,5.0,4.0,122.0,19.0,39.0,0.487,4.0,11.0,15.0,28.0,0.536,0.538,5.0,10.0,0.5,2.0,21.0,23.0,6.0,2.0,1.0,5.0,12.0,47.0,/players/c/collijo01.html,0.364,
1217,2020-21,23.0,ATL,NBA,PF,18.0,18.0,576.0,100.0,182.0,0.549,20.0,56.0,80.0,126.0,0.635,0.604,30.0,36.0,0.833,36.0,121.0,157.0,16.0,8.0,11.0,23.0,59.0,250.0,/players/c/collijo01.html,0.357,
1218,2021-22,24.0,ATL,NBA,PF,5.0,4.0,122.0,19.0,39.0,0.487,4.0,11.0,15.0,28.0,0.536,0.538,5.0,10.0,0.5,2.0,21.0,23.0,6.0,2.0,1.0,5.0,12.0,47.0,/players/c/collijo01.html,0.364,
1219,2017-18,20.0,POR,NBA,C,4.0,0.0,70.0,11.0,30.0,0.367,3.0,14.0,8.0,16.0,0.5,0.417,3.0,4.0,0.75,3.0,9.0,12.0,6.0,3.0,2.0,2.0,10.0,28.0,/players/c/colliza01.html,0.214,
1220,2018-19,21.0,POR,NBA,C,16.0,0.0,275.0,41.0,81.0,0.506,7.0,21.0,34.0,60.0,0.567,0.549,20.0,25.0,0.8,16.0,41.0,57.0,14.0,7.0,22.0,20.0,54.0,109.0,/players/c/colliza01.html,0.333,
1221,2010-11,23.0,IND,NBA,PG,5.0,5.0,146.0,18.0,46.0,0.391,4.0,6.0,14.0,40.0,0.35,0.435,7.0,11.0,0.636,4.0,9.0,13.0,20.0,5.0,2.0,9.0,7.0,47.0,/players/c/collida01.html,0.667,
1222,2011-12,24.0,IND,NBA,PG,11.0,0.0,205.0,36.0,70.0,0.514,4.0,11.0,32.0,59.0,0.542,0.543,20.0,23.0,0.87,3.0,11.0,14.0,33.0,14.0,0.0,11.0,11.0,96.0,/players/c/collida01.html,0.364,
1223,2013-14,26.0,LAC,NBA,PG,13.0,0.0,249.0,35.0,90.0,0.389,1.0,12.0,34.0,78.0,0.436,0.394,39.0,45.0,0.867,10.0,17.0,27.0,31.0,6.0,1.0,12.0,17.0,110.0,/players/c/collida01.html,0.083,
1224,2017-18,30.0,IND,NBA,PG,7.0,7.0,214.0,31.0,68.0,0.456,8.0,23.0,23.0,45.0,0.511,0.515,9.0,12.0,0.75,1.0,20.0,21.0,33.0,7.0,0.0,9.0,7.0,79.0,/players/c/collida01.html,0.348,
