,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%,Trp Dbl
113,2015-16,25.0,POR,NBA,SF,11.0,11.0,372.0,56.0,128.0,0.438,28.0,70.0,28.0,58.0,0.483,0.547,21.0,29.0,0.724,23.0,72.0,95.0,20.0,8.0,10.0,21.0,31.0,161.0,/players/a/aminual01.html,0.4,
114,2016-17,26.0,POR,NBA,PF,4.0,0.0,113.0,17.0,37.0,0.459,7.0,17.0,10.0,20.0,0.5,0.554,7.0,11.0,0.636,5.0,21.0,26.0,4.0,3.0,4.0,9.0,9.0,48.0,/players/a/aminual01.html,0.412,
115,2017-18,27.0,POR,NBA,PF,4.0,4.0,131.0,27.0,52.0,0.519,13.0,30.0,14.0,22.0,0.636,0.644,2.0,2.0,1.0,12.0,24.0,36.0,5.0,4.0,2.0,6.0,8.0,69.0,/players/a/aminual01.html,0.433,
116,2018-19,28.0,POR,NBA,PF,16.0,16.0,399.0,38.0,109.0,0.349,15.0,51.0,23.0,58.0,0.397,0.417,27.0,36.0,0.75,29.0,71.0,100.0,21.0,9.0,10.0,16.0,34.0,118.0,/players/a/aminual01.html,0.294,
117,2007-08,25.0,PHI,NBA,PF,2.0,0.0,10.0,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,2.0,0.5,5.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,5.0,/players/a/amundlo01.html,,
118,2009-10,27.0,PHO,NBA,PF,16.0,0.0,194.0,19.0,36.0,0.528,0.0,0.0,19.0,36.0,0.528,0.528,9.0,21.0,0.429,30.0,26.0,56.0,1.0,6.0,7.0,6.0,31.0,47.0,/players/a/amundlo01.html,,
119,2011-12,29.0,IND,NBA,PF,11.0,0.0,94.0,12.0,23.0,0.522,0.0,0.0,12.0,23.0,0.522,0.522,3.0,6.0,0.5,6.0,17.0,23.0,2.0,2.0,5.0,4.0,16.0,27.0,/players/a/amundlo01.html,,
120,2003-04,25.0,DEN,NBA,PF,5.0,0.0,34.0,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,0.0,0.0,,6.0,8.0,14.0,2.0,1.0,2.0,2.0,3.0,6.0,/players/a/anderch01.html,,
121,2008-09,30.0,DEN,NBA,C,15.0,0.0,328.0,34.0,54.0,0.63,0.0,1.0,34.0,53.0,0.642,0.63,29.0,44.0,0.659,29.0,66.0,95.0,9.0,5.0,32.0,8.0,42.0,97.0,/players/a/anderch01.html,0.0,
122,2009-10,31.0,DEN,NBA,PF,6.0,0.0,116.0,9.0,17.0,0.529,0.0,0.0,9.0,17.0,0.529,0.529,9.0,14.0,0.643,7.0,20.0,27.0,1.0,1.0,6.0,4.0,14.0,27.0,/players/a/anderch01.html,,
123,2010-11,32.0,DEN,NBA,C,5.0,0.0,73.0,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,10.0,14.0,0.714,5.0,9.0,14.0,3.0,3.0,7.0,3.0,8.0,24.0,/players/a/anderch01.html,,
124,2012-13,34.0,MIA,NBA,C,20.0,0.0,303.0,46.0,57.0,0.807,0.0,0.0,46.0,57.0,0.807,0.807,36.0,49.0,0.735,32.0,44.0,76.0,3.0,9.0,22.0,11.0,53.0,128.0,/players/a/anderch01.html,,
125,2013-14,35.0,MIA,NBA,C,18.0,0.0,317.0,33.0,57.0,0.579,0.0,1.0,33.0,56.0,0.589,0.579,26.0,38.0,0.684,26.0,81.0,107.0,5.0,5.0,18.0,9.0,34.0,92.0,/players/a/anderch01.html,0.0,
126,2015-16,37.0,MEM,NBA,C,4.0,2.0,79.0,5.0,12.0,0.417,0.0,0.0,5.0,12.0,0.417,0.417,5.0,8.0,0.625,13.0,18.0,31.0,3.0,2.0,3.0,5.0,4.0,15.0,/players/a/anderch01.html,,
127,2013-14,31.0,BRK,NBA,SF,12.0,2.0,261.0,25.0,62.0,0.403,9.0,31.0,16.0,31.0,0.516,0.476,12.0,18.0,0.667,10.0,22.0,32.0,15.0,10.0,0.0,10.0,32.0,71.0,/players/a/anderal01.html,0.29,
128,2014-15,32.0,BRK,NBA,SG,6.0,0.0,142.0,25.0,41.0,0.61,10.0,16.0,15.0,25.0,0.6,0.732,6.0,9.0,0.667,2.0,19.0,21.0,7.0,4.0,1.0,8.0,9.0,66.0,/players/a/anderal01.html,0.625,
129,1997-98,23.0,CLE,NBA,SF,4.0,0.0,103.0,10.0,22.0,0.455,0.0,0.0,10.0,22.0,0.455,0.455,23.0,26.0,0.885,0.0,9.0,9.0,11.0,5.0,1.0,12.0,10.0,43.0,/players/a/anderde01.html,,
130,2000-01,26.0,SAS,NBA,SG,7.0,7.0,194.0,16.0,61.0,0.262,6.0,22.0,10.0,39.0,0.256,0.311,16.0,21.0,0.762,3.0,16.0,19.0,17.0,3.0,0.0,15.0,10.0,54.0,/players/a/anderde01.html,0.273,
131,2001-02,27.0,POR,NBA,SG,3.0,0.0,76.0,13.0,30.0,0.433,2.0,6.0,11.0,24.0,0.458,0.467,16.0,18.0,0.889,3.0,4.0,7.0,7.0,2.0,0.0,6.0,1.0,44.0,/players/a/anderde01.html,0.333,
