,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
23,2015-16,22.0,OKC,NBA,C,18.0,18.0,30.7,3.8,6.2,0.613,0.0,0.1,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,/players/a/adamsst01.html,0.0
24,2016-17,23.0,OKC,NBA,C,5.0,5.0,31.4,3.6,5.6,0.643,0.0,0.0,3.6,5.6,0.643,0.643,0.8,2.2,0.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8.0,/players/a/adamsst01.html,
25,2017-18,24.0,OKC,NBA,C,6.0,6.0,33.3,4.5,7.7,0.587,0.0,0.0,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5,/players/a/adamsst01.html,
26,2018-19,25.0,OKC,NBA,C,5.0,5.0,31.8,5.6,8.4,0.667,0.0,0.2,5.6,8.2,0.683,0.667,0.6,1.6,0.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,/players/a/adamsst01.html,0.0
27,2019-20,26.0,OKC,NBA,C,7.0,7.0,30.0,4.4,7.4,0.596,0.0,0.1,4.4,7.3,0.608,0.596,1.3,2.9,0.45,4.9,6.7,11.6,1.3,0.6,0.3,2.3,1.4,10.1,/players/a/adamsst01.html,0.0
28,2021-22,28.0,MEM,NBA,C,7.0,5.0,16.3,1.3,3.0,0.429,0.0,0.0,1.3,3.0,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,/players/a/adamsst01.html,
29,1991-92,27.0,NJN,NBA,SF,1.0,0.0,9.0,2.0,7.0,0.286,1.0,2.0,1.0,5.0,0.2,0.357,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,/players/a/addisra01.html,0.5
30,1992-93,28.0,NJN,NBA,SF,5.0,0.0,10.6,1.4,4.2,0.333,0.0,0.0,1.4,4.2,0.333,0.333,0.6,0.6,1.0,0.6,0.6,1.2,1.0,0.6,0.0,0.6,0.6,3.4,/players/a/addisra01.html,
31,2017-18,20.0,MIA,NBA,C,5.0,0.0,15.4,1.4,3.0,0.467,0.0,0.2,1.4,2.8,0.5,0.467,0.6,2.8,0.214,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4,/players/a/adebaba01.html,0.0
32,2019-20,22.0,MIA,NBA,PF,19.0,19.0,36.2,6.5,11.6,0.564,0.0,0.1,6.5,11.5,0.566,0.564,4.7,6.1,0.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.1,17.8,/players/a/adebaba01.html,0.0
33,2020-21,23.0,MIA,NBA,C,4.0,4.0,34.0,6.5,14.3,0.456,0.0,0.0,6.5,14.3,0.456,0.456,2.5,3.3,0.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,/players/a/adebaba01.html,
