,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
1212,2009-10,31.0,ATL,NBA,C,3.0,0.0,3.3,1.0,1.7,0.6,0.0,0.0,1.0,1.7,0.6,0.6,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,2.3,2.0,/players/c/collija04.html,
1213,2010-11,32.0,ATL,NBA,C,12.0,9.0,13.2,0.8,1.2,0.643,0.0,0.0,0.8,1.2,0.643,0.643,0.3,0.7,0.375,0.5,0.9,1.4,0.1,0.4,0.3,0.4,2.6,1.8,/players/c/collija04.html,
1214,2011-12,33.0,ATL,NBA,C,5.0,4.0,17.0,1.2,2.2,0.545,0.0,0.0,1.2,2.2,0.545,0.545,0.0,0.0,,0.8,1.6,2.4,0.0,0.2,0.0,2.0,3.2,2.4,/players/c/collija04.html,
1215,2020-21,23.0,ATL,NBA,PF,18.0,18.0,32.0,5.6,10.1,0.549,1.1,3.1,4.4,7.0,0.635,0.604,1.7,2.0,0.833,2.0,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9,/players/c/collijo01.html,0.357
1216,2021-22,24.0,ATL,NBA,PF,5.0,4.0,24.4,3.8,7.8,0.487,0.8,2.2,3.0,5.6,0.536,0.538,1.0,2.0,0.5,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4,/players/c/collijo01.html,0.364
1217,2020-21,23.0,ATL,NBA,PF,18.0,18.0,32.0,5.6,10.1,0.549,1.1,3.1,4.4,7.0,0.635,0.604,1.7,2.0,0.833,2.0,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9,/players/c/collijo01.html,0.357
1218,2021-22,24.0,ATL,NBA,PF,5.0,4.0,24.4,3.8,7.8,0.487,0.8,2.2,3.0,5.6,0.536,0.538,1.0,2.0,0.5,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4,/players/c/collijo01.html,0.364
1219,2017-18,20.0,POR,NBA,C,4.0,0.0,17.5,2.8,7.5,0.367,0.8,3.5,2.0,4.0,0.5,0.417,0.8,1.0,0.75,0.8,2.3,3.0,1.5,0.8,0.5,0.5,2.5,7.0,/players/c/colliza01.html,0.214
1220,2018-19,21.0,POR,NBA,C,16.0,0.0,17.2,2.6,5.1,0.506,0.4,1.3,2.1,3.8,0.567,0.549,1.3,1.6,0.8,1.0,2.6,3.6,0.9,0.4,1.4,1.3,3.4,6.8,/players/c/colliza01.html,0.333
1221,2010-11,23.0,IND,NBA,PG,5.0,5.0,29.2,3.6,9.2,0.391,0.8,1.2,2.8,8.0,0.35,0.435,1.4,2.2,0.636,0.8,1.8,2.6,4.0,1.0,0.4,1.8,1.4,9.4,/players/c/collida01.html,0.667
1222,2011-12,24.0,IND,NBA,PG,11.0,0.0,18.6,3.3,6.4,0.514,0.4,1.0,2.9,5.4,0.542,0.543,1.8,2.1,0.87,0.3,1.0,1.3,3.0,1.3,0.0,1.0,1.0,8.7,/players/c/collida01.html,0.364
1223,2013-14,26.0,LAC,NBA,PG,13.0,0.0,19.2,2.7,6.9,0.389,0.1,0.9,2.6,6.0,0.436,0.394,3.0,3.5,0.867,0.8,1.3,2.1,2.4,0.5,0.1,0.9,1.3,8.5,/players/c/collida01.html,0.083
1224,2017-18,30.0,IND,NBA,PG,7.0,7.0,30.6,4.4,9.7,0.456,1.1,3.3,3.3,6.4,0.511,0.515,1.3,1.7,0.75,0.1,2.9,3.0,4.7,1.0,0.0,1.3,1.0,11.3,/players/c/collida01.html,0.348
1225,2018-19,31.0,IND,NBA,PG,4.0,4.0,29.3,4.8,11.3,0.422,1.0,2.8,3.8,8.5,0.441,0.467,1.5,1.5,1.0,1.0,2.0,3.0,4.0,0.5,0.0,2.5,2.8,12.0,/players/c/collida01.html,0.364
1226,2004-05,24.0,SEA,NBA,C,11.0,0.0,19.8,3.4,5.5,0.607,0.1,0.1,3.3,5.5,0.6,0.615,1.5,2.5,0.63,2.0,3.0,5.0,0.5,0.3,0.5,0.5,3.6,8.4,/players/c/collini01.html,1.0
1227,2009-10,29.0,OKC,NBA,C,6.0,0.0,21.5,1.3,4.0,0.333,0.0,0.2,1.3,3.8,0.348,0.333,0.5,1.2,0.429,2.0,2.7,4.7,0.3,0.8,0.2,0.7,3.3,3.2,/players/c/collini01.html,0.0
1228,2010-11,30.0,OKC,NBA,C,17.0,0.0,24.3,2.8,4.5,0.632,0.0,0.0,2.8,4.5,0.632,0.632,1.1,1.4,0.783,2.8,3.0,5.8,0.9,0.9,0.9,0.8,3.7,6.7,/players/c/collini01.html,
1229,2011-12,31.0,OKC,NBA,PF,20.0,0.0,16.6,1.7,2.6,0.647,0.0,0.0,1.7,2.6,0.647,0.647,0.2,0.4,0.429,1.5,1.9,3.4,1.0,0.6,0.3,0.6,2.6,3.5,/players/c/collini01.html,
1230,2012-13,32.0,OKC,NBA,C,11.0,0.0,16.2,2.0,4.3,0.468,0.0,0.0,2.0,4.3,0.468,0.468,1.0,1.1,0.917,2.3,2.4,4.6,1.1,0.5,1.0,0.9,3.4,5.0,/players/c/collini01.html,
1231,2013-14,33.0,OKC,NBA,PF,17.0,2.0,10.8,0.7,1.7,0.414,0.1,0.3,0.6,1.4,0.417,0.448,0.4,0.6,0.7,0.7,1.5,2.2,0.8,0.2,0.4,0.4,1.6,1.9,/players/c/collini01.html,0.4
1232,2015-16,35.0,OKC,NBA,PF,9.0,0.0,8.8,0.4,0.7,0.667,0.0,0.0,0.4,0.7,0.667,0.667,0.1,0.2,0.5,0.3,0.9,1.2,0.6,0.9,0.0,0.1,1.9,1.0,/players/c/collini01.html,
1233,2010-11,23.0,MEM,NBA,PG,13.0,13.0,39.0,5.5,14.1,0.388,0.8,2.8,4.6,11.2,0.411,0.418,3.4,4.1,0.83,0.5,3.3,3.8,6.4,1.1,0.2,2.3,3.0,15.2,/players/c/conlemi01.html,0.297
1234,2011-12,24.0,MEM,NBA,PG,7.0,7.0,39.6,4.6,10.9,0.421,1.6,3.1,3.0,7.7,0.389,0.493,3.4,4.6,0.75,0.6,2.7,3.3,7.1,0.9,0.0,2.3,2.7,14.1,/players/c/conlemi01.html,0.5
1235,2012-13,25.0,MEM,NBA,PG,15.0,15.0,38.3,5.5,14.4,0.384,1.2,4.3,4.3,10.1,0.428,0.426,4.7,6.2,0.763,0.8,3.9,4.7,7.1,1.7,0.3,2.3,2.3,17.0,/players/c/conlemi01.html,0.281
1236,2013-14,26.0,MEM,NBA,PG,7.0,7.0,38.1,6.3,14.6,0.431,0.4,3.9,5.9,10.7,0.547,0.446,2.9,3.7,0.769,0.7,3.9,4.6,7.9,2.0,0.1,2.1,2.0,15.9,/players/c/conlemi01.html,0.111
1237,2014-15,27.0,MEM,NBA,PG,8.0,8.0,30.4,5.1,12.0,0.427,1.3,4.1,3.9,7.9,0.492,0.479,2.9,3.5,0.821,0.0,1.1,1.1,5.0,1.4,0.0,1.5,1.3,14.4,/players/c/conlemi01.html,0.303
1238,2016-17,29.0,MEM,NBA,PG,6.0,6.0,37.3,8.3,17.2,0.485,2.8,6.3,5.5,10.8,0.508,0.568,5.2,6.2,0.838,0.2,3.2,3.3,7.0,1.7,0.5,2.0,1.8,24.7,/players/c/conlemi01.html,0.447
1239,2019-20,32.0,UTA,NBA,PG,5.0,5.0,33.0,6.2,12.8,0.484,3.6,6.8,2.6,6.0,0.433,0.625,3.8,4.4,0.864,0.6,2.2,2.8,5.2,1.6,0.2,1.0,2.0,19.8,/players/c/conlemi01.html,0.529
1240,2020-21,33.0,UTA,NBA,PG,6.0,6.0,29.3,4.8,11.3,0.426,3.0,6.2,1.8,5.2,0.355,0.559,2.7,2.7,1.0,0.5,3.0,3.5,7.7,0.2,0.5,2.3,2.5,15.3,/players/c/conlemi01.html,0.486
1241,2021-22,34.0,UTA,NBA,PG,6.0,6.0,29.0,3.2,9.5,0.333,0.8,4.2,2.3,5.3,0.438,0.377,2.0,2.5,0.8,0.3,2.8,3.2,4.8,0.8,0.3,2.2,3.2,9.2,/players/c/conlemi01.html,0.2
1242,1991-92,24.0,SEA,NBA,C,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,/players/c/conloma01.html,
1243,1997-98,30.0,MIA,NBA,C,3.0,0.0,15.3,1.0,2.3,0.429,0.0,0.0,1.0,2.3,0.429,0.429,0.3,0.7,0.5,0.3,1.0,1.3,1.0,0.3,0.3,2.0,2.3,2.3,/players/c/conloma01.html,
1244,2015-16,23.0,POR,NBA,SG,6.0,0.0,1.3,0.5,0.8,0.6,0.3,0.5,0.2,0.3,0.5,0.8,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.3,/players/c/connapa01.html,0.667
1245,2016-17,24.0,POR,NBA,SG,3.0,0.0,8.0,0.7,3.0,0.222,0.0,2.0,0.7,1.0,0.667,0.222,1.0,1.0,1.0,0.3,2.0,2.3,1.3,0.0,0.0,0.0,0.0,2.3,/players/c/connapa01.html,0.0
1246,2017-18,25.0,POR,NBA,SG,4.0,0.0,14.8,1.5,3.8,0.4,0.5,2.5,1.0,1.3,0.8,0.467,0.5,0.5,1.0,0.5,0.5,1.0,1.5,0.3,0.3,0.3,2.3,4.0,/players/c/connapa01.html,0.2
1247,2018-19,26.0,MIL,NBA,SG,15.0,0.0,21.6,2.5,5.1,0.481,1.0,2.8,1.5,2.3,0.629,0.578,0.3,0.5,0.5,0.7,5.5,6.2,1.4,0.4,0.9,0.5,0.9,6.2,/players/c/connapa01.html,0.357
1248,2019-20,27.0,MIL,NBA,SG,10.0,0.0,17.1,1.5,3.5,0.429,0.8,2.3,0.7,1.2,0.583,0.543,0.2,0.2,1.0,0.5,3.4,3.9,1.1,0.2,0.2,0.5,1.2,4.0,/players/c/connapa01.html,0.348
1249,2020-21,28.0,MIL,NBA,SG,23.0,1.0,23.7,2.4,5.2,0.462,1.6,4.1,0.8,1.0,0.75,0.618,0.5,0.6,0.846,1.3,3.1,4.4,0.9,0.4,0.3,0.5,1.7,6.9,/players/c/connapa01.html,0.389
1250,2021-22,29.0,MIL,NBA,SG,12.0,0.0,26.5,3.5,7.3,0.477,2.1,5.3,1.4,2.0,0.708,0.619,0.4,0.4,1.0,0.3,4.0,4.3,0.9,0.4,0.3,0.6,1.2,9.5,/players/c/connapa01.html,0.391
1251,2003-04,23.0,LAL,NBA,C,13.0,0.0,3.5,0.4,1.2,0.333,0.0,0.0,0.4,1.2,0.333,0.333,0.2,0.2,1.0,0.2,0.7,0.9,0.1,0.1,0.0,0.2,0.5,0.9,/players/c/cookbr01.html,
1252,2005-06,25.0,LAL,NBA,PF,7.0,0.0,11.1,2.6,6.6,0.391,0.6,1.6,2.0,5.0,0.4,0.435,0.6,0.6,1.0,1.6,1.6,3.1,1.1,0.1,0.0,0.4,2.1,6.3,/players/c/cookbr01.html,0.364
1253,2006-07,26.0,LAL,NBA,PF,5.0,0.0,10.2,1.2,3.6,0.333,0.6,1.4,0.6,2.2,0.273,0.417,0.6,0.6,1.0,0.4,0.8,1.2,0.0,0.0,0.2,0.4,2.6,3.6,/players/c/cookbr01.html,0.429
1254,2008-09,28.0,HOU,NBA,PF,6.0,0.0,5.3,0.7,2.5,0.267,0.3,1.5,0.3,1.0,0.333,0.333,0.0,0.0,,0.5,1.5,2.0,0.5,0.3,0.2,0.7,0.7,1.7,/players/c/cookbr01.html,0.222
1255,2008-09,21.0,MIA,NBA,SF,7.0,0.0,23.0,1.9,6.0,0.31,1.3,4.3,0.6,1.7,0.333,0.417,0.3,0.3,1.0,0.4,2.0,2.4,0.6,0.3,0.0,0.9,2.6,5.3,/players/c/cookda02.html,0.3
1256,2010-11,23.0,OKC,NBA,SG,17.0,0.0,11.5,1.3,3.3,0.393,0.9,2.7,0.4,0.6,0.6,0.536,0.2,0.2,1.0,0.1,1.5,1.6,0.1,0.2,0.0,0.4,1.0,3.8,/players/c/cookda02.html,0.348
1257,2011-12,24.0,OKC,NBA,SG,16.0,0.0,6.8,0.9,2.3,0.378,0.5,1.5,0.4,0.8,0.462,0.486,0.0,0.1,0.0,0.0,0.6,0.6,0.3,0.2,0.0,0.0,0.4,2.3,/players/c/cookda02.html,0.333
1258,2012-13,25.0,CHI,NBA,SG,6.0,0.0,6.0,0.2,1.7,0.1,0.2,1.3,0.0,0.3,0.0,0.15,0.0,0.0,,0.0,0.5,0.5,0.7,0.2,0.0,0.7,1.0,0.5,/players/c/cookda02.html,0.125
1259,2017-18,24.0,GSW,NBA,PG,17.0,0.0,10.3,1.8,3.9,0.448,0.4,1.8,1.4,2.1,0.639,0.5,0.8,1.0,0.824,0.1,1.2,1.4,0.6,0.2,0.1,0.3,0.8,4.8,/players/c/cookqu01.html,0.226
1260,2018-19,25.0,GSW,NBA,PG,17.0,0.0,11.4,1.6,4.1,0.4,0.6,2.0,1.0,2.1,0.472,0.479,0.2,0.2,1.0,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2,/players/c/cookqu01.html,0.324
1261,2019-20,26.0,LAL,NBA,PG,6.0,0.0,4.0,0.8,1.7,0.5,0.3,0.7,0.5,1.0,0.5,0.6,0.2,0.2,1.0,0.0,0.2,0.2,0.8,0.0,0.0,0.2,0.2,2.2,/players/c/cookqu01.html,0.5
1262,2019-20,22.0,DEN,NBA,SF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/c/cookty01.html,
1263,1992-93,23.0,LAL,NBA,PG,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,/players/c/coopedu01.html,0.0
1264,2012-13,28.0,NYK,NBA,PF,9.0,1.0,10.3,1.3,3.3,0.4,1.2,2.6,0.1,0.8,0.143,0.583,0.2,0.2,1.0,0.2,0.8,1.0,0.1,0.6,0.0,0.4,1.0,4.1,/players/c/copelch01.html,0.478
1265,2013-14,29.0,IND,NBA,SF,12.0,0.0,6.8,1.0,2.3,0.429,0.5,1.3,0.5,1.0,0.5,0.536,0.5,0.8,0.667,0.1,0.3,0.4,0.1,0.3,0.3,0.4,1.1,3.0,/players/c/copelch01.html,0.375
1266,1989-90,24.0,PHI,NBA,SG,4.0,0.0,2.3,0.5,1.5,0.333,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,1.0,/players/c/copella01.html,
1267,1985-86,23.0,SAS,NBA,SF,1.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,/players/c/corbity01.html,
1268,1988-89,26.0,PHO,NBA,SF,12.0,12.0,25.8,3.8,7.2,0.523,0.0,0.0,3.8,7.2,0.523,0.523,1.6,2.1,0.76,3.6,3.5,7.1,2.2,2.0,0.3,1.2,3.1,9.1,/players/c/corbity01.html,
1269,1991-92,29.0,UTA,NBA,SF,16.0,0.0,27.9,4.3,8.6,0.504,0.0,0.1,4.3,8.4,0.511,0.504,2.6,3.4,0.778,2.4,3.1,5.5,1.1,0.8,0.2,1.1,2.8,11.3,/players/c/corbity01.html,0.0
1270,1992-93,30.0,UTA,NBA,SF,5.0,0.0,32.2,4.8,10.0,0.48,0.0,0.0,4.8,10.0,0.48,0.48,2.2,3.4,0.647,3.2,4.4,7.6,1.8,0.6,0.2,1.4,3.0,11.8,/players/c/corbity01.html,
1271,1993-94,31.0,UTA,NBA,SF,16.0,11.0,25.8,2.6,6.6,0.387,0.3,0.8,2.3,5.9,0.394,0.406,0.9,0.9,0.933,1.6,3.4,4.9,0.9,1.3,0.2,0.7,1.9,6.3,/players/c/corbity01.html,0.333
1272,1994-95,32.0,ATL,NBA,SF,3.0,2.0,26.3,4.0,8.7,0.462,0.7,2.0,3.3,6.7,0.5,0.5,2.7,3.0,0.889,2.0,1.3,3.3,0.7,0.7,0.3,0.7,3.3,11.3,/players/c/corbity01.html,0.333
1273,1995-96,33.0,MIA,NBA,SF,2.0,0.0,17.0,0.5,2.5,0.2,0.0,0.0,0.5,2.5,0.2,0.2,1.5,2.0,0.75,2.0,1.5,3.5,0.5,1.0,0.0,0.5,1.5,2.5,/players/c/corbity01.html,
1274,1996-97,34.0,ATL,NBA,SF,10.0,10.0,36.4,4.2,9.2,0.457,1.3,3.7,2.9,5.5,0.527,0.527,0.9,0.9,1.0,1.2,3.1,4.3,2.0,0.4,0.2,1.4,2.9,10.6,/players/c/corbity01.html,0.351
1275,1997-98,35.0,ATL,NBA,SF,4.0,4.0,28.3,1.8,6.3,0.28,0.3,1.5,1.5,4.8,0.316,0.3,0.0,0.0,,0.8,3.0,3.8,1.0,1.5,0.3,0.8,2.5,3.8,/players/c/corbity01.html,0.167
1276,1998-99,36.0,ATL,NBA,SF,9.0,4.0,29.8,3.3,8.0,0.417,0.7,2.6,2.7,5.4,0.49,0.458,0.3,0.4,0.75,0.8,2.9,3.7,1.8,0.7,0.0,0.9,2.2,7.7,/players/c/corbity01.html,0.261
1277,1999-00,37.0,SAC,NBA,SF,3.0,0.0,7.7,0.7,1.7,0.4,0.0,0.7,0.7,1.0,0.667,0.4,0.0,0.3,0.0,0.3,1.3,1.7,1.0,0.0,0.0,0.0,0.7,1.3,/players/c/corbity01.html,0.0
1278,2018-19,28.0,GSW,NBA,C,8.0,5.0,16.6,2.6,6.6,0.396,0.4,1.5,2.3,5.1,0.439,0.425,2.0,3.1,0.64,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6,/players/c/couside01.html,0.25
1279,2020-21,30.0,LAC,NBA,C,7.0,0.0,8.3,2.7,6.0,0.452,0.6,1.4,2.1,4.6,0.469,0.5,1.6,2.0,0.786,0.9,1.1,2.0,0.7,0.3,0.4,0.7,1.9,7.6,/players/c/couside01.html,0.4
1280,2021-22,31.0,DEN,NBA,C,5.0,0.0,11.4,3.8,5.8,0.655,0.8,1.2,3.0,4.6,0.652,0.724,2.2,3.0,0.733,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6,/players/c/couside01.html,0.667
1281,2017-18,27.0,PHI,NBA,SF,10.0,8.0,28.1,2.7,8.3,0.325,1.5,4.8,1.2,3.5,0.343,0.416,1.2,1.6,0.75,1.2,4.1,5.3,2.5,1.1,0.9,1.1,3.0,8.1,/players/c/covinro01.html,0.313
1282,2019-20,29.0,HOU,NBA,C,12.0,12.0,31.6,3.9,7.9,0.495,2.8,5.7,1.1,2.3,0.481,0.674,0.5,0.6,0.857,0.7,4.3,5.0,1.3,2.5,1.1,1.0,3.8,11.2,/players/c/covinro01.html,0.5
1283,2020-21,30.0,POR,NBA,PF,6.0,6.0,38.0,3.0,6.0,0.5,1.8,3.7,1.2,2.3,0.5,0.653,1.5,1.7,0.9,1.5,6.3,7.8,1.2,1.5,1.0,1.3,3.3,9.3,/players/c/covinro01.html,0.5
1284,2014-15,22.0,POR,NBA,SG,2.0,1.0,19.5,2.0,2.5,0.8,1.0,1.0,1.0,1.5,0.667,1.0,0.0,0.0,,0.0,1.5,1.5,0.5,1.0,0.5,0.5,0.5,5.0,/players/c/crabbal01.html,1.0
1285,2015-16,23.0,POR,NBA,SG,11.0,0.0,27.5,3.5,6.6,0.521,1.4,3.2,2.1,3.5,0.605,0.623,1.3,1.7,0.737,0.5,2.5,2.9,1.4,0.6,0.1,0.5,2.1,9.5,/players/c/crabbal01.html,0.429
1286,2016-17,24.0,POR,NBA,SG,4.0,0.0,23.0,2.3,6.0,0.375,0.8,3.3,1.5,2.8,0.545,0.438,0.3,0.8,0.333,0.0,3.0,3.0,0.5,0.3,0.0,0.3,2.3,5.5,/players/c/crabbal01.html,0.231
1287,2018-19,28.0,DEN,NBA,SF,14.0,11.0,23.6,2.4,4.9,0.478,1.2,2.6,1.1,2.4,0.485,0.601,0.6,1.1,0.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6,/players/c/craigto01.html,0.472
1288,2019-20,29.0,DEN,NBA,SF,19.0,3.0,19.7,1.7,4.1,0.423,0.6,2.2,1.2,1.9,0.611,0.494,0.5,0.7,0.692,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5,/players/c/craigto01.html,0.262
1289,2020-21,30.0,PHO,NBA,SF,22.0,0.0,12.1,1.5,3.4,0.427,0.7,1.7,0.8,1.7,0.447,0.527,0.4,0.6,0.615,0.9,2.0,2.9,0.4,0.0,0.4,0.5,1.5,4.0,/players/c/craigto01.html,0.405
1290,2021-22,31.0,PHO,NBA,SF,9.0,0.0,7.7,0.9,2.4,0.364,0.3,1.1,0.6,1.3,0.417,0.432,0.1,0.2,0.5,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,/players/c/craigto01.html,0.3
1291,1997-98,22.0,ATL,NBA,PF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,/players/c/crawfch01.html,
1292,1998-99,23.0,ATL,NBA,PF,6.0,5.0,20.8,2.7,8.0,0.333,0.7,2.3,2.0,5.7,0.353,0.375,3.8,4.3,0.885,1.0,2.2,3.2,0.8,0.2,0.2,1.0,3.2,9.8,/players/c/crawfch01.html,0.286
1293,2009-10,29.0,ATL,NBA,SG,11.0,0.0,31.9,5.1,14.0,0.364,1.6,4.5,3.5,9.5,0.365,0.422,4.5,5.3,0.845,0.1,2.6,2.7,2.7,0.8,0.1,1.8,2.4,16.3,/players/c/crawfja01.html,0.36
1294,2010-11,30.0,ATL,NBA,SG,12.0,0.0,29.8,5.1,12.9,0.394,1.8,5.0,3.3,7.9,0.421,0.461,3.5,4.3,0.824,0.1,1.3,1.3,2.5,0.8,0.3,1.3,1.4,15.4,/players/c/crawfja01.html,0.35
1295,2012-13,32.0,LAC,NBA,SG,6.0,0.0,26.8,4.0,10.3,0.387,1.0,3.7,3.0,6.7,0.45,0.435,1.8,1.8,1.0,0.3,1.7,2.0,1.7,0.5,0.2,0.7,1.5,10.8,/players/c/crawfja01.html,0.273
1296,2013-14,33.0,LAC,NBA,SG,13.0,0.0,24.1,5.2,13.2,0.398,2.1,6.1,3.2,7.1,0.446,0.477,3.0,3.4,0.886,0.4,1.1,1.5,2.0,0.9,0.2,1.2,1.8,15.5,/players/c/crawfja01.html,0.342
1297,2014-15,34.0,LAC,NBA,SG,14.0,0.0,27.1,4.8,13.3,0.36,1.3,5.3,3.5,8.0,0.438,0.409,1.9,2.1,0.867,0.4,1.7,2.1,1.9,0.9,0.2,1.2,2.4,12.7,/players/c/crawfja01.html,0.243
1298,2015-16,35.0,LAC,NBA,SG,6.0,1.0,33.2,6.5,17.2,0.379,0.7,3.5,5.8,13.7,0.427,0.398,3.7,4.2,0.88,0.3,1.8,2.2,2.2,1.7,0.0,1.5,1.5,17.3,/players/c/crawfja01.html,0.19
1299,2016-17,36.0,LAC,NBA,SG,7.0,0.0,28.0,5.0,11.9,0.422,0.9,3.6,4.1,8.3,0.5,0.458,1.7,1.7,1.0,0.3,1.0,1.3,1.9,0.6,0.1,1.3,1.7,12.6,/players/c/crawfja01.html,0.24
1300,2017-18,37.0,MIN,NBA,SG,5.0,0.0,24.6,4.2,9.4,0.447,1.4,3.4,2.8,6.0,0.467,0.521,2.0,2.6,0.769,0.2,2.4,2.6,2.4,1.0,0.0,1.0,1.2,11.8,/players/c/crawfja01.html,0.412
1301,2012-13,24.0,BOS,NBA,SG,5.0,0.0,11.8,1.4,4.6,0.304,0.6,2.4,0.8,2.2,0.364,0.37,0.2,0.4,0.5,0.0,0.6,0.6,0.0,0.4,0.0,0.6,0.6,3.6,/players/c/crawfjo02.html,0.25
1302,2013-14,25.0,GSW,NBA,SG,6.0,0.0,9.5,2.0,5.5,0.364,0.3,1.2,1.7,4.3,0.385,0.394,1.8,2.3,0.786,0.7,0.8,1.5,0.3,0.2,0.0,0.8,1.2,6.2,/players/c/crawfjo02.html,0.286
1303,2017-18,29.0,NOP,NBA,SG,2.0,0.0,7.5,4.0,6.5,0.615,1.5,4.0,2.5,2.5,1.0,0.731,0.0,0.0,,0.0,2.0,2.0,0.5,0.5,0.0,1.5,0.5,9.5,/players/c/crawfjo02.html,0.375
1304,1998-99,23.0,IND,NBA,PF,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,/players/c/croshau01.html,
1305,1999-00,24.0,IND,NBA,PF,23.0,2.0,21.3,2.8,6.7,0.418,0.7,1.6,2.1,5.0,0.422,0.467,3.2,3.8,0.839,1.3,3.4,4.7,0.8,0.4,0.7,1.1,2.2,9.4,/players/c/croshau01.html,0.405
1306,2000-01,25.0,IND,NBA,PF,4.0,0.0,32.3,3.5,8.8,0.4,0.5,2.5,3.0,6.3,0.48,0.429,3.3,3.8,0.867,1.3,3.8,5.0,1.5,1.0,0.5,2.3,3.8,10.8,/players/c/croshau01.html,0.2
1307,2001-02,26.0,IND,NBA,PF,4.0,0.0,14.8,2.0,5.0,0.4,0.5,1.5,1.5,3.5,0.429,0.45,1.5,2.0,0.75,1.0,2.5,3.5,0.5,0.3,0.3,1.5,1.8,6.0,/players/c/croshau01.html,0.333
1308,2002-03,27.0,IND,NBA,PF,4.0,0.0,11.5,1.3,4.8,0.263,0.0,1.5,1.3,3.3,0.385,0.263,1.5,1.8,0.857,2.0,2.3,4.3,0.8,0.0,0.3,0.8,1.3,4.0,/players/c/croshau01.html,0.0
1309,2003-04,28.0,IND,NBA,PF,13.0,2.0,16.5,1.5,4.2,0.345,0.6,1.8,0.8,2.4,0.355,0.418,1.3,1.6,0.81,1.0,2.1,3.1,0.9,0.3,0.2,0.5,1.3,4.8,/players/c/croshau01.html,0.333
1310,2004-05,29.0,IND,NBA,PF,10.0,0.0,8.8,0.4,1.0,0.4,0.2,0.4,0.2,0.6,0.333,0.5,1.5,1.8,0.833,0.7,1.0,1.7,0.0,0.4,0.1,0.6,1.0,2.5,/players/c/croshau01.html,0.5
1311,2005-06,30.0,IND,NBA,PF,6.0,2.0,29.2,2.0,6.3,0.316,1.5,3.8,0.5,2.5,0.2,0.434,2.7,3.0,0.889,0.8,2.8,3.7,1.2,0.8,0.0,1.0,1.8,8.2,/players/c/croshau01.html,0.391
1312,2006-07,31.0,DAL,NBA,PF,3.0,0.0,11.3,1.3,4.0,0.333,1.0,1.3,0.3,2.7,0.125,0.458,1.3,1.3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.7,1.7,5.0,/players/c/croshau01.html,0.75
1313,1992-93,23.0,UTA,NBA,PG,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,/players/c/crottjo01.html,
1314,1993-94,24.0,UTA,NBA,PG,8.0,0.0,4.8,0.5,1.4,0.364,0.3,0.3,0.3,1.1,0.222,0.455,0.3,0.3,1.0,0.0,0.4,0.4,1.1,0.1,0.0,0.1,0.8,1.5,/players/c/crottjo01.html,1.0
