SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
1997-98,30,CHH,NBA,PG,9,0,16.2,1.8,4.7,0.381,0.2,0.6,1.6,4.1,0.378,0.405,0.3,0.4,0.75,0.2,0.9,1.1,2.0,0.7,0.0,0.7,1.2,4.1,/players/a/armstbj01.html,0.4
1998-99,31,ORL,NBA,PG,2,0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,/players/a/armstbj01.html,0.0
2003-04,23,NJN,NBA,SG,8,0,4.0,0.4,1.5,0.25,0.0,0.1,0.4,1.4,0.273,0.25,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.1,0.0,0.0,0.5,0.8,/players/a/armstbr01.html,0.0
1996-97,28,ORL,NBA,PG,5,0,28.6,4.0,8.4,0.476,1.2,3.6,2.8,4.8,0.583,0.548,2.2,2.6,0.846,0.6,3.6,4.2,3.4,1.6,0.2,1.4,1.2,11.4,/players/a/armstda01.html,0.333
1998-99,30,ORL,NBA,PG,4,4,40.8,4.3,11.5,0.37,2.3,6.0,2.0,5.5,0.364,0.467,4.0,4.0,1.0,1.5,3.5,5.0,6.3,2.3,0.0,6.3,4.0,14.8,/players/a/armstda01.html,0.375
2000-01,32,ORL,NBA,PG,4,4,41.8,4.3,11.3,0.378,1.8,4.8,2.5,6.5,0.385,0.456,3.0,3.3,0.923,1.3,4.3,5.5,4.8,2.0,0.5,2.8,2.5,13.3,/players/a/armstda01.html,0.368
2001-02,33,ORL,NBA,PG,4,4,39.5,5.0,10.5,0.476,1.0,4.3,4.0,6.3,0.64,0.524,4.3,5.3,0.81,0.8,2.0,2.8,3.3,1.3,0.0,1.8,3.5,15.3,/players/a/armstda01.html,0.235
2002-03,34,ORL,NBA,PG,7,1,32.3,2.9,6.3,0.455,0.9,2.6,2.0,3.7,0.538,0.523,2.9,3.1,0.909,1.0,1.4,2.4,3.7,0.9,0.0,2.4,3.1,9.4,/players/a/armstda01.html,0.333
2003-04,35,NOH,NBA,PG,7,0,21.4,1.1,4.9,0.235,0.7,3.6,0.4,1.3,0.333,0.309,0.4,0.4,1.0,0.9,1.3,2.1,2.3,0.9,0.0,1.9,1.4,3.4,/players/a/armstda01.html,0.2
2004-05,36,DAL,NBA,PG,9,0,7.3,0.9,1.8,0.5,0.2,0.9,0.7,0.9,0.75,0.563,0.0,0.0,0.0,0.3,0.1,0.4,1.0,0.3,0.2,0.2,1.0,2.0,/players/a/armstda01.html,0.25
2005-06,37,DAL,NBA,PG,11,0,4.3,0.3,1.4,0.2,0.0,0.6,0.3,0.7,0.375,0.2,0.2,0.2,1.0,0.1,0.5,0.6,0.2,0.3,0.1,0.1,0.8,0.7,/players/a/armstda01.html,0.0
2007-08,23,NOH,NBA,C,8,0,9.0,1.0,1.6,0.615,0.0,0.0,1.0,1.6,0.615,0.615,0.6,1.3,0.5,1.1,1.4,2.5,0.0,0.0,0.8,0.5,1.5,2.6,/players/a/armsthi01.html,0.0
2008-09,24,NOH,NBA,C,4,1,13.3,1.5,3.3,0.462,0.0,0.0,1.5,3.3,0.462,0.462,0.8,2.5,0.3,0.8,1.3,2.0,0.3,1.0,0.3,1.5,3.8,3.8,/players/a/armsthi01.html,0.0
2010-11,26,ATL,NBA,C,8,0,4.4,0.1,0.6,0.2,0.0,0.0,0.1,0.6,0.2,0.2,0.4,0.8,0.5,0.5,0.8,1.3,0.1,0.4,0.0,0.3,0.9,0.6,/players/a/armsthi01.html,0.0
2013-14,29,GSW,NBA,C,7,0,2.4,0.6,1.1,0.5,0.0,0.1,0.6,1.0,0.571,0.5,0.0,0.3,0.0,0.4,0.1,0.6,0.3,0.0,0.3,0.6,0.9,1.1,/players/a/armsthi01.html,0.0
2002-03,23,UTA,NBA,PG,3,0,9.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,1.0,1.3,0.75,0.7,0.0,0.7,1.7,0.0,0.0,0.0,0.7,3.0,/players/a/arroyca01.html,0.0
2004-05,25,DET,NBA,PG,19,0,7.9,0.8,2.4,0.356,0.0,0.1,0.8,2.3,0.364,0.356,0.4,0.6,0.667,0.1,0.5,0.5,2.1,0.2,0.1,0.5,1.0,2.1,/players/a/arroyca01.html,0.0
2006-07,27,ORL,NBA,PG,3,0,13.3,1.7,4.7,0.357,0.0,0.7,1.7,4.0,0.417,0.357,0.7,0.7,1.0,0.7,1.0,1.7,2.0,0.3,0.0,0.3,1.3,4.0,/players/a/arroyca01.html,0.0
2007-08,28,ORL,NBA,PG,4,0,7.5,0.5,1.0,0.5,0.0,0.3,0.5,0.8,0.667,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.8,1.0,1.5,/players/a/arroyca01.html,0.0
2009-10,30,MIA,NBA,PG,5,5,23.0,2.4,5.2,0.462,0.0,0.2,2.4,5.0,0.48,0.462,0.4,0.4,1.0,0.4,1.4,1.8,2.2,0.6,0.0,0.6,1.8,5.2,/players/a/arroyca01.html,0.0
2010-11,22,MEM,NBA,PF,13,0,15.5,3.0,6.5,0.459,0.1,0.1,2.9,6.5,0.452,0.465,1.0,1.3,0.765,1.1,1.2,2.2,0.5,0.5,0.9,0.9,2.3,7.1,/players/a/arthuda01.html,1.0
2012-13,24,MEM,NBA,PF,15,0,11.7,1.7,3.5,0.472,0.0,0.1,1.7,3.4,0.49,0.472,0.5,0.6,0.889,0.9,1.6,2.5,0.4,0.1,0.3,0.5,2.4,3.9,/players/a/arthuda01.html,0.0
2010-11,24,CHI,NBA,C,15,0,9.9,0.4,0.9,0.462,0.0,0.0,0.4,0.9,0.462,0.462,0.2,0.7,0.3,0.7,1.4,2.1,0.1,0.1,0.5,0.5,1.4,1.0,/players/a/asikom01.html,0.0
2011-12,25,CHI,NBA,C,6,3,21.3,1.2,2.3,0.5,0.0,0.0,1.2,2.3,0.5,0.5,1.0,2.8,0.353,1.3,3.3,4.7,1.3,0.2,1.7,1.3,2.3,3.3,/players/a/asikom01.html,0.0
2012-13,26,HOU,NBA,C,6,6,34.7,3.7,6.5,0.564,0.0,0.0,3.7,6.5,0.564,0.564,5.0,7.8,0.638,3.5,7.7,11.2,0.5,0.5,1.7,2.0,3.7,12.3,/players/a/asikom01.html,0.0
2013-14,27,HOU,NBA,C,6,4,27.2,2.7,5.5,0.485,0.0,0.0,2.7,5.5,0.485,0.485,0.5,0.5,1.0,3.5,4.7,8.2,0.7,0.5,0.7,1.8,4.8,5.8,/players/a/asikom01.html,0.0
