SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2016-17,23,OKC,NBA,C,5,5,157.0,18.0,28.0,0.643,0.0,0.0,18.0,28.0,0.643,0.643,4.0,11.0,0.364,17.0,17.0,34.0,7.0,6.0,9.0,4.0,14.0,40.0,/players/a/adamsst01.html,0.0
2017-18,24,OKC,NBA,C,6,6,200.0,27.0,46.0,0.587,0.0,0.0,27.0,46.0,0.587,0.587,9.0,13.0,0.692,19.0,26.0,45.0,9.0,4.0,4.0,4.0,15.0,63.0,/players/a/adamsst01.html,0.0
2018-19,25,OKC,NBA,C,5,5,159.0,28.0,42.0,0.667,0.0,1.0,28.0,41.0,0.683,0.667,3.0,8.0,0.375,12.0,24.0,36.0,7.0,5.0,5.0,9.0,13.0,59.0,/players/a/adamsst01.html,0.0
2019-20,26,OKC,NBA,C,7,7,210.0,31.0,52.0,0.596,0.0,1.0,31.0,51.0,0.608,0.596,9.0,20.0,0.45,34.0,47.0,81.0,9.0,4.0,2.0,16.0,10.0,71.0,/players/a/adamsst01.html,0.0
2021-22,28,MEM,NBA,C,7,5,114.0,9.0,21.0,0.429,0.0,0.0,9.0,21.0,0.429,0.429,6.0,11.0,0.545,15.0,30.0,45.0,15.0,1.0,1.0,4.0,12.0,24.0,/players/a/adamsst01.html,0.0
1991-92,27,NJN,NBA,SF,1,0,9.0,2.0,7.0,0.286,1.0,2.0,1.0,5.0,0.2,0.357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,/players/a/addisra01.html,0.5
1992-93,28,NJN,NBA,SF,5,0,53.0,7.0,21.0,0.333,0.0,0.0,7.0,21.0,0.333,0.333,3.0,3.0,1.0,3.0,3.0,6.0,5.0,3.0,0.0,3.0,3.0,17.0,/players/a/addisra01.html,0.0
2017-18,20,MIA,NBA,C,5,0,77.0,7.0,15.0,0.467,0.0,1.0,7.0,14.0,0.5,0.467,3.0,14.0,0.214,9.0,11.0,20.0,0.0,0.0,2.0,2.0,8.0,17.0,/players/a/adebaba01.html,0.0
2019-20,22,MIA,NBA,PF,19,19,687.0,124.0,220.0,0.564,0.0,1.0,124.0,219.0,0.566,0.564,90.0,115.0,0.783,47.0,149.0,196.0,84.0,19.0,16.0,47.0,58.0,338.0,/players/a/adebaba01.html,0.0
2020-21,23,MIA,NBA,C,4,4,136.0,26.0,57.0,0.456,0.0,0.0,26.0,57.0,0.456,0.456,10.0,13.0,0.769,14.0,23.0,37.0,17.0,5.0,2.0,11.0,11.0,62.0,/players/a/adebaba01.html,0.0
2021-22,24,MIA,NBA,C,14,14,460.0,78.0,128.0,0.609,0.0,1.0,78.0,127.0,0.614,0.609,52.0,66.0,0.788,23.0,85.0,108.0,39.0,17.0,12.0,30.0,43.0,208.0,/players/a/adebaba01.html,0.0
2007-08,22,DET,NBA,SG,12,0,84.0,7.0,18.0,0.389,0.0,2.0,7.0,16.0,0.438,0.389,0.0,0.0,0.0,0.0,5.0,5.0,6.0,4.0,0.0,1.0,5.0,14.0,/players/a/afflaar01.html,0.0
2008-09,23,DET,NBA,SG,4,0,66.0,10.0,21.0,0.476,2.0,10.0,8.0,11.0,0.727,0.524,3.0,5.0,0.6,1.0,2.0,3.0,1.0,0.0,2.0,3.0,9.0,25.0,/players/a/afflaar01.html,0.2
2009-10,24,DEN,NBA,SG,6,6,120.0,20.0,32.0,0.625,6.0,14.0,14.0,18.0,0.778,0.719,9.0,11.0,0.818,1.0,11.0,12.0,7.0,1.0,2.0,4.0,21.0,55.0,/players/a/afflaar01.html,0.429
2010-11,25,DEN,NBA,SG,3,3,85.0,12.0,34.0,0.353,3.0,12.0,9.0,22.0,0.409,0.397,7.0,8.0,0.875,0.0,9.0,9.0,7.0,0.0,0.0,3.0,10.0,34.0,/players/a/afflaar01.html,0.25
