SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,URL
2017-18,24,OKC,NBA,C,6,200.0,16.0,0.609,0.0,0.283,10.2,13.6,11.9,7.0,1.0,1.8,7.2,12.2,0.5,0.2,0.7,0.158,1.6,-0.3,1.3,0.2,/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,159.0,15.7,0.648,0.024,0.19,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,0.2,0.1,0.3,0.103,-0.1,1.9,1.8,0.2,/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,7,210.0,16.3,0.584,0.019,0.385,17.6,22.6,20.2,7.1,0.9,1.2,20.8,15.8,0.2,0.3,0.5,0.109,0.6,-0.7,-0.1,0.1,/players/a/adamsst01.html
2021-22,28,MEM,NBA,C,7,114.0,12.8,0.464,0.0,0.524,13.1,29.4,20.8,17.6,0.4,0.9,13.4,10.7,0.2,0.2,0.3,0.129,-1.6,0.5,-1.1,0.0,/players/a/adamsst01.html
1991-92,27,NJN,NBA,SF,1,9.0,6.6,0.357,0.286,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,31.7,0.0,0.0,0.0,-0.134,1.2,-6.3,-5.1,0.0,/players/a/addisra01.html
1992-93,28,NJN,NBA,SF,5,53.0,9.1,0.381,0.0,0.143,6.8,6.6,6.7,14.4,3.0,0.0,11.8,21.9,-0.1,0.1,0.0,-0.028,-3.5,0.5,-3.0,0.0,/players/a/addisra01.html
2017-18,20,MIA,NBA,C,5,77.0,6.1,0.402,0.067,0.933,12.1,15.4,13.7,0.0,0.0,2.2,8.6,13.0,-0.1,0.0,-0.1,-0.036,-4.3,-4.5,-8.8,-0.1,/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,19,687.0,20.8,0.625,0.005,0.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,1.7,0.9,2.6,0.18,2.3,1.8,4.1,1.0,/players/a/adebaba01.html
2020-21,23,MIA,NBA,C,4,136.0,14.9,0.494,0.0,0.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,-0.1,0.1,0.0,0.011,0.4,0.5,0.9,0.1,/players/a/adebaba01.html
2021-22,24,MIA,NBA,C,14,460.0,19.2,0.662,0.008,0.516,6.0,22.6,14.3,13.0,1.9,2.9,16.0,18.1,1.0,0.8,1.8,0.192,1.0,2.5,3.4,0.6,/players/a/adebaba01.html
2007-08,22,DET,NBA,SG,12,84.0,6.7,0.389,0.111,0.0,0.0,7.6,3.8,11.5,2.7,0.0,5.3,11.1,0.0,0.1,0.0,0.028,-3.2,1.7,-1.5,0.0,/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,4,66.0,8.4,0.539,0.476,0.238,1.9,4.1,3.0,3.0,0.0,2.8,11.5,20.1,0.0,0.0,0.0,-0.016,-1.7,0.0,-1.7,0.0,/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,6,120.0,15.8,0.746,0.438,0.344,1.0,11.5,6.1,9.5,0.4,1.3,9.8,15.1,0.4,0.0,0.4,0.153,2.2,0.2,2.3,0.1,/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,3,85.0,7.9,0.453,0.353,0.235,0.0,11.8,5.9,15.3,0.0,0.0,7.4,21.8,-0.1,0.0,-0.1,-0.03,-2.1,-0.6,-2.7,0.0,/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,7,229.0,10.9,0.471,0.27,0.203,2.2,8.7,5.5,12.4,1.2,0.6,10.0,17.2,0.2,0.0,0.2,0.042,-1.0,-0.6,-1.6,0.0,/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,3,60.0,-5.0,0.201,0.333,0.083,0.0,12.8,6.3,5.0,0.0,0.0,19.4,11.8,-0.2,0.0,-0.2,-0.186,-8.8,-3.0,-11.8,-0.1,/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,3,24.0,20.9,0.644,0.333,0.667,4.6,9.5,7.0,0.0,0.0,0.0,0.0,21.1,0.1,0.0,0.1,0.179,5.0,0.4,5.4,0.0,/players/a/agerma01.html
2011-12,27,UTA,NBA,PG,3,8.0,33.9,0.833,0.333,0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,16.2,0.1,0.0,0.1,0.407,17.3,3.7,21.0,0.0,/players/a/ahearbl01.html
