,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
4415,/players/s/splitti01.html,Tiago Splitter,2011,2017,F-C,No College,2007.0,28.0,SAS,1985,210.82,111.13
4418,/players/s/sprewla01.html,Latrell Sprewell,1993,2005,G,Alabama,1992.0,24.0,GSW,1970,195.57999999999998,86.18
4419,/players/s/sprigla01.html,Larry Spriggs,1982,1986,F,Howard University,1981.0,81.0,HOU,1959,200.66,104.33
4420,/players/s/sprinja01.html,Jaden Springer,2022,2022,G,Tennessee,2021.0,28.0,PHI,2002,193.04,92.53
4423,/players/s/stackry01.html,Ryan Stack,1999,2000,F,South Carolina,1998.0,48.0,CLE,1975,210.82,97.52
4424,/players/s/stackje01.html,Jerry Stackhouse,1996,2013,G-F,UNC,1995.0,3.0,PHI,1974,198.12,98.88
4431,/players/s/stanlca01.html,Cassius Stanley,2021,2022,G,Duke,2020.0,54.0,IND,1999,195.57999999999998,86.18
4432,/players/s/stanste01.html,Terence Stansbury,1985,1987,G,Temple,1984.0,15.0,DAL,1961,195.57999999999998,77.11
4433,/players/s/starkjo01.html,John Starks,1989,2002,G,Oklahoma State,Undrafted,Undrafted,Undrafted,1965,190.5,81.65
4435,/players/s/stausni01.html,Nik Stauskas,2015,2022,G,Michigan,2014.0,8.0,SAC,1993,198.12,92.99
4438,/players/s/steigma01.html,Matt Steigenga,1997,1997,F,Michigan State,1992.0,52.0,CHI,1970,200.66,102.06
4439,/players/s/stepavl01.html,Vladimir Stepania,1999,2004,C,No College,1998.0,27.0,SEA,1976,213.36,107.05
4440,/players/s/stephdj01.html,D.J. Stephens,2014,2019,G-F,Memphis,Undrafted,Undrafted,Undrafted,1990,195.57999999999998,85.28
4441,/players/s/stephev01.html,Everette Stephens,1989,1991,G,Purdue,1988.0,31.0,PHI,1966,187.96,79.38
4443,/players/s/stephjo01.html,Joe Stephens,1997,2000,F,"Colorado, Little Rock",Undrafted,Undrafted,Undrafted,1973,200.66,95.25
4444,/players/s/stephla01.html,Lance Stephenson,2011,2022,G-F,Cincinnati,2010.0,40.0,IND,1990,198.12,104.33
4445,/players/s/stephal01.html,Alex Stepheson,2016,2016,F,"UNC, USC",Undrafted,Undrafted,Undrafted,1987,208.28,122.47
4446,/players/s/steppbr01.html,Brook Steppe,1983,1989,G-F,Georgia Tech,1982.0,17.0,KCK,1959,195.57999999999998,88.45
4447,/players/s/steveba01.html,Barry Stevens,1993,1993,G-F,Iowa State,1985.0,43.0,DEN,1963,195.57999999999998,88.45
4448,/players/s/stevela01.html,Lamar Stevens,2021,2022,F,Penn State,Undrafted,Undrafted,Undrafted,1997,198.12,104.33
4450,/players/s/stevede01.html,DeShawn Stevenson,2001,2013,G,No College,2000.0,23.0,UTA,1981,195.57999999999998,95.25
4452,/players/s/stewais01.html,Isaiah Stewart,2021,2022,F-C,Washington,2020.0,16.0,POR,2001,203.2,113.4
4453,/players/s/stewake01.html,Kebu Stewart,1998,1998,F,"UNLV, Cal State-Bakersfield",1997.0,35.0,PHI,1973,203.2,108.41
4454,/players/s/stewala01.html,Larry Stewart,1992,1997,F,Coppin State University,Undrafted,Undrafted,Undrafted,1968,203.2,99.79
4455,/players/s/stewami01.html,Michael Stewart,1998,2005,C,California,Undrafted,Undrafted,Undrafted,1975,208.28,104.33
4457,/players/s/stiemgr01.html,Greg Stiemsma,2012,2015,C,Wisconsin,Undrafted,Undrafted,Undrafted,1985,210.82,117.93
4458,/players/s/stipast01.html,Steve Stipanovich,1984,1988,C,Missouri,1983.0,2.0,IND,1960,210.82,111.13
4459,/players/s/stithbr01.html,Bryant Stith,1993,2002,G,Virginia,1992.0,13.0,DEN,1970,195.57999999999998,94.35
4462,/players/s/stivral01.html,Alex Stivrins,1986,1993,F,"Creighton, Colorado",1985.0,75.0,SEA,1962,203.2,99.79
4463,/players/s/stockda01.html,David Stockton,2015,2018,G,Gonzaga,Undrafted,Undrafted,Undrafted,1991,180.34,74.84
4464,/players/s/stockjo01.html,John Stockton,1985,2003,G,Gonzaga,1984.0,16.0,UTA,1962,185.42,77.11
4465,/players/s/stojape01.html,Peja Stojaković,1999,2011,F,No College,Undrafted,Undrafted,Undrafted,1977,208.28,103.87
4466,/players/s/stokeed01.html,Ed Stokes,1998,1998,C,Arizona,1993.0,35.0,MIA,1971,213.36,119.75
4467,/players/s/stokegr01.html,Greg Stokes,1986,1990,F-C,Iowa,1985.0,33.0,PHI,1963,208.28,99.79
4468,/players/s/stokeja01.html,Jarnell Stokes,2015,2017,F-C,Tennessee,2014.0,35.0,UTA,1994,205.74,119.29
4472,/players/s/stonedi01.html,Diamond Stone,2017,2017,C,Maryland,2016.0,40.0,NOP,1997,210.82,115.67
4474,/players/s/stoneju01.html,Julyan Stone,2012,2018,G,Texas-El Paso,Undrafted,Undrafted,Undrafted,1988,198.12,90.72
4475,/players/s/storeaw01.html,Awvee Storey,2005,2008,G-F,"Illinois, Arizona State",Undrafted,Undrafted,Undrafted,1977,198.12,100.7
4476,/players/s/stoudda01.html,Damon Stoudamire,1996,2008,G,Arizona,1995.0,7.0,TOR,1973,177.8,77.56
4477,/players/s/stoudsa01.html,Salim Stoudamire,2006,2008,G,Arizona,2005.0,31.0,ATL,1982,185.42,81.19
4478,/players/s/stoudam01.html,Amar'e Stoudemire,2003,2016,F-C,No College,2002.0,9.0,PHO,1982,208.28,111.13
4480,/players/s/strawdj01.html,D.J. Strawberry,2008,2008,G,Maryland,2007.0,59.0,PHO,1985,195.57999999999998,91.17
4483,/players/s/stricer01.html,Erick Strickland,1997,2005,G,Nebraska,Undrafted,Undrafted,Undrafted,1973,190.5,95.25
4484,/players/s/stricma01.html,Mark Strickland,1995,2003,F,Temple,Undrafted,Undrafted,Undrafted,1970,205.74,95.25
4485,/players/s/stricro02.html,Rod Strickland,1989,2005,G,DePaul,1988.0,19.0,NYK,1966,190.5,79.38
4488,/players/s/stroejo01.html,John Stroeder,1988,1989,F,Montana,1980.0,168.0,POR,1958,208.28,117.93
4489,/players/s/stronde01.html,Derek Strong,1992,2001,F,Xavier,1990.0,47.0,PHI,1968,203.2,99.79
4490,/players/s/strotla01.html,Lamont Strothers,1992,1993,G,Christopher Newport University,1991.0,43.0,GSW,1968,193.04,86.18
4491,/players/s/stroujo01.html,John Stroud,1981,1981,F,Ole Miss,1980.0,27.0,HOU,1957,200.66,97.52
4493,/players/s/strusma01.html,Max Strus,2020,2022,G,"Lewis (IL), DePaul",Undrafted,Undrafted,Undrafted,1996,195.57999999999998,97.52
4494,/players/s/stuckro01.html,Rodney Stuckey,2008,2017,G,Eastern Washington,2007.0,15.0,DET,1986,195.57999999999998,95.25
4497,/players/s/suggsja01.html,Jalen Suggs,2022,2022,G,Gonzaga,2021.0,5.0,ORL,2001,193.04,92.99
4499,/players/s/sullija01.html,Jared Sullinger,2013,2017,F,Ohio State,2012.0,21.0,BOS,1992,205.74,117.93
4500,/players/s/summeda01.html,DaJuan Summers,2010,2013,F,Georgetown,2009.0,35.0,DET,1988,203.2,104.33
4501,/players/s/sumneed01.html,Edmond Sumner,2018,2021,G,Xavier,2017.0,52.0,NOP,1995,193.04,88.9
4502,/players/s/sumptba01.html,Barry Sumpter,1989,1989,F-C,"Louisville, Austin Peay State University",1988.0,56.0,SAS,1965,210.82,97.52
4504,/players/s/sundobr01.html,Bruno Šundov,1999,2005,C,No College,Undrafted,Undrafted,Undrafted,1980,218.44000000000003,99.79
4505,/players/s/sundvjo01.html,Jon Sundvold,1984,1992,G,Missouri,1983.0,16.0,SEA,1961,187.96,77.11
4506,/players/s/surabo01.html,Bob Sura,1996,2005,G,Florida State,1995.0,17.0,CLE,1973,195.57999999999998,90.72
4509,/players/s/suttlda01.html,Dane Suttle,1984,1985,G,Pepperdine,1983.0,152.0,KCK,1961,190.5,86.18
4510,/players/s/suttogr01.html,Greg Sutton,1992,1996,G,Oral Roberts,1991.0,49.0,SAS,1967,187.96,77.11
4513,/players/s/swanica01.html,Caleb Swanigan,2018,2020,F,Purdue,2017.0,26.0,POR,1997,205.74,117.93
4516,/players/s/sweetmi01.html,Mike Sweetney,2004,2007,F,Georgetown,2003.0,9.0,NYK,1982,203.2,124.74
4517,/players/s/swiftro01.html,Robert Swift,2005,2009,C,No College,2004.0,12.0,SEA,1985,213.36,111.13
4519,/players/s/swiftst01.html,Stromile Swift,2001,2009,F,LSU,2000.0,2.0,VAN,1979,205.74,102.06
4520,/players/s/swinsaa01.html,Aaron Swinson,1995,1995,F,Auburn,Undrafted,Undrafted,Undrafted,1971,195.57999999999998,104.33
4521,/players/s/swordcr01.html,Craig Sword,2022,2022,G,Mississippi State,Undrafted,Undrafted,Undrafted,1994,190.5,88.9
4522,/players/s/sypa01.html,Pape Sy,2011,2011,F,No College,2010.0,53.0,ATL,1988,200.66,102.06
4524,/players/s/sykeske01.html,Keifer Sykes,2022,2022,G,Green Bay,Undrafted,Undrafted,Undrafted,1993,182.88,81.65
4525,/players/s/sykesla01.html,Larry Sykes,1996,1996,F,Xavier,Undrafted,Undrafted,Undrafted,1973,205.74,115.67
4526,/players/s/szabobr01.html,Brett Szabo,1997,1997,C,Augustana College (SD),Undrafted,Undrafted,Undrafted,1968,210.82,104.33
4527,/players/s/szczewa02.html,Wally Szczerbiak,2000,2009,F,Miami University,1999.0,6.0,MIN,1977,200.66,110.68
4529,/players/t/tabakza01.html,Žan Tabak,1995,2001,C,No College,Undrafted,Undrafted,Undrafted,1970,213.36,111.13
4530,/players/t/tabusyu01.html,Yuta Tabuse,2005,2005,G,Brigham Young University Hawaii,Undrafted,Undrafted,Undrafted,1980,175.26,74.84
4531,/players/t/taftch01.html,Chris Taft,2006,2006,F,Pitt,2005.0,42.0,GSW,1985,208.28,117.93
4533,/players/t/tarladr01.html,Dragan Tarlać,2001,2001,C,No College,Undrafted,Undrafted,Undrafted,1973,208.28,117.93
4534,/players/t/tarplro01.html,Roy Tarpley,1987,1995,C-F,Michigan,1986.0,7.0,DAL,1964,210.82,104.33
4536,/players/t/tateja01.html,Jae'Sean Tate,2021,2022,F,Ohio State,Undrafted,Undrafted,Undrafted,1995,193.04,104.33
4538,/players/t/tatumja01.html,Jayson Tatum,2018,2022,F,Duke,2017.0,3.0,BOS,1998,203.2,95.25
4539,/players/t/tavarwa01.html,Edy Tavares,2016,2017,C,No College,2014.0,43.0,ATL,1992,220.98000000000002,117.93
4540,/players/t/tayloan01.html,Anthony Taylor,1989,1989,G,Oregon,1988.0,44.0,ATL,1965,193.04,79.38
4542,/players/t/taylodo01.html,Donell Taylor,2006,2007,G,"Okaloosa-Walton Community College, UAB",Undrafted,Undrafted,Undrafted,1982,198.12,81.65
4545,/players/t/taylois01.html,Isaiah Taylor,2017,2018,G,Texas,Undrafted,Undrafted,Undrafted,1994,190.5,77.11
4546,/players/t/tayloja01.html,Jay Taylor,1990,1990,G,Eastern Illinois University,Undrafted,Undrafted,Undrafted,1967,190.5,86.18
4547,/players/t/tayloje01.html,Jeff Taylor,1983,1987,G,Texas Tech,2012.0,31.0,CHA,1960,193.04,79.38
4548,/players/t/tayloje01.html,Jeff Taylor,1983,1987,G,Texas Tech,1982.0,42.0,HOU,1960,193.04,79.38
4549,/players/t/tayloje03.html,Jeff Taylor,2013,2015,F,Vanderbilt,2012.0,31.0,CHA,1989,200.66,102.06
4550,/players/t/tayloje03.html,Jeff Taylor,2013,2015,F,Vanderbilt,1982.0,42.0,HOU,1989,200.66,102.06
4551,/players/t/tayloje02.html,Jermaine Taylor,2010,2011,G,Central Florida,2009.0,32.0,WAS,1986,193.04,95.25
4552,/players/t/taylojo01.html,Johnny Taylor,1998,2000,F,"Indian Hills Community College, Chattanooga",1997.0,17.0,ORL,1974,205.74,99.79
4553,/players/t/taylole01.html,Leonard Taylor,1990,1990,F,California,Undrafted,Undrafted,Undrafted,1966,203.2,99.79
4554,/players/t/tayloma01.html,Maurice Taylor,1998,2007,F,"Michigan, LSU",1997.0,14.0,LAC,1976,205.74,117.93
4555,/players/t/taylomi01.html,Mike Taylor,2009,2009,G,Iowa State,2008.0,55.0,POR,1986,187.96,74.84
4558,/players/t/taylote01.html,Terry Taylor,2022,2022,G-F,Austin Peay State University,Undrafted,Undrafted,Undrafted,1999,195.57999999999998,104.33
4559,/players/t/tayloty01.html,Tyshawn Taylor,2013,2014,G,Kansas,2012.0,41.0,POR,1990,190.5,83.91
4560,/players/t/taylovi01.html,Vince Taylor,1983,1983,G-F,Duke,1982.0,34.0,NYK,1960,195.57999999999998,81.65
4561,/players/t/teaglte01.html,Terry Teagle,1983,1993,F-G,Baylor,1982.0,16.0,HOU,1960,195.57999999999998,88.45
4562,/players/t/teaguje01.html,Jeff Teague,2010,2021,G,Wake Forest,2009.0,19.0,ATL,1988,190.5,88.45
4563,/players/t/teaguma01.html,Marquis Teague,2013,2018,G,Kentucky,2012.0,29.0,CHI,1993,187.96,85.73
4564,/players/t/teletmi01.html,Mirza Teletović,2013,2018,F,No College,Undrafted,Undrafted,Undrafted,1985,205.74,109.77
4565,/players/t/telfase01.html,Sebastian Telfair,2005,2015,G,No College,2004.0,13.0,POR,1985,182.88,74.84
4567,/players/t/templga01.html,Garrett Temple,2010,2022,G,LSU,Undrafted,Undrafted,Undrafted,1986,195.57999999999998,88.45
4568,/players/t/teodomi01.html,Miloš Teodosić,2018,2019,G,No College,Undrafted,Undrafted,Undrafted,1987,195.57999999999998,88.9
4570,/players/t/terreja01.html,Jared Terrell,2019,2019,G,Rhode Island,Undrafted,Undrafted,Undrafted,1995,190.5,102.97
4571,/players/t/terryca01.html,Carlos Terry,1981,1983,G-F,Winston-Salem State,1978.0,104.0,LAL,1956,195.57999999999998,95.25
4574,/players/t/terryem01.html,Emanuel Terry,2019,2022,F,Lincoln Memorial,Undrafted,Undrafted,Undrafted,1996,205.74,99.79
4575,/players/t/terryja01.html,Jason Terry,2000,2018,G,Arizona,1999.0,10.0,ATL,1977,187.96,83.91
4576,/players/t/terryty01.html,Tyrell Terry,2021,2022,G,Stanford,2020.0,31.0,DAL,2000,187.96,72.57
4577,/players/t/teskejo01.html,Jon Teske,2022,2022,C,Michigan,Undrafted,Undrafted,Undrafted,1997,215.9,120.2
4578,/players/t/thabeha01.html,Hasheem Thabeet,2010,2014,C,UConn,2009.0,2.0,MEM,1987,220.98000000000002,119.29
4581,/players/t/theisda01.html,Daniel Theis,2018,2022,C,No College,Undrafted,Undrafted,Undrafted,1992,203.2,111.13
4583,/players/t/thibepe01.html,Peter Thibeaux,1985,1986,F,Saint Mary's,1983.0,77.0,GSW,1961,200.66,95.25
4586,/players/t/thirdda01.html,David Thirdkill,1983,1987,F-G,Bradley,1982.0,15.0,PHO,1960,200.66,88.45
4587,/players/t/thomaad01.html,Adonis Thomas,2014,2014,F,Memphis,Undrafted,Undrafted,Undrafted,1993,200.66,90.72
4588,/players/t/thomabi01.html,Billy Thomas,2005,2008,G,Kansas,Undrafted,Undrafted,Undrafted,1975,193.04,94.35
4589,/players/t/thomabr01.html,Brodric Thomas,2021,2022,G,Truman State University,Undrafted,Undrafted,Undrafted,1997,195.57999999999998,83.91
4590,/players/t/thomaca02.html,Cam Thomas,2022,2022,G,LSU,2021.0,27.0,BRK,2001,193.04,95.25
4591,/players/t/thomaca01.html,Carl Thomas,1992,1998,G,Eastern Michigan,Undrafted,Undrafted,Undrafted,1969,193.04,79.38
4592,/players/t/thomach01.html,Charles Thomas,1992,1992,G,Eastern Michigan,Undrafted,Undrafted,Undrafted,1969,190.5,79.38
4593,/players/t/thomaet01.html,Etan Thomas,2002,2011,F,Syracuse,2000.0,12.0,DAL,1978,205.74,116.12
4594,/players/t/thomair01.html,Irving Thomas,1991,1991,F,"Kentucky, Florida State",Undrafted,Undrafted,Undrafted,1966,203.2,102.06
4595,/players/t/thomais02.html,Isaiah Thomas,2012,2022,G,Washington,2011.0,60.0,SAC,1989,175.26,83.91
4596,/players/t/thomais01.html,Isiah Thomas,1982,1994,G,Indiana,1981.0,2.0,DET,1961,185.42,81.65
4597,/players/t/thomaja01.html,Jamel Thomas,2000,2001,F,Providence,Undrafted,Undrafted,Undrafted,1973,198.12,97.52
4598,/players/t/thomaja02.html,James Thomas,2005,2006,F,Texas,Undrafted,Undrafted,Undrafted,1980,203.2,106.59
4599,/players/t/thomaji01.html,Jim Thomas,1984,1991,G,Indiana,1983.0,40.0,IND,1960,190.5,86.18
4601,/players/t/thomajo02.html,John Thomas,1998,2006,F,Minnesota,1997.0,25.0,NYK,1975,205.74,120.2
4602,/players/t/thomajo02.html,John Thomas,1998,2006,F,Minnesota,1976.0,141.0,CHI,1975,205.74,120.2
4603,/players/t/thomajo02.html,John Thomas,1998,2006,F,Minnesota,1973.0,126.0,HOU,1975,205.74,120.2
4604,/players/t/thomake01.html,Kenny Thomas,2000,2010,F,New Mexico,1999.0,22.0,HOU,1977,200.66,118.39
4605,/players/t/thomakh01.html,Khyri Thomas,2019,2021,G,Creighton,2018.0,38.0,PHI,1996,190.5,95.25
4606,/players/t/thomaku01.html,Kurt Thomas,1996,2013,F,TCU,1995.0,10.0,MIA,1972,205.74,104.33
4607,/players/t/thomala01.html,Lance Thomas,2012,2020,F,Duke,Undrafted,Undrafted,Undrafted,1988,203.2,108.86
4608,/players/t/thomama01.html,Malcolm Thomas,2012,2015,F,"Pepperdine, San Diego State",1985.0,121.0,LAC,1988,205.74,102.06
4609,/players/t/thomama02.html,Matt Thomas,2020,2022,G,Iowa State,Undrafted,Undrafted,Undrafted,1994,193.04,86.18
4612,/players/t/thomati01.html,Tim Thomas,1998,2010,F,Villanova,1997.0,7.0,NJN,1977,208.28,104.33
4613,/players/t/thomaty01.html,Tyrus Thomas,2007,2015,F,LSU,2006.0,4.0,POR,1986,205.74,97.52
4615,/players/t/thomptr02.html,Trey Thompkins,2012,2012,F,Georgia,2011.0,37.0,LAC,1990,208.28,111.13
4616,/players/t/thompbe01.html,Bernard Thompson,1985,1989,F-G,Fresno State,1984.0,19.0,POR,1962,198.12,95.25
4617,/players/t/thompbi01.html,Billy Thompson,1987,1992,F,Louisville,1986.0,19.0,ATL,1963,200.66,88.45
4618,/players/t/thompbr01.html,Brooks Thompson,1995,1998,G,"Texas A&M, Oklahoma State",1994.0,27.0,ORL,1970,193.04,87.54
4619,/players/t/thompco01.html,Corny Thompson,1983,1983,F,UConn,1982.0,50.0,DAL,1960,203.2,102.06
4622,/players/t/thompdi01.html,Dijon Thompson,2006,2007,G-F,UCLA,2005.0,54.0,NYK,1983,200.66,88.45
4624,/players/t/thompho01.html,Hollis Thompson,2014,2017,G-F,Georgetown,Undrafted,Undrafted,Undrafted,1991,203.2,93.44
4626,/players/t/thompja02.html,Jason Thompson,2009,2016,F-C,Rider University,2008.0,12.0,SAC,1986,210.82,113.4
4628,/players/t/thompke01.html,Kevin Thompson,1994,1994,C-F,NC State,1993.0,48.0,POR,1971,210.82,117.93
4629,/players/t/thompkl01.html,Klay Thompson,2012,2022,G-F,Washington State,2011.0,11.0,GSW,1990,198.12,97.52
4630,/players/t/thompla01.html,LaSalle Thompson,1983,1997,C-F,Texas,1982.0,5.0,KCK,1961,208.28,111.13
4632,/players/t/thompmy02.html,Mychel Thompson,2012,2012,G,Pepperdine,Undrafted,Undrafted,Undrafted,1988,198.12,95.71
4633,/players/t/thomppa01.html,Paul Thompson,1984,1986,G-F,Tulane,1983.0,50.0,CLE,1961,198.12,95.25
4634,/players/t/thompst01.html,Stephen Thompson,1992,1992,G,Syracuse,Undrafted,Undrafted,Undrafted,1968,193.04,83.91
4635,/players/t/thomptr01.html,Tristan Thompson,2012,2022,F-C,Texas,2011.0,4.0,CLE,1991,205.74,115.21
4636,/players/t/thorjt01.html,JT Thor,2022,2022,F,Auburn,2021.0,37.0,DET,2002,208.28,92.99
4639,/players/t/thornal01.html,Al Thornton,2008,2011,F,Florida State,2007.0,14.0,LAC,1983,203.2,99.79
4640,/players/t/thornbo01.html,Bob Thornton,1986,1996,F-C,"University of California, Irvine",1984.0,87.0,NYK,1962,208.28,102.06
4642,/players/t/thornma01.html,Marcus Thornton,2010,2017,G,LSU,2015.0,45.0,BOS,1987,193.04,92.99
4643,/players/t/thornma01.html,Marcus Thornton,2010,2017,G,LSU,2009.0,43.0,MIA,1987,193.04,92.99
4644,/players/t/thornsi01.html,Sindarius Thornwell,2018,2021,G,South Carolina,2017.0,48.0,MIL,1994,193.04,97.52
4645,/players/t/thorpot01.html,Otis Thorpe,1985,2001,F-C,Providence,1984.0,9.0,KCK,1962,205.74,102.06
4646,/players/t/threase01.html,Sedale Threatt,1984,1997,G,West Virginia Tech,1983.0,139.0,PHI,1961,187.96,79.38
4649,/players/t/thybuma01.html,Matisse Thybulle,2020,2022,G,Washington,2019.0,20.0,BOS,1997,195.57999999999998,91.17
4652,/players/t/tilliki02.html,Killian Tillie,2021,2022,F,Gonzaga,Undrafted,Undrafted,Undrafted,1998,205.74,99.79
