,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
227,2011-12,Duke,ACC,16,13,434,56,116,0.483,56,116,0.483,0,0,47,75,0.627,42,88,130,23,11,21,28,46,159,/players/mason-plumlee-1.html,0.0
228,2012-13,Duke,ACC,18,18,647,104,187,0.556,104,187,0.556,0,0,80,122,0.656,51,122,173,41,21,26,52,43,288,/players/mason-plumlee-1.html,0.0
229,2013-14,Arkansas,SEC,18,18,528,83,170,0.488,77,154,0.5,6,16,46,63,0.73,46,77,123,23,23,35,24,36,218,/players/bobby-portis-1.html,0.375
230,2014-15,Arkansas,SEC,18,18,562,136,243,0.56,133,231,0.576,3,12,60,76,0.789,71,97,168,22,17,34,31,38,335,/players/bobby-portis-1.html,0.25
231,2011-12,UCLA,Pac-12,18,1,329,31,82,0.378,16,45,0.356,15,37,1,3,0.333,3,33,36,17,6,4,15,27,78,/players/norman-powell-1.html,0.405
232,2012-13,UCLA,Pac-12,18,1,333,30,70,0.429,22,37,0.595,8,33,6,9,0.667,3,31,34,17,6,7,21,35,74,/players/norman-powell-1.html,0.242
233,2013-14,UCLA,Pac-12,18,18,472,71,141,0.504,57,102,0.559,14,39,36,51,0.706,13,40,53,28,20,7,18,48,192,/players/norman-powell-1.html,0.359
234,2014-15,UCLA,Pac-12,18,18,651,117,250,0.468,103,191,0.539,14,59,62,81,0.765,14,72,86,37,36,7,39,42,310,/players/norman-powell-1.html,0.237
235,2018-19,Kentucky,SEC,18,0,297,25,66,0.379,9,24,0.375,16,42,22,27,0.815,0,31,31,19,7,0,12,21,88,/players/immanuel-quickley-1.html,0.381
236,2019-20,Kentucky,SEC,18,14,635,92,214,0.43,48,122,0.393,44,92,104,113,0.92,8,74,82,34,17,3,26,47,332,/players/immanuel-quickley-1.html,0.478
237,2013-14,Kentucky,SEC,18,18,563,80,165,0.485,77,158,0.487,3,7,79,109,0.725,63,123,186,21,13,16,43,45,242,/players/julius-randle-1.html,0.429
238,2010-11,Colorado,Big 12,16,0,358,32,63,0.508,27,49,0.551,5,14,19,33,0.576,49,67,116,14,19,15,16,49,88,/players/andre-roberson-1.html,0.357
239,2011-12,Colorado,Pac-12,18,18,527,74,150,0.493,65,123,0.528,9,27,38,70,0.543,50,147,197,20,24,42,29,39,195,/players/andre-roberson-1.html,0.333
240,2012-13,Colorado,Pac-12,16,15,555,62,138,0.449,51,100,0.51,11,38,21,36,0.583,46,130,176,17,37,20,40,40,156,/players/andre-roberson-1.html,0.289
241,2014-15,Ohio State,Big Ten,18,18,642,123,273,0.451,74,149,0.497,49,124,71,95,0.747,20,93,113,92,26,4,50,40,366,/players/dangelo-russell-1.html,0.395
242,2014-15,Gonzaga,WCC,18,0,412,63,96,0.656,63,96,0.656,0,0,32,53,0.604,38,98,136,19,7,5,22,43,158,/players/domantas-sabonis-1.html,0.0
243,2015-16,Gonzaga,WCC,18,18,591,108,191,0.565,106,183,0.579,2,8,89,119,0.748,47,175,222,40,10,15,49,59,307,/players/domantas-sabonis-1.html,0.25
244,2017-18,Alabama,SEC,16,15,464,83,208,0.399,67,142,0.472,16,66,86,112,0.768,14,45,59,61,13,3,43,41,268,/players/collin-sexton-1.html,0.242
245,2016-17,Wichita State,MVC,18,18,513,79,141,0.56,36,58,0.621,43,83,32,39,0.821,7,45,52,71,13,3,19,34,233,/players/landry-shamet-1.html,0.518
246,2017-18,Wichita State,AAC,17,17,551,69,156,0.442,26,50,0.52,43,106,37,47,0.787,7,49,56,95,11,4,35,28,218,/players/landry-shamet-1.html,0.406
247,2010-11,Georgia Tech,ACC,16,16,531,103,243,0.424,79,158,0.5,24,85,71,94,0.755,33,63,96,58,46,2,40,44,301,/players/iman-shumpert-1.html,0.282
