,NCAA_CHAMPION,CONSENSUS_AA,NCAA_ALL-REGION,HS_PARADE_AA,COLLEGE_URL
96,0.0,0.0,1.0,0.0,/players/michael-carter-williams-1.html
97,0.0,0.0,0.0,0.0,/players/alex-caruso-1.html
98,0.0,0.0,0.0,0.0,/players/sam-cassell-1.html
99,0.0,1.0,1.0,0.0,/players/willie-cauley-stein-1.html
100,0.0,0.0,0.0,0.0,/players/cedric-ceballos-1.html
101,0.0,0.0,0.0,0.0,/players/john-celestand-1.html
102,1.0,0.0,1.0,1.0,/players/mario-chalmers-1.html
103,0.0,0.0,1.0,1.0,/players/rex-chapman-1.html
104,0.0,0.0,0.0,1.0,/players/pete-chilcutt-1.html
105,0.0,1.0,0.0,1.0,/players/josh-childress-1.html
106,0.0,0.0,0.0,0.0,/players/marquese-chriss-1.html
107,0.0,0.0,0.0,0.0,/players/doug-christie-1.html
108,0.0,0.0,0.0,0.0,/players/ian-clark-1.html
109,0.0,0.0,1.0,0.0,/players/brandon-clarke-1.html
110,0.0,0.0,0.0,0.0,/players/jordan-clarkson-1.html
111,0.0,0.0,0.0,0.0,/players/speedy-claxton-1.html
112,0.0,0.0,0.0,0.0,/players/norris-cole-1.html
113,0.0,1.0,1.0,0.0,/players/derrick-coleman-1.html
114,0.0,0.0,0.0,0.0,/players/john-collins-1.html
115,0.0,0.0,2.0,1.0,/players/darren-collison-1.html
116,0.0,0.0,1.0,1.0,/players/mike-conley-1.html
117,0.0,0.0,1.0,0.0,/players/pat-connaughton-1.html
118,1.0,0.0,0.0,0.0,/players/quinn-cook-1.html
119,0.0,1.0,1.0,1.0,/players/demarcus-cousins-1.html
120,0.0,0.0,0.0,0.0,/players/robert-covington-1.html
121,0.0,0.0,0.0,1.0,/players/jamal-crawford-1.html
122,0.0,1.0,0.0,0.0,/players/cade-cunningham-1.html
123,0.0,1.0,0.0,1.0,/players/dell-curry-1.html
124,0.0,2.0,1.0,0.0,/players/stephen-curry-1.html
125,0.0,0.0,0.0,0.0,/players/antonio-daniels-1.html
126,0.0,0.0,1.0,1.0,/players/marquis-daniels-1.html
127,0.0,1.0,2.0,1.0,/players/brad-daugherty-1.html
128,1.0,1.0,1.0,1.0,/players/anthony-davis-5.html
129,0.0,0.0,0.0,0.0,/players/antonio-davis-1.html
130,0.0,0.0,0.0,1.0,/players/baron-davis-1.html
131,0.0,0.0,0.0,0.0,/players/dale-davis-1.html
132,0.0,0.0,1.0,1.0,/players/glen-davis-1.html
133,0.0,0.0,0.0,0.0,/players/terence-davis-1.html
134,0.0,0.0,0.0,0.0,/players/austin-daye-1.html
