,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS
1165,2003-04,Boston College,Big East,34.0,26.2,6.9,12.5,0.553,6.7,11.9,0.562,0.2,0.6,0.368,2.9,5.1,0.572,8.3,1.4,1.5,0.9,1.6,1.6,16.9,7.17,/players/craig-smith-1.html,34.0
1166,2004-05,Boston College,Big East,29.0,36.2,7.0,13.8,0.504,6.8,13.1,0.518,0.2,0.7,0.238,3.9,5.9,0.671,8.5,1.7,1.6,0.4,2.6,1.8,18.0,6.42,/players/craig-smith-1.html,29.0
1167,2005-06,Boston College,ACC,36.0,21.0,6.8,11.8,0.573,6.7,11.4,0.587,0.0,0.3,0.083,4.1,6.3,0.643,9.4,3.0,1.2,0.8,2.5,1.6,17.6,6.1,/players/craig-smith-1.html,36.0
1168,2016-17,NC State,ACC,32.0,34.4,6.0,13.1,0.455,4.3,8.3,0.509,1.7,4.8,0.359,4.5,6.3,0.715,4.6,6.2,1.9,0.4,3.3,2.2,18.1,8.09,/players/dennis-smithjr-1.html,32.0
1169,1993-94,Maryland,ACC,30.0,32.7,6.9,13.2,0.522,6.8,13.0,0.523,0.1,0.2,0.4,5.6,7.6,0.734,10.7,0.8,1.4,3.1,3.1,3.3,19.4,7.4,/players/joe-smith-1.html,30.0
1170,1994-95,Maryland,ACC,34.0,26.2,7.2,12.5,0.578,6.9,11.9,0.586,0.3,0.6,0.429,6.1,8.3,0.741,10.6,1.2,1.5,2.9,1.7,3.0,20.8,10.44,/players/joe-smith-1.html,34.0
1171,1987-88,Michigan State,Big Ten,28.0,25.9,3.9,8.3,0.466,3.4,7.2,0.465,0.5,1.1,0.467,2.5,3.3,0.758,4.0,2.9,1.0,0.1,1.7,2.9,10.7,9.21,/players/steve-smith-1.html,26.0
1172,1988-89,Michigan State,Big Ten,33.0,30.4,6.6,13.8,0.478,5.9,11.8,0.499,0.7,1.9,0.349,3.9,5.1,0.763,6.9,3.4,1.3,0.4,2.2,2.8,17.7,11.04,/players/steve-smith-1.html,0.0
1173,1989-90,Michigan State,Big Ten,31.0,25.0,7.5,14.3,0.526,6.1,11.1,0.545,1.5,3.2,0.459,3.7,5.4,0.695,7.0,4.8,0.8,0.5,2.0,2.8,20.2,8.86,/players/steve-smith-1.html,29.0
1174,1990-91,Michigan State,Big Ten,30.0,32.2,8.9,18.9,0.473,6.7,13.5,0.5,2.2,5.4,0.407,5.0,6.2,0.802,6.1,3.6,0.5,0.2,2.2,2.6,25.1,9.33,/players/steve-smith-1.html,0.0
1175,1987-88,Marist,ECACM,27.0,34.1,9.3,14.9,0.623,9.3,14.9,0.626,0.0,0.1,0.0,6.1,8.4,0.735,8.7,0.6,0.3,3.9,2.2,3.34,24.7,-10.46,/players/rik-smits-1.html,27.0
1176,1991-92,Michigan State,Big Ten,25.0,37.0,0.5,1.0,0.48,0.5,0.9,0.522,0.0,0.1,0.0,0.1,0.6,0.2,0.6,1.0,0.2,0.0,2.4,2.6,1.1,12.76,/players/eric-snow-1.html,1.0
1177,1992-93,Michigan State,Big Ten,28.0,36.6,1.9,3.5,0.546,1.9,3.3,0.576,0.0,0.2,0.0,0.5,2.0,0.268,2.6,5.2,1.0,0.2,3.2,2.6,4.3,7.92,/players/eric-snow-1.html,27.0
1178,1993-94,Michigan State,Big Ten,32.0,18.0,2.8,5.5,0.514,2.4,4.1,0.591,0.4,1.4,0.289,0.7,1.5,0.449,3.5,6.7,1.8,0.2,1.5,1.4,6.8,10.8,/players/eric-snow-1.html,31.0
