,TEAM_3_LETTERS,SEASON,LEAGUE,W,L,W/L%,FINISH,SRS,PACE,REL_PACE,ORtg,REL_ORTG,DRTG,REL_DRTG,PLAYOFFS
196,CLE,2005-06,NBA,50,32,0.61,2nd of 5,2.17,89.8,-0.7,107.8,1.6,105.4,-0.8,Lost E. Conf. Semis
197,CLE,2004-05,NBA,42,40,0.512,4th of 5,0.27,89.7,-1.2,106.6,0.5,105.7,-0.4,not_play
198,CLE,2003-04,NBA,35,47,0.427,5th of 8,-3.07,90.8,0.7,101.4,-1.5,104.2,1.3,not_play
199,CLE,2002-03,NBA,17,65,0.207,8th of 8,-9.59,94.0,3.0,96.5,-7.1,106.7,3.1,not_play
200,CLE,2001-02,NBA,29,53,0.354,7th of 8,-3.52,90.3,-0.4,104.6,0.1,108.2,3.7,not_play
201,CLE,2000-01,NBA,30,52,0.366,6th of 8,-4.48,91.2,-0.1,100.3,-2.7,104.9,1.9,not_play
202,CLE,1999-00,NBA,32,50,0.39,6th of 8,-3.64,95.7,2.6,100.4,-3.7,104.0,-0.1,not_play
203,CLE,1998-99,NBA,22,28,0.44,7th of 8,-0.94,86.4,-2.5,99.6,-2.6,101.6,-0.6,not_play
204,CLE,1997-98,NBA,47,35,0.573,5th of 8,3.06,89.9,-0.4,102.2,-2.8,99.1,-5.9,Lost E. Conf. 1st Rnd.
205,CLE,1996-97,NBA,42,40,0.512,5th of 8,2.32,82.9,-7.2,104.6,-2.1,102.4,-4.3,not_play
206,CLE,1995-96,NBA,47,35,0.573,3rd of 8,2.49,82.3,-9.5,109.9,2.3,106.7,-0.9,Lost E. Conf. 1st Rnd.
207,CLE,1994-95,NBA,43,39,0.524,4th of 7,0.55,84.8,-8.1,105.3,-3.0,104.6,-3.7,Lost E. Conf. 1st Rnd.
208,CLE,1993-94,NBA,47,35,0.573,4th of 7,3.64,91.7,-3.4,109.4,3.1,105.1,-1.2,Lost E. Conf. 1st Rnd.
209,CLE,1992-93,NBA,54,28,0.659,2nd of 7,6.3,94.8,-2.0,112.7,4.7,106.0,-2.0,Lost E. Conf. Semis
210,CLE,1991-92,NBA,57,25,0.695,2nd of 7,5.34,95.0,-1.6,113.9,5.7,108.2,0.0,Lost E. Conf. Finals
211,CLE,1990-91,NBA,33,49,0.402,6th of 7,-2.33,95.1,-2.7,106.1,-1.8,108.7,0.8,not_play
212,CLE,1989-90,NBA,42,40,0.512,4th of 7,-0.62,95.0,-3.3,106.9,-1.2,107.2,-0.9,Lost E. Conf. 1st Rnd.
213,CLE,1988-89,NBA,57,25,0.695,2nd of 6,7.95,98.0,-2.6,110.6,2.8,102.9,-4.9,Lost E. Conf. 1st Rnd.
214,CLE,1987-88,NBA,42,40,0.512,5th of 6,1.28,97.3,-2.3,106.8,-1.2,106.0,-2.0,Lost E. Conf. 1st Rnd.
215,CLE,1986-87,NBA,31,51,0.378,6th of 6,-3.19,101.3,0.5,102.6,-5.7,106.4,-1.9,not_play
216,CLE,1985-86,NBA,29,53,0.354,5th of 6,-2.19,101.6,-0.5,105.5,-1.7,108.3,1.1,not_play
217,DAL,2021-22,NBA,52,30,0.634,2nd of 5,3.12,95.4,-2.8,112.8,0.8,109.4,-2.6,Lost W. Conf. Finals
218,DAL,2020-21,NBA,42,30,0.583,1st of 5,2.26,97.3,-1.9,115.4,3.1,113.0,0.7,Lost W. Conf. 1st Rnd.
219,DAL,2019-20,NBA,43,32,0.573,2nd of 5,4.87,99.3,-1.0,116.7,6.1,111.7,1.1,Lost W. Conf. 1st Rnd.
220,DAL,2018-19,NBA,33,49,0.402,5th of 5,-0.87,99.0,-1.0,109.4,-1.0,110.7,0.3,not_play
221,DAL,2017-18,NBA,24,58,0.293,4th of 5,-2.7,95.6,-1.7,106.3,-2.3,109.5,0.9,not_play
222,DAL,2016-17,NBA,33,49,0.402,5th of 5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0.0,not_play
223,DAL,2015-16,NBA,42,40,0.512,2nd of 5,-0.02,94.3,-1.5,106.7,0.3,107.0,0.6,Lost W. Conf. 1st Rnd.
224,DAL,2014-15,NBA,50,32,0.61,4th of 5,3.36,95.2,1.3,109.5,3.9,106.4,0.8,Lost W. Conf. 1st Rnd.
225,DAL,2013-14,NBA,49,33,0.598,4th of 5,2.91,93.5,-0.4,111.2,4.5,108.7,2.0,Lost W. Conf. 1st Rnd.
226,DAL,2012-13,NBA,41,41,0.5,4th of 5,-0.24,94.1,2.1,105.9,0.0,106.5,0.6,not_play
227,DAL,2011-12,NBA,36,30,0.545,3rd of 5,1.78,91.4,0.1,103.3,-1.3,102.3,-2.3,Lost W. Conf. 1st Rnd.
228,DAL,2010-11,NBA,57,25,0.695,2nd of 5,4.41,91.3,-0.8,109.7,2.4,105.0,-2.3,Won Finals
229,DAL,2009-10,NBA,55,27,0.671,1st of 5,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,Lost W. Conf. 1st Rnd.
230,DAL,2008-09,NBA,50,32,0.61,3rd of 5,1.68,91.5,-0.2,110.5,2.2,108.4,0.1,Lost W. Conf. Semis
231,DAL,2007-08,NBA,51,31,0.622,4th of 5,4.7,90.2,-2.2,111.1,3.6,106.1,-1.4,Lost W. Conf. 1st Rnd.
232,DAL,2006-07,NBA,67,15,0.817,1st of 5,7.28,89.5,-2.4,111.3,4.8,103.2,-3.3,Lost W. Conf. 1st Rnd.
233,DAL,2005-06,NBA,60,22,0.732,2nd of 5,5.96,87.8,-2.7,111.8,5.6,105.0,-1.2,Lost Finals
234,DAL,2004-05,NBA,58,24,0.707,2nd of 5,5.86,92.7,1.8,110.3,4.2,104.1,-2.0,Lost W. Conf. Semis
235,DAL,2003-04,NBA,52,30,0.634,3rd of 7,4.86,93.2,3.1,112.1,9.2,107.4,4.5,Lost W. Conf. 1st Rnd.
236,DAL,2002-03,NBA,60,22,0.732,2nd of 7,7.9,92.5,1.5,110.7,7.1,102.3,-1.3,Lost W. Conf. Finals
237,DAL,2001-02,NBA,57,25,0.695,2nd of 7,4.41,92.8,2.1,112.2,7.7,107.7,3.2,Lost W. Conf. Semis
238,DAL,2000-01,NBA,53,29,0.646,3rd of 7,4.61,93.2,1.9,107.1,4.1,102.6,-0.4,Lost W. Conf. Semis
239,DAL,1999-00,NBA,40,42,0.488,4th of 7,-0.29,94.9,1.8,106.6,2.5,107.2,3.1,not_play
240,DAL,1998-99,NBA,19,31,0.38,5th of 7,-2.5,89.0,0.1,102.3,0.1,104.9,2.7,not_play
241,DAL,1997-98,NBA,20,62,0.244,5th of 7,-6.33,89.9,-0.4,100.5,-4.5,107.2,2.2,not_play
242,DAL,1996-97,NBA,24,58,0.293,4th of 7,-6.47,89.0,-1.1,101.1,-5.6,108.2,1.5,not_play
243,DAL,1995-96,NBA,26,56,0.317,6th of 7,-4.71,95.4,3.6,106.1,-1.5,111.2,3.6,not_play
244,DAL,1994-95,NBA,36,46,0.439,5th of 6,-2.39,94.7,1.8,107.6,-0.7,110.6,2.3,not_play
245,DAL,1993-94,NBA,13,69,0.159,6th of 6,-8.19,94.5,-0.6,100.4,-5.9,109.6,3.3,not_play
246,DAL,1992-93,NBA,11,71,0.134,6th of 6,-14.68,99.5,2.7,99.5,-8.5,114.7,6.7,not_play
247,DAL,1991-92,NBA,22,60,0.268,5th of 6,-7.47,94.4,-2.2,103.0,-5.2,111.1,2.9,not_play
248,DAL,1990-91,NBA,28,54,0.341,6th of 7,-4.27,94.2,-3.6,105.5,-2.4,110.3,2.4,not_play
249,DAL,1989-90,NBA,47,35,0.573,3rd of 7,0.42,94.5,-3.8,107.2,-0.9,107.2,-0.9,Lost W. Conf. 1st Rnd.
250,DAL,1988-89,NBA,38,44,0.463,4th of 6,-1.79,95.9,-4.7,107.4,-0.4,108.6,0.8,not_play
251,DAL,1987-88,NBA,53,29,0.646,2nd of 6,3.59,97.0,-2.6,112.2,4.2,107.7,-0.3,Lost W. Conf. Finals
252,DAL,1986-87,NBA,55,27,0.671,1st of 6,5.54,100.5,-0.3,114.9,6.6,108.7,0.4,Lost W. Conf. 1st Rnd.
253,DAL,1985-86,NBA,44,38,0.537,3rd of 6,0.7,102.2,0.1,112.1,4.9,111.0,3.8,Lost W. Conf. Semis
254,DEN,2021-22,NBA,48,34,0.585,2nd of 5,2.16,97.8,-0.4,114.5,2.5,112.1,0.1,Lost W. Conf. 1st Rnd.
255,DEN,2020-21,NBA,47,25,0.653,2nd of 5,4.82,97.1,-2.1,117.1,4.8,112.1,-0.2,Lost W. Conf. Semis
256,DEN,2019-20,NBA,46,27,0.63,1st of 5,2.35,97.1,-3.2,113.1,2.5,111.0,0.4,Lost W. Conf. Finals
257,DEN,2018-19,NBA,54,28,0.659,1st of 5,4.19,97.7,-2.3,113.0,2.6,108.9,-1.5,Lost W. Conf. Semis
258,DEN,2017-18,NBA,46,36,0.561,5th of 5,1.57,96.8,-0.5,112.5,3.9,111.0,2.4,not_play
259,DEN,2016-17,NBA,40,42,0.488,4th of 5,0.7,98.3,1.9,113.2,4.4,112.7,3.9,not_play
260,DEN,2015-16,NBA,33,49,0.402,4th of 5,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,not_play
261,DEN,2014-15,NBA,30,52,0.366,4th of 5,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,not_play
262,DEN,2013-14,NBA,36,46,0.439,4th of 5,-1.4,98.1,4.2,106.0,-0.7,108.2,1.5,not_play
263,DEN,2012-13,NBA,57,25,0.695,2nd of 5,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.
264,DEN,2011-12,NBA,38,28,0.576,2nd of 5,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.
265,DEN,2010-11,NBA,50,32,0.61,2nd of 5,4.81,95.6,3.5,112.3,5.0,107.3,0.0,Lost W. Conf. 1st Rnd.
266,DEN,2009-10,NBA,53,29,0.646,1st of 5,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.
267,DEN,2008-09,NBA,54,28,0.659,1st of 5,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,Lost W. Conf. Finals
268,DEN,2007-08,NBA,50,32,0.61,2nd of 5,3.74,99.7,7.3,110.0,2.5,106.3,-1.2,Lost W. Conf. 1st Rnd.
269,DEN,2006-07,NBA,45,37,0.549,2nd of 5,1.69,97.4,5.5,107.6,1.1,105.9,-0.6,Lost W. Conf. 1st Rnd.
270,DEN,2005-06,NBA,44,38,0.537,1st of 5,0.36,93.9,3.4,105.5,-0.7,105.2,-1.0,Lost W. Conf. 1st Rnd.
271,DEN,2004-05,NBA,49,33,0.598,2nd of 5,2.23,93.5,2.6,106.0,-0.1,103.9,-2.2,Lost W. Conf. 1st Rnd.
272,DEN,2003-04,NBA,43,39,0.524,6th of 7,1.65,93.3,3.2,103.9,1.0,102.7,-0.2,Lost W. Conf. 1st Rnd.
273,DEN,2002-03,NBA,17,65,0.207,7th of 7,-7.41,91.0,0.0,92.2,-11.4,101.3,-2.3,not_play
274,DEN,2001-02,NBA,27,55,0.329,6th of 7,-5.19,90.4,-0.3,101.4,-3.1,107.8,3.3,not_play
275,DEN,2000-01,NBA,40,42,0.488,6th of 7,-1.83,92.6,1.3,103.7,0.7,106.3,3.3,not_play
276,DEN,1999-00,NBA,35,47,0.427,5th of 7,-1.76,94.7,1.6,103.5,-0.6,105.8,1.7,not_play
277,DEN,1998-99,NBA,14,36,0.28,6th of 7,-6.67,90.5,1.6,103.1,0.9,110.4,8.2,not_play
278,DEN,1997-98,NBA,11,71,0.134,7th of 7,-11.74,89.7,-0.6,99.0,-6.0,112.1,7.1,not_play
279,DEN,1996-97,NBA,21,61,0.256,5th of 7,-6.4,92.4,2.3,104.5,-2.2,111.2,4.5,not_play
280,DEN,1995-96,NBA,35,47,0.427,4th of 7,-2.62,92.2,0.4,105.2,-2.4,108.1,0.5,not_play
281,DEN,1994-95,NBA,41,41,0.5,4th of 6,0.96,91.5,-1.4,109.1,0.8,108.2,-0.1,Lost W. Conf. 1st Rnd.
282,DEN,1993-94,NBA,42,40,0.512,4th of 6,1.54,96.1,1.0,103.9,-2.4,102.3,-4.0,Lost W. Conf. Semis
283,DEN,1992-93,NBA,36,46,0.439,4th of 6,-2.14,99.8,3.0,104.6,-3.4,106.3,-1.7,not_play
284,DEN,1991-92,NBA,24,58,0.293,4th of 6,-7.59,98.6,2.0,100.7,-7.5,108.6,0.4,not_play
285,DEN,1990-91,NBA,20,62,0.244,7th of 7,-10.31,113.7,15.9,105.2,-2.7,114.7,6.8,not_play
286,DEN,1989-90,NBA,43,39,0.524,4th of 7,1.56,105.4,7.1,108.0,-0.1,106.7,-1.4,Lost W. Conf. 1st Rnd.
287,DEN,1988-89,NBA,44,38,0.537,3rd of 6,0.91,107.5,6.9,108.6,0.8,107.1,-0.7,Lost W. Conf. 1st Rnd.
288,DEN,1987-88,NBA,54,28,0.659,1st of 6,3.32,105.5,5.9,110.1,2.1,106.3,-1.7,Lost W. Conf. Semis
289,DEN,1986-87,NBA,37,45,0.451,4th of 6,-1.14,106.2,5.4,109.3,1.0,110.2,1.9,Lost W. Conf. 1st Rnd.
290,DEN,1985-86,NBA,47,35,0.573,2nd of 6,0.89,106.7,4.6,107.1,-0.1,105.9,-1.3,Lost W. Conf. Semis
291,DET,2021-22,NBA,23,59,0.28,5th of 5,-7.36,98.4,0.2,106.0,-6.0,113.8,1.8,not_play
292,DET,2020-21,NBA,20,52,0.278,5th of 5,-4.38,97.9,-1.3,108.0,-4.3,112.5,0.2,not_play
293,DET,2019-20,NBA,20,46,0.303,4th of 5,-4.38,97.6,-2.7,109.0,-1.6,112.7,2.1,not_play
294,DET,2018-19,NBA,41,41,0.5,3rd of 5,-0.56,97.4,-2.6,109.0,-1.4,109.2,-1.2,Lost E. Conf. 1st Rnd.
295,DET,2017-18,NBA,39,43,0.476,4th of 5,-0.26,96.2,-1.1,107.2,-1.4,107.3,-1.3,not_play
296,DET,2016-17,NBA,37,45,0.451,5th of 5,-1.29,95.0,-1.4,106.0,-2.8,107.1,-1.7,not_play
297,DET,2015-16,NBA,44,38,0.537,3rd of 5,0.43,95.1,-0.7,106.1,-0.3,105.5,-0.9,Lost E. Conf. 1st Rnd.
298,DET,2014-15,NBA,32,50,0.39,5th of 5,-1.39,92.8,-1.1,105.3,-0.3,106.4,0.8,not_play
299,DET,2013-14,NBA,29,53,0.354,4th of 5,-4.13,94.9,1.0,105.9,-0.8,109.7,3.0,not_play
300,DET,2012-13,NBA,29,53,0.354,4th of 5,-4.33,90.8,-1.2,103.8,-2.1,108.1,2.2,not_play
301,DET,2011-12,NBA,25,41,0.379,4th of 5,-5.19,89.2,-2.1,101.0,-3.6,106.3,1.7,not_play
302,DET,2010-11,NBA,30,52,0.366,4th of 5,-3.78,89.2,-2.9,107.7,0.4,111.7,4.4,not_play
303,DET,2009-10,NBA,27,55,0.329,5th of 5,-5.02,88.5,-4.2,105.6,-2.0,111.4,3.8,not_play
304,DET,2008-09,NBA,39,43,0.476,3rd of 5,-0.36,86.7,-5.0,107.4,-0.9,108.0,-0.3,Lost E. Conf. 1st Rnd.
305,DET,2007-08,NBA,59,23,0.72,1st of 5,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,Lost E. Conf. Finals
306,DET,2006-07,NBA,53,29,0.646,1st of 5,3.69,87.3,-4.6,108.9,2.4,104.2,-2.3,Lost E. Conf. Finals
307,DET,2005-06,NBA,64,18,0.78,1st of 5,6.24,86.8,-3.7,110.8,4.6,103.1,-3.1,Lost E. Conf. Finals
308,DET,2004-05,NBA,54,28,0.659,1st of 5,3.31,87.2,-3.7,105.6,-0.5,101.2,-4.9,Lost Finals
309,DET,2003-04,NBA,54,28,0.659,2nd of 8,5.04,87.9,-2.2,102.0,-0.9,95.4,-7.5,Won Finals
310,DET,2002-03,NBA,50,32,0.61,1st of 8,2.97,86.8,-4.2,104.1,0.5,99.9,-3.7,Lost E. Conf. Finals
311,DET,2001-02,NBA,50,32,0.61,1st of 8,1.69,90.0,-0.7,104.8,0.3,102.4,-2.1,Lost E. Conf. Semis
312,DET,2000-01,NBA,32,50,0.39,5th of 8,-2.08,94.7,3.4,100.0,-3.0,101.8,-1.2,not_play
313,DET,1999-00,NBA,42,40,0.512,4th of 8,1.13,95.7,2.6,107.3,3.2,105.8,1.7,Lost E. Conf. 1st Rnd.
314,DET,1998-99,NBA,29,21,0.58,3rd of 8,3.97,86.3,-2.6,104.2,2.0,100.3,-1.9,Lost E. Conf. 1st Rnd.
315,DET,1997-98,NBA,37,45,0.451,6th of 8,1.95,88.2,-2.1,105.3,0.3,103.5,-1.5,not_play
316,DET,1996-97,NBA,54,28,0.659,3rd of 8,5.45,84.5,-5.6,110.6,3.9,104.4,-2.3,Lost E. Conf. 1st Rnd.
317,DET,1995-96,NBA,46,36,0.561,5th of 8,2.45,87.7,-4.1,107.9,0.3,105.1,-2.5,Lost E. Conf. 1st Rnd.
318,DET,1994-95,NBA,28,54,0.341,7th of 7,-7.08,93.2,0.3,105.1,-3.2,112.9,4.6,not_play
319,DET,1993-94,NBA,20,62,0.244,7th of 7,-7.46,94.2,-0.9,102.7,-3.6,110.9,4.6,not_play
320,DET,1992-93,NBA,40,42,0.488,6th of 7,-1.1,93.2,-3.6,107.4,-0.6,108.9,0.9,not_play
321,DET,1991-92,NBA,48,34,0.585,3rd of 7,2.06,91.6,-5.0,107.5,-0.7,105.3,-2.9,Lost E. Conf. 1st Rnd.
322,DET,1990-91,NBA,50,32,0.61,2nd of 7,3.08,91.9,-5.9,108.2,0.3,104.6,-3.3,Lost E. Conf. Finals
323,DET,1989-90,NBA,59,23,0.72,1st of 7,5.41,94.4,-3.9,109.9,1.8,103.5,-4.6,Won Finals
324,DET,1988-89,NBA,63,19,0.768,1st of 6,6.24,95.5,-5.1,110.8,3.0,104.7,-3.1,Won Finals
325,DET,1987-88,NBA,54,28,0.659,1st of 6,5.46,98.3,-1.3,110.5,2.5,105.3,-2.7,Lost Finals
326,DET,1986-87,NBA,52,30,0.634,2nd of 6,3.51,101.0,0.2,109.2,0.9,105.8,-2.5,Lost E. Conf. Finals
327,DET,1985-86,NBA,46,36,0.561,3rd of 6,1.44,104.2,2.1,109.0,1.8,107.9,0.7,Lost E. Conf. 1st Rnd.
328,GSW,2021-22,NBA,53,29,0.646,2nd of 5,5.52,98.4,0.2,112.5,0.5,106.9,-5.1,Won W. Conf. Finals
329,GSW,2020-21,NBA,39,33,0.542,4th of 5,1.1,102.2,3.0,111.1,-1.2,110.1,-2.2,not_play
330,GSW,2019-20,NBA,15,50,0.231,5th of 5,-8.12,100.3,0.0,105.2,-5.4,113.8,3.2,not_play
331,GSW,2018-19,NBA,57,25,0.695,1st of 5,6.42,100.9,0.9,115.9,5.5,109.5,-0.9,Lost Finals
332,GSW,2017-18,NBA,58,24,0.707,1st of 5,5.79,99.6,2.3,113.6,5.0,107.6,-1.0,Won Finals
333,GSW,2016-17,NBA,67,15,0.817,1st of 5,11.35,99.8,3.4,115.6,6.8,104.0,-4.8,Won Finals
334,GSW,2015-16,NBA,73,9,0.89,1st of 5,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,Lost Finals
335,GSW,2014-15,NBA,67,15,0.817,1st of 5,10.01,98.3,4.4,111.6,6.0,101.4,-4.2,Won Finals
336,GSW,2013-14,NBA,51,31,0.622,2nd of 5,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,Lost W. Conf. 1st Rnd.
337,GSW,2012-13,NBA,47,35,0.573,2nd of 5,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,Lost W. Conf. Semis
338,GSW,2011-12,NBA,23,43,0.348,4th of 5,-2.79,92.3,1.0,105.4,0.8,109.1,4.5,not_play
339,GSW,2010-11,NBA,36,46,0.439,3rd of 5,-2.0,94.8,2.7,108.2,0.9,110.7,3.4,not_play
340,GSW,2009-10,NBA,26,56,0.317,4th of 5,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,not_play
341,GSW,2008-09,NBA,29,53,0.354,3rd of 5,-3.8,98.2,6.5,109.5,1.2,113.3,5.0,not_play
342,GSW,2007-08,NBA,48,34,0.585,3rd of 5,2.38,98.8,6.4,111.8,4.3,109.5,2.0,not_play
343,GSW,2006-07,NBA,42,40,0.512,3rd of 5,0.0,99.2,7.3,107.0,0.5,107.4,0.9,Lost W. Conf. Semis
344,GSW,2005-06,NBA,34,48,0.415,5th of 5,-1.11,93.3,2.8,104.8,-1.4,106.2,0.0,not_play
345,GSW,2004-05,NBA,34,48,0.415,5th of 5,-1.74,93.3,2.4,104.7,-1.4,106.9,0.8,not_play
346,GSW,2003-04,NBA,37,45,0.451,4th of 7,-0.07,89.8,-0.3,103.0,0.1,103.8,0.9,not_play
347,GSW,2002-03,NBA,38,44,0.463,6th of 7,-0.6,94.2,3.2,108.3,4.7,109.5,5.9,not_play
348,GSW,2001-02,NBA,21,61,0.256,7th of 7,-4.8,94.5,3.8,102.8,-1.7,108.5,4.0,not_play
349,GSW,2000-01,NBA,17,65,0.207,7th of 7,-8.11,94.1,2.8,97.8,-5.2,107.4,4.4,not_play
350,GSW,1999-00,NBA,19,63,0.232,6th of 7,-7.63,95.4,2.3,99.8,-4.3,108.4,4.3,not_play
351,GSW,1998-99,NBA,21,29,0.42,6th of 7,-2.63,88.9,0.0,98.4,-3.8,101.1,-1.1,not_play
352,GSW,1997-98,NBA,19,63,0.232,6th of 7,-9.2,91.4,1.1,95.8,-9.2,105.7,0.7,not_play
353,GSW,1996-97,NBA,30,52,0.366,7th of 7,-4.9,91.9,1.8,107.2,0.5,112.2,5.5,not_play
354,GSW,1995-96,NBA,36,46,0.439,6th of 7,-1.42,93.4,1.6,108.4,0.8,109.9,2.3,not_play
355,GSW,1994-95,NBA,26,56,0.317,6th of 7,-4.9,97.9,5.0,106.7,-1.6,112.2,3.9,not_play
356,GSW,1993-94,NBA,50,32,0.61,3rd of 7,1.76,99.1,4.0,108.3,2.0,106.5,0.2,Lost W. Conf. 1st Rnd.
357,GSW,1992-93,NBA,34,48,0.415,6th of 7,-0.94,99.5,2.7,109.2,1.2,110.2,2.2,not_play
358,GSW,1991-92,NBA,55,27,0.671,2nd of 7,3.77,103.4,6.8,113.6,5.4,109.9,1.7,Lost W. Conf. 1st Rnd.
359,GSW,1990-91,NBA,44,38,0.537,4th of 7,1.72,103.6,5.8,111.9,4.0,110.3,2.4,Lost W. Conf. Semis
360,GSW,1989-90,NBA,37,45,0.451,5th of 7,-2.55,105.9,7.6,109.6,1.5,112.6,4.5,not_play
361,GSW,1988-89,NBA,43,39,0.524,4th of 7,-0.59,107.3,6.7,107.4,-0.4,107.7,-0.1,Lost W. Conf. Semis
362,GSW,1987-88,NBA,20,62,0.244,5th of 6,-8.38,101.6,2.0,104.7,-3.3,112.9,4.9,not_play
363,GSW,1986-87,NBA,42,40,0.512,3rd of 6,-2.54,101.7,0.9,108.9,0.6,111.2,2.9,Lost W. Conf. Semis
364,GSW,1985-86,NBA,30,52,0.366,6th of 6,-3.59,104.2,2.1,108.3,1.1,111.6,4.4,not_play
365,HOU,2021-22,NBA,20,62,0.244,5th of 5,-8.26,100.9,2.7,108.4,-3.6,116.7,4.7,not_play
366,HOU,2020-21,NBA,17,55,0.236,5th of 5,-7.5,101.4,2.2,107.1,-5.2,114.9,2.6,not_play
367,HOU,2019-20,NBA,44,28,0.611,1st of 5,3.13,103.7,3.4,112.9,2.3,110.1,-0.5,Lost W. Conf. Semis
368,HOU,2018-19,NBA,53,29,0.646,1st of 5,4.96,97.9,-2.1,115.5,5.1,110.7,0.3,Lost W. Conf. Semis
369,HOU,2017-18,NBA,65,17,0.793,1st of 5,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,Lost W. Conf. Finals
370,HOU,2016-17,NBA,55,27,0.671,2nd of 5,5.84,100.0,3.6,114.7,5.9,109.0,0.2,Lost W. Conf. Semis
371,HOU,2015-16,NBA,41,41,0.5,4th of 5,0.34,97.6,1.8,108.3,1.9,108.1,1.7,Lost W. Conf. 1st Rnd.
372,HOU,2014-15,NBA,56,26,0.683,1st of 5,3.82,96.5,2.6,107.0,1.4,103.4,-2.2,Lost W. Conf. Finals
373,HOU,2013-14,NBA,54,28,0.659,2nd of 5,5.06,96.3,2.4,111.0,4.3,106.3,-0.4,Lost W. Conf. 1st Rnd.
374,HOU,2012-13,NBA,45,37,0.549,3rd of 5,3.69,96.1,4.1,109.7,3.8,106.1,0.2,Lost W. Conf. 1st Rnd.
375,HOU,2011-12,NBA,34,32,0.515,4th of 5,0.57,91.7,0.4,105.5,0.9,105.2,0.6,not_play
376,HOU,2010-11,NBA,43,39,0.524,5th of 5,2.37,94.2,2.1,111.3,4.0,109.0,1.7,not_play
377,HOU,2009-10,NBA,42,40,0.512,3rd of 5,-0.02,94.0,1.3,107.6,0.0,108.0,0.4,not_play
378,HOU,2008-09,NBA,53,29,0.646,2nd of 5,3.73,90.2,-1.5,108.4,0.1,104.0,-4.3,Lost W. Conf. Semis
379,HOU,2007-08,NBA,55,27,0.671,3rd of 5,4.83,90.4,-2.0,106.8,-0.7,101.6,-5.9,Lost W. Conf. 1st Rnd.
380,HOU,2006-07,NBA,52,30,0.634,3rd of 5,5.04,90.7,-1.2,106.0,-0.5,100.7,-5.8,Lost W. Conf. 1st Rnd.
381,HOU,2005-06,NBA,34,48,0.415,5th of 5,-1.3,88.0,-2.5,101.6,-4.6,103.3,-2.9,not_play
382,HOU,2004-05,NBA,51,31,0.622,3rd of 5,4.27,88.8,-2.1,106.2,0.1,101.7,-4.4,Lost W. Conf. 1st Rnd.
383,HOU,2003-04,NBA,45,37,0.549,5th of 7,2.28,87.8,-2.3,100.9,-2.0,99.0,-3.9,Lost W. Conf. 1st Rnd.
384,HOU,2002-03,NBA,43,39,0.524,5th of 7,1.89,88.8,-2.2,104.3,0.7,102.6,-1.0,not_play
385,HOU,2001-02,NBA,28,54,0.341,5th of 7,-4.31,88.2,-2.5,103.1,-1.4,108.6,4.1,not_play
386,HOU,2000-01,NBA,45,37,0.549,5th of 7,2.71,90.4,-0.9,106.7,3.7,104.2,1.2,not_play
387,HOU,1999-00,NBA,34,48,0.415,6th of 7,-0.57,94.2,1.1,104.8,0.7,105.7,1.6,not_play
388,HOU,1998-99,NBA,31,19,0.62,3rd of 7,1.39,88.8,-0.1,105.4,3.2,102.9,0.7,Lost W. Conf. 1st Rnd.
389,HOU,1997-98,NBA,41,41,0.5,4th of 7,-1.23,91.0,0.7,107.7,2.7,108.6,3.6,Lost W. Conf. 1st Rnd.
390,HOU,1996-97,NBA,57,25,0.695,2nd of 7,3.85,91.6,1.5,108.8,2.1,104.0,-2.7,Lost W. Conf. Finals
391,HOU,1995-96,NBA,48,34,0.585,3rd of 7,1.63,93.2,1.4,109.3,1.7,107.4,-0.2,Lost W. Conf. Semis
392,HOU,1994-95,NBA,47,35,0.573,3rd of 6,2.32,94.2,1.3,109.7,1.4,107.4,-0.9,Won Finals
393,HOU,1993-94,NBA,58,24,0.707,1st of 6,4.19,95.0,-0.1,105.9,-0.4,101.4,-4.9,Won Finals
394,HOU,1992-93,NBA,55,27,0.671,1st of 6,3.57,94.4,-2.4,109.6,1.6,105.2,-2.8,Lost W. Conf. Semis
395,HOU,1991-92,NBA,42,40,0.512,3rd of 6,-1.94,95.1,-1.5,106.2,-2.0,108.0,-0.2,not_play
396,HOU,1990-91,NBA,52,30,0.634,3rd of 7,3.27,98.5,0.7,107.4,-0.5,103.9,-4.0,Lost W. Conf. 1st Rnd.
397,HOU,1989-90,NBA,41,41,0.5,5th of 7,1.71,101.2,2.9,104.8,-3.3,103.4,-4.7,Lost W. Conf. 1st Rnd.
