,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
342,2009-10,Saint Mary's,WCC,34.0,1236.0,0.566,0.51,0.6,0.365,15.6,/players/matthew-dellavedova-1.html,34.0
343,2010-11,Saint Mary's,WCC,34.0,1199.0,0.576,0.518,0.532,0.347,16.8,/players/matthew-dellavedova-1.html,31.0
344,2011-12,Saint Mary's,WCC,33.0,1236.0,0.597,0.531,0.48,0.457,18.3,/players/matthew-dellavedova-1.html,32.0
345,2012-13,Saint Mary's,WCC,35.0,1273.0,0.562,0.506,0.534,0.354,16.8,/players/matthew-dellavedova-1.html,35.0
346,1987-88,Wyoming,WAC,32.0,1076.0,0.613,0.552,0.412,0.502,16.9,/players/fennis-dembo-1.html,0.0
347,2003-04,Duke,ACC,37.0,1149.0,0.551,0.522,0.252,0.313,14.1,/players/luol-deng-1.html,32.0
348,2015-16,Villanova,Big East,9.0,74.0,0.357,0.357,0.81,0.0,25.0,/players/donte-divincenzo-1.html,1.0
349,2016-17,Villanova,Big East,36.0,919.0,0.582,0.556,0.491,0.355,15.7,/players/donte-divincenzo-1.html,1.0
350,2017-18,Villanova,Big East,40.0,1170.0,0.608,0.59,0.542,0.274,15.2,/players/donte-divincenzo-1.html,10.0
351,2016-17,Virginia,ACC,32.0,449.0,0.562,0.56,0.12,0.359,10.8,/players/mamadi-diakite-1.html,0.0
352,2017-18,Virginia,ACC,34.0,532.0,0.609,0.577,0.0,0.315,14.8,/players/mamadi-diakite-1.html,0.0
353,2018-19,Virginia,ACC,38.0,829.0,0.578,0.561,0.077,0.227,12.2,/players/mamadi-diakite-1.html,22.0
354,2019-20,Virginia,ACC,30.0,985.0,0.554,0.51,0.175,0.389,14.7,/players/mamadi-diakite-1.html,30.0
355,1994-95,Arizona,Pac-10,29.0,330.0,0.613,0.591,0.204,0.441,17.6,/players/michael-dickerson-1.html,0.0
356,1995-96,Arizona,Pac-10,32.0,736.0,0.516,0.485,0.277,0.255,14.2,/players/michael-dickerson-1.html,11.0
357,1996-97,Arizona,Pac-10,34.0,1079.0,0.497,0.461,0.294,0.301,11.8,/players/michael-dickerson-1.html,34.0
358,1997-98,Arizona,Pac-10,35.0,988.0,0.594,0.57,0.298,0.254,12.5,/players/michael-dickerson-1.html,35.0
359,2010-11,Louisville,Big East,29.0,451.0,0.609,0.618,0.009,0.473,16.7,/players/gorgui-dieng-1.html,9.0
360,2011-12,Louisville,Big East,40.0,1312.0,0.556,0.527,0.007,0.391,19.6,/players/gorgui-dieng-1.html,40.0
361,2012-13,Louisville,Big East,33.0,1026.0,0.562,0.534,0.0,0.479,17.0,/players/gorgui-dieng-1.html,32.0
362,1994-95,Utah,WAC,34.0,547.0,0.52,0.453,0.006,0.542,14.8,/players/michael-doleac-1.html,1.0
363,1995-96,Utah,WAC,34.0,819.0,0.538,0.463,0.005,0.532,14.7,/players/michael-doleac-1.html,0.0
364,1996-97,Utah,WAC,33.0,876.0,0.606,0.55,0.058,0.563,13.5,/players/michael-doleac-1.html,33.0
365,1997-98,Utah,WAC,32.0,878.0,0.586,0.507,0.095,0.636,14.76,/players/michael-doleac-1.html,32.0
366,2018-19,Illinois,Big Ten,32.0,1000.0,0.526,0.501,0.379,0.253,14.6,/players/ayo-dosunmu-1.html,32.0
