,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
621,0.3,0.353,0.9,0.3,0.185,1.4,,1.2,0.1,0.6,0.6,0.25,2.3,0.4,0.941,0.4,39,1,NBA,8.7,0.1,1.6,,1.8,Career,0.7,,0.6,0.7,/players/b/burleke01.html,0.307
622,3.5,0.445,7.9,0.0,0.0,0.0,,1.3,1.3,4.2,3.5,0.445,7.9,2.4,0.726,3.3,446.0,,NBA,21.1,2.1,3.0,,9.4,Career,0.7,,1.2,6.3,/players/b/burleto01.html,0.445
623,,,,,,,,2.9,,,3.9,0.333,11.7,2.0,0.681,3.0,61,,NBA,,,3.9,,9.8,Career,,,,,/players/b/burmaja01.html,
624,0.8,0.438,1.8,0.0,,0.0,,1.7,0.0,0.4,0.8,0.438,1.8,1.0,0.6,1.7,9.0,1.0,NBA,9.7,0.1,1.9,,2.6,Career,0.3,,1.4,0.6,/players/b/burnsda01.html,0.438
625,1.0,0.4,2.4,0.0,,0.0,,0.4,0.1,0.7,1.0,0.4,2.4,0.5,0.522,1.0,23,0,NBA,6.2,0.6,1.4,,2.4,Career,0.3,,0.3,1.3,/players/b/burnsev01.html,0.4
626,1.5,0.38,3.9,0.0,0.0,0.1,,0.7,,,1.5,0.375,4.0,1.4,0.573,2.5,36.0,,TOT,11.2,,1.5,,4.4,Career,,,1.3,1.7,/players/b/burnsji01.html,0.375
627,1.7,0.448,3.7,0.9,0.373,2.4,,1.4,0.5,2.4,2.5,0.418,6.1,1.0,0.723,1.3,383.0,122.0,NBA,19.8,1.0,2.3,,6.9,Career,0.9,,0.9,3.5,/players/b/burresc01.html,0.491
628,,,,,,,,0.7,,,0.9,0.26,3.6,0.6,0.627,1.0,74.0,,NBA,12.5,,1.6,,2.5,Career,,,,2.8,/players/b/burriar01.html,
629,1.0,0.376,2.8,0.0,,0.0,,0.2,0.2,1.0,1.0,0.376,2.8,1.0,0.656,1.5,61,3,NBA,8.1,0.7,1.2,,3.1,Career,0.2,,0.7,1.8,/players/b/burroju01.html,0.376
630,,,,,,,,0.6,,,2.0,0.365,5.4,1.7,0.578,3.0,81.0,,NBA,14.8,,2.2,,5.7,Career,,,,4.4,/players/b/burrobo01.html,
631,0.8,0.457,1.8,0.3,0.225,1.1,,0.4,0.3,1.0,1.1,0.367,2.9,0.2,0.615,0.4,71,0,NBA,8.4,0.2,0.9,,2.6,Career,0.2,,0.4,1.2,/players/b/burtode02.html,0.411
632,,,,,,,,0.2,,,0.9,.412,2.3,0.3,.455,0.7,15,,NBA,4.7,,1.1,,2.2,Career,,,,1.2,/players/b/burtoed01.html,
633,3.0,.439,6.8,0.4,.345,1.3,,1.2,0.4,1.9,3.4,.424,8.1,2.9,.786,3.7,316,118,NBA,21.1,1.0,2.7,,10.3,Career,0.6,,1.6,2.9,/players/b/burtowi01.html,.452
634,2.1,.434,4.9,0.0,.143,0.1,,1.2,0.1,0.6,2.2,.426,5.1,1.4,.695,2.1,101,2,NBA,11.1,0.3,1.9,,5.8,Career,0.5,,1.1,0.9,/players/b/burttst01.html,.428
635,2.5,0.46,5.5,0.4,0.33,1.3,,4.6,0.2,1.9,2.9,0.44,6.5,1.0,0.779,1.3,966.0,103.0,TOT,27.1,0.8,1.6,,7.1,Career,2.0,,1.1,2.7,/players/b/busedo01.html,0.465
636,1.2,0.436,2.8,0.0,,0.0,,0.4,,1.3,1.2,0.436,2.8,0.9,0.712,1.3,47,,ABA,7.6,0.8,1.7,,3.4,Career,,,1.1,2.1,/players/b/bustida01.html,0.436
637,,,,,,,,2.1,,,2.2,0.397,5.5,1.7,0.629,2.7,279.0,,NBA,18.2,,2.5,,6.1,Career,,,,2.9,/players/b/butchdo01.html,
638,,,,,,,,2.3,,,4.0,0.439,9.1,1.8,0.739,2.4,234.0,,NBA,21.6,,2.1,,9.8,Career,,,,3.0,/players/b/butleal01.html,
639,4.4,0.456,9.6,0.8,0.348,2.4,,2.3,0.2,3.7,5.2,0.434,12.0,2.8,0.847,3.3,881.0,732.0,NBA,32.2,1.3,2.4,,14.1,Career,1.3,,1.8,5.0,/players/b/butleca01.html,0.469
640,0.5,0.368,1.4,0.0,0.0,0.1,,0.1,0.0,0.6,0.5,0.354,1.4,0.4,0.714,0.5,55.0,0.0,NBA,3.8,0.4,0.8,,1.4,Career,0.0,,0.4,1.0,/players/b/butlegr01.html,0.354
641,2.0,0.539,3.7,0.0,,0.0,,0.4,0.4,1.9,2.0,0.539,3.7,1.0,0.775,1.3,69.0,2.0,NBA,12.3,1.1,2.1,,5.0,Career,0.3,,1.1,3.0,/players/b/butleja01.html,0.539
642,0.8,0.524,1.5,0.7,0.318,2.1,,1.5,0.2,1.0,1.5,0.404,3.6,0.3,0.688,0.4,42,1,NBA,8.6,0.1,1.1,,3.8,Career,0.4,,0.8,1.1,/players/b/butleja02.html,0.497
643,4.9,0.495,10.0,0.8,0.321,2.5,,4.1,0.5,3.8,5.8,0.46,12.5,5.4,0.841,6.4,690.0,585.0,NBA,33.1,1.6,1.4,,17.7,Career,1.6,,1.6,5.3,/players/b/butleji01.html,0.492
644,2.5,0.437,5.8,0.7,0.289,2.4,,2.1,,1.3,3.2,0.393,8.2,1.7,0.866,1.9,245.0,,ABA,18.6,0.3,2.0,,8.8,Career,,,1.4,1.5,/players/b/butlemi01.html,0.436
645,1.7,.471,3.6,0.3,.304,0.9,,0.9,0.1,1.3,2.0,.438,4.5,1.0,.623,1.6,362,33,NBA,15.1,0.7,1.6,,5.2,Career,0.6,,1.0,2.0,/players/b/butlemi02.html,.468
646,1.7,.437,3.9,1.1,.362,3.1,,0.8,0.5,2.0,2.8,.403,7.0,0.7,.747,1.0,809,266,NBA,21.3,0.4,1.4,,7.5,Career,0.4,,0.7,2.4,/players/b/butlera01.html,.483
647,1.8,0.413,4.3,0.6,0.37,1.5,,1.7,0.0,1.2,2.3,0.402,5.8,1.1,0.883,1.2,49.0,0.0,NBA,14.2,0.4,1.1,,6.3,Career,0.6,,1.2,1.6,/players/b/buyckdw01.html,0.449
648,1.5,0.6,2.5,0.0,0.0,3.0,,0.5,0.0,2.5,1.5,0.273,5.5,2.0,1.0,2.0,2,0,NBA,18.5,3.0,1.0,,5.0,Career,1.0,,0.0,5.5,/players/b/byarsde01.html,0.273
649,4.6,.557,8.2,0.0,.111,0.0,,1.2,1.6,5.3,4.6,.556,8.2,2.4,.690,3.4,418,319,NBA,25.6,2.4,2.5,,11.5,Career,0.3,,1.5,7.7,/players/b/bynuman01.html,.556
650,2.9,.465,6.2,0.2,.272,0.9,,3.3,0.1,1.2,3.1,.442,7.0,1.7,.799,2.1,360,29,NBA,18.4,0.3,1.9,,8.1,Career,0.7,,1.6,1.6,/players/b/bynumwi01.html,.458
651,0.6,0.333,1.9,0.0,0.0,0.0,,0.3,,0.8,0.6,0.326,2.0,0.2,0.294,0.8,22,,ABA,5.0,0.4,1.0,,1.5,Career,,,0.4,1.1,/players/b/byrdwa01.html,0.326
652,2.2,.468,4.6,0.1,.326,0.3,,1.6,0.1,1.3,2.2,.463,4.8,1.2,.736,1.6,263,12,NBA,16.2,0.9,1.6,,5.7,Career,0.4,,1.0,2.2,/players/b/byrnema01.html,.469
653,,,,,,,,1.2,,,2.5,0.299,8.3,1.5,0.648,2.3,264.0,,TOT,,,1.5,,6.5,Career,,,,1.5,/players/b/byrneto01.html,
654,,,,,,,,0.5,,,1.5,0.244,5.9,0.6,0.5,1.2,60,,BAA,,,1.8,,3.5,Career,,,,,/players/b/bytzumi01.html,
655,1.4,0.457,3.1,0.2,0.273,0.6,,0.6,0.2,1.4,1.6,0.427,3.7,1.0,0.733,1.3,150.0,4.0,NBA,10.3,0.7,1.5,,4.3,Career,0.2,,0.8,2.1,/players/c/cabarza01.html,0.449
656,,,,,,,,1.1,,,2.8,0.42,6.7,1.0,0.665,1.4,362.0,,NBA,18.8,,2.4,,6.6,Career,,,,5.2,/players/c/cableba01.html,
657,1.0,0.498,1.9,0.6,0.308,1.9,,0.7,0.6,1.8,1.5,0.403,3.8,0.5,0.836,0.6,105.0,20.0,NBA,12.3,0.8,1.3,,4.2,Career,0.3,,0.7,2.6,/players/c/cabocbr01.html,0.48
658,1.1,0.621,1.8,0.0,,0.0,,0.2,0.3,1.6,1.1,0.621,1.8,0.3,0.5,0.5,36.0,1.0,NBA,6.3,0.6,0.7,,2.5,Career,0.4,,0.2,2.2,/players/c/cacokde01.html,0.621
659,2.8,0.483,5.7,0.0,0.0,0.0,,0.9,0.2,2.6,2.8,0.481,5.7,1.8,0.637,2.8,462.0,170.0,NBA,19.6,1.8,2.5,,7.3,Career,0.5,,1.4,4.4,/players/c/caffeja01.html,0.481
660,2.9,.517,5.6,0.0,.000,0.0,,0.9,0.6,4.8,2.9,.515,5.7,1.4,.664,2.2,1140,733,NBA,26.1,2.8,2.3,,7.3,Career,0.9,,1.0,7.6,/players/c/cagemi01.html,.515
661,,,,,,,,1.4,,,1.7,0.348,4.9,1.3,0.702,1.8,104,,NBA,16.2,,1.8,,4.7,Career,,,,1.4,/players/c/calabge01.html,
662,1.7,0.476,3.5,0.2,0.288,0.8,,2.7,0.1,1.6,1.9,0.441,4.3,0.5,0.581,0.9,129,7,NBA,15.6,0.3,1.7,,4.6,Career,1.0,,1.3,1.9,/players/c/calatni01.html,0.468
663,2.4,0.507,4.7,1.0,0.407,2.5,,5.8,0.1,2.1,3.4,0.472,7.2,1.0,0.873,1.2,895.0,591.0,NBA,26.4,0.3,1.6,,8.9,Career,0.8,,1.5,2.4,/players/c/caldejo01.html,0.543
664,0.8,.490,1.7,0.0,.000,0.0,,0.2,0.2,1.6,0.8,.485,1.7,0.3,.453,0.7,197,1,NBA,8.1,0.9,1.4,,2.0,Career,0.3,,0.6,2.5,/players/c/caldwad01.html,.485
665,2.8,0.43,6.6,0.0,0.133,0.1,,2.0,,4.5,2.8,0.425,6.7,1.4,0.631,2.2,137.0,,TOT,22.5,2.0,3.3,,7.1,Career,,,1.6,7.7,/players/c/caldwji01.html,0.426
666,6.7,.468,14.4,0.1,.225,0.3,,3.4,0.4,3.1,6.8,.466,14.5,2.6,.572,4.5,782,,TOT,32.3,2.5,3.0,,16.1,Career,2.1,,3.1,5.3,/players/c/caldwjo01.html,.467
667,2.4,0.477,5.1,1.7,0.36,4.7,,1.7,0.2,2.5,4.1,0.421,9.8,1.6,0.813,2.0,683.0,541.0,NBA,29.2,0.6,1.8,,11.6,Career,1.1,,1.0,3.1,/players/c/caldwke01.html,0.507
668,,,,,,,,2.3,,,2.6,0.341,7.8,2.5,0.702,3.5,442.0,,TOT,31.9,,1.9,,7.8,Career,,,,4.0,/players/c/calhobi01.html,
669,2.2,0.46,4.8,0.0,,0.0,,1.1,0.3,2.4,2.2,0.46,4.8,0.9,0.782,1.2,542.0,,NBA,20.1,1.1,2.4,,5.3,Career,0.6,,0.7,3.6,/players/c/calhoco01.html,0.46
670,0.4,0.231,1.9,0.1,0.2,0.7,,1.7,0.0,0.6,0.6,0.222,2.6,0.3,0.667,0.4,7,0,NBA,8.3,0.1,1.1,,1.6,Career,0.1,,0.7,0.7,/players/c/calipde01.html,0.25
671,,,,,,,,0.3,,,0.5,0.207,2.2,0.4,0.417,0.9,13,,BAA,,,0.7,,1.3,Career,,,,,/players/c/callato01.html,
672,1.2,0.395,3.0,0.0,0.0,0.0,,1.0,0.1,0.8,1.2,0.391,3.0,0.9,0.696,1.2,64,0,NBA,10.6,0.4,1.5,,3.2,Career,0.3,,0.8,1.2,/players/c/callori01.html,0.391
673,,,,,,,,3.5,,,4.6,0.291,16.0,2.6,0.707,3.7,165,,BAA,,,3.3,,11.9,Career,,,,,/players/c/calveer01.html,
674,5.2,.453,11.5,0.1,.245,0.4,,4.8,0.1,1.7,5.3,.447,11.8,5.5,.863,6.4,755,,TOT,28.6,0.8,2.5,,16.1,Career,1.1,,3.0,2.5,/players/c/calvima01.html,.451
675,2.8,0.49,5.8,0.0,0.0,0.1,,1.1,0.1,1.5,2.8,0.484,5.9,1.3,0.687,1.9,53,13,NBA,16.7,1.7,2.4,,7.0,Career,0.5,,1.2,3.2,/players/c/cambrde01.html,0.484
676,3.9,0.469,8.2,0.0,0.205,0.1,,1.9,2.4,7.1,3.9,0.466,8.3,1.8,0.67,2.6,973.0,786.0,NBA,29.5,2.7,2.8,,9.5,Career,1.0,,1.4,9.8,/players/c/cambyma01.html,0.468
677,0.7,0.46,1.6,1.0,0.328,3.1,,3.5,0.3,1.6,1.7,0.372,4.7,1.1,0.828,1.3,130,23,NBA,20.1,0.3,2.0,,5.6,Career,1.1,,1.1,1.9,/players/c/campafa01.html,0.481
678,3.9,0.461,8.4,0.0,0.054,0.0,,1.1,1.5,4.1,3.9,0.46,8.5,2.6,0.699,3.7,1044.0,671.0,NBA,24.7,1.8,2.9,,10.3,Career,0.7,,1.3,5.9,/players/c/campbel01.html,0.46
679,4.5,.463,9.7,0.1,.254,0.4,,1.5,0.2,1.7,4.6,.456,10.1,2.3,.790,2.9,690,224,NBA,22.0,1.3,2.2,,11.6,Career,0.8,,1.6,3.1,/players/c/campbto01.html,.460
680,1.1,0.404,2.6,1.6,0.351,4.4,,1.9,0.1,1.6,2.6,0.371,7.1,1.3,0.836,1.6,235.0,77.0,NBA,20.4,0.3,1.5,,8.1,Career,0.6,,1.1,1.9,/players/c/canaais01.html,0.481
681,0.6,0.584,1.1,0.2,0.333,0.7,,0.5,0.1,1.0,0.9,0.484,1.8,0.3,0.742,0.4,70,2,NBA,7.2,0.3,0.6,,2.3,Career,0.2,,0.4,1.3,/players/c/cancavl01.html,0.551
682,0.4,0.263,1.5,1.6,0.396,4.1,,0.8,0.3,0.8,2.0,0.361,5.5,0.8,0.786,1.1,13,0,NBA,16.8,0.1,1.4,,6.5,Career,0.8,,0.5,0.8,/players/c/cannade01.html,0.507
683,5.9,.417,14.1,0.1,.257,0.6,,3.6,0.2,1.2,6.0,.411,14.7,4.5,.760,5.9,213,,TOT,28.8,1.7,2.6,,16.6,Career,0.3,,3.0,2.9,/players/c/cannola01.html,.415
684,5.4,0.625,8.7,0.0,0.0,0.0,,1.0,1.5,7.1,5.4,0.624,8.7,1.6,0.527,3.0,471.0,410.0,NBA,26.8,3.5,2.4,,12.4,Career,0.7,,1.1,10.7,/players/c/capelca01.html,0.624
685,0.8,0.485,1.6,0.0,,0.0,,0.2,0.2,0.6,0.8,0.485,1.6,0.4,0.739,0.6,41,0,NBA,5.2,0.5,1.1,,2.0,Career,0.1,,0.5,1.0,/players/c/caracde01.html,0.485
686,3.6,0.463,7.9,0.0,0.176,0.1,,1.2,,3.7,3.6,0.461,7.9,2.2,0.632,3.4,306.0,,ABA,22.6,2.0,2.6,,9.5,Career,,,1.8,5.6,/players/c/cardfr01.html,0.461
687,0.9,0.432,2.1,0.5,0.372,1.4,,1.0,0.2,1.7,1.5,0.408,3.6,1.2,0.861,1.4,456.0,37.0,NBA,14.2,0.6,2.0,,4.6,Career,0.6,,0.7,2.3,/players/c/cardibr01.html,0.482
688,0.9,0.571,1.6,0.0,0.143,0.3,,0.1,0.2,1.0,1.0,0.51,1.9,0.6,0.625,0.9,26.0,5.0,NBA,6.1,0.5,0.7,,2.5,Career,0.1,,0.3,1.5,/players/c/careyve01.html,0.52
689,,,,,,,,1.8,,,2.2,0.333,6.5,1.2,0.706,1.6,31,,NBA,12.3,,1.3,,5.5,Career,,,,1.3,/players/c/carlho01.html,
690,,,,,,,,0.3,,,2.0,0.268,7.3,1.1,0.609,1.8,51,,BAA,,,2.7,,5.0,Career,,,,,/players/c/carlich01.html,
691,0.3,0.667,0.5,0.0,,0.0,,0.2,0.0,0.0,0.3,0.667,0.5,0.7,0.667,1.0,6,0,NBA,2.7,0.2,0.2,,1.3,Career,0.0,,0.2,0.2,/players/c/carlige01.html,0.667
692,0.9,.447,2.0,0.1,.229,0.3,,1.1,0.0,0.5,0.9,.422,2.2,0.3,.775,0.4,188,1,NBA,7.8,0.2,1.0,,2.2,Career,0.2,,0.6,0.8,/players/c/carliri01.html,.435
693,3.7,0.412,9.0,0.0,0.0,0.1,,2.8,,2.8,3.7,0.41,9.0,3.8,0.756,5.1,56,,ABA,27.3,2.2,4.1,,11.2,Career,,,2.5,5.0,/players/c/carlodo01.html,0.41
694,,,,,,,,0.5,0.4,1.5,1.0,0.342,2.8,0.6,0.621,1.0,28,,NBA,10.0,1.1,1.4,,2.6,Career,0.3,,,2.6,/players/c/carlsal01.html,
695,,,,,,,,1.8,,,3.3,.330,10.1,1.4,.623,2.2,180,,TOT,,,2.8,,8.0,Career,,,,1.7,/players/c/carlsdo01.html,
696,,,,,,,,0.8,,,1.3,0.375,3.4,1.1,0.525,2.1,19,,NBA,12.8,,1.9,,3.6,Career,,,,2.4,/players/c/carnebo01.html,
697,1.6,0.471,3.4,0.7,0.338,2.0,,0.4,0.3,1.4,2.3,0.422,5.3,0.8,0.704,1.1,299.0,48.0,NBA,15.4,0.5,1.4,,5.9,Career,0.5,,0.5,2.0,/players/c/carnero01.html,0.485
698,,,,,,,,1.4,,,2.6,0.337,7.8,2.4,0.768,3.1,122.0,,NBA,,,2.3,,7.7,Career,,,,4.1,/players/c/carpebo01.html,
699,3.7,.505,7.3,0.0,.130,0.0,,1.1,0.9,2.3,3.7,.503,7.4,1.9,.780,2.4,987,168,NBA,20.0,1.2,3.1,,9.3,Career,0.4,,1.2,3.4,/players/c/carran01.html,.503
700,6.4,0.449,14.2,0.0,0.154,0.1,,2.8,0.1,1.4,6.4,0.449,14.2,2.6,0.804,3.2,682.0,,NBA,28.8,1.3,2.0,,15.4,Career,0.8,,1.6,2.9,/players/c/carrau01.html,0.449
701,1.9,0.445,4.3,0.5,0.338,1.6,,1.0,0.2,1.6,2.5,0.416,5.9,1.2,0.807,1.5,297.0,66.0,NBA,15.2,0.6,1.7,,6.7,Career,0.3,,1.0,2.2,/players/c/carrch01.html,0.462
702,1.6,0.355,4.4,0.1,0.167,0.7,,1.6,0.2,1.0,1.7,0.329,5.1,0.6,0.75,0.8,42,7,NBA,14.9,0.2,1.6,,4.1,Career,0.5,,1.1,1.2,/players/c/carrco01.html,0.34
703,4.5,0.512,8.8,0.0,0.079,0.1,,1.4,0.4,5.2,4.5,0.51,8.9,2.5,0.684,3.7,674.0,235.0,NBA,25.5,2.2,3.2,,11.6,Career,0.7,,2.1,7.4,/players/c/carrke01.html,0.51
704,3.9,0.478,8.2,0.1,0.275,0.4,,2.0,0.4,2.9,4.0,0.472,8.5,1.9,0.737,2.6,678.0,42.0,TOT,24.2,1.6,2.5,,10.0,Career,1.4,,1.7,4.5,/players/c/carrml01.html,0.476
705,5.8,0.425,13.7,1.1,0.377,3.0,,2.6,,2.4,7.0,0.417,16.8,4.9,0.851,5.8,350.0,,ABA,35.3,0.7,3.1,,20.0,Career,,,2.6,3.4,/players/c/carrida01.html,0.451
706,3.3,.429,7.6,0.0,.000,0.2,,1.5,0.3,1.4,3.3,.428,7.6,1.7,.760,2.2,82,,NBA,21.8,0.9,2.7,,8.2,Career,0.8,,1.5,2.3,/players/c/carribo01.html,.428
707,2.0,0.485,4.1,1.1,0.358,3.2,,1.3,0.3,3.1,3.1,0.43,7.3,1.5,0.741,2.1,578.0,339.0,NBA,23.7,1.1,1.9,,8.9,Career,0.9,,0.9,4.2,/players/c/carrode01.html,0.508
708,7.1,.475,15.0,0.0,.000,0.0,,1.8,1.6,5.3,7.1,.474,15.0,3.4,.747,4.6,705,533,NBA,32.4,2.4,3.1,,17.7,Career,1.0,,2.8,7.7,/players/c/carrojo01.html,.474
709,1.5,0.429,3.5,0.7,0.384,2.0,,0.7,0.1,1.6,2.2,0.413,5.4,1.3,0.841,1.6,459.0,84.0,NBA,16.5,0.3,1.5,,6.6,Career,0.5,,0.6,1.9,/players/c/carroma01.html,0.482
710,0.5,0.667,0.8,0.0,,0.0,,0.0,0.5,1.0,0.5,0.667,0.8,0.3,1.0,0.3,4,0,NBA,5.3,0.0,1.0,,1.3,Career,0.0,,0.3,1.0,/players/c/carruji01.html,0.667
711,1.8,0.432,4.1,0.2,0.25,0.7,,3.8,0.2,1.7,2.0,0.404,4.9,0.7,0.706,1.0,623.0,181.0,NBA,19.6,0.4,1.8,,4.8,Career,1.0,,1.5,2.1,/players/c/cartean01.html,0.423
712,3.4,0.486,7.0,0.1,0.307,0.5,,1.9,0.1,0.9,3.6,0.475,7.5,1.4,0.788,1.8,361.0,93.0,NBA,18.9,0.6,2.2,,8.7,Career,0.9,,1.3,1.5,/players/c/cartebu01.html,0.485
713,,,,,,,,3.5,0.2,2.7,6.4,0.425,15.1,2.4,0.693,3.4,611.0,,NBA,30.0,1.1,2.8,,15.2,Career,1.2,,,3.9,/players/c/cartefr01.html,
714,6.7,.449,15.0,0.1,.301,0.3,,2.0,0.3,4.3,6.8,.445,15.3,4.4,.813,5.4,479,,TOT,33.9,2.5,3.4,,18.1,Career,1.0,,2.5,6.8,/players/c/cartege01.html,.449
715,2.2,0.454,4.8,0.1,0.227,0.3,,1.1,0.1,0.8,2.3,0.44,5.1,0.7,0.774,0.9,66.0,5.0,NBA,11.4,0.6,1.3,,5.3,Career,0.3,,0.8,1.3,/players/c/carteho01.html,0.447
716,,,,,,,,1.0,,,1.0,0.307,3.1,1.5,0.679,2.2,24.0,,NBA,,,2.5,,3.4,Career,,,,,/players/c/carteja01.html,
717,0.6,0.391,1.5,1.0,0.383,2.6,,1.4,0.2,1.4,1.6,0.386,4.1,0.3,0.81,0.4,223.0,9.0,NBA,14.1,0.3,1.2,,4.4,Career,0.6,,0.5,1.7,/players/c/carteje01.html,0.507
718,0.7,0.292,2.4,0.4,0.364,1.1,,0.4,0.0,0.9,1.1,0.314,3.5,1.6,0.8,2.0,10.0,0.0,NBA,11.0,0.2,1.0,,4.2,Career,0.0,,0.9,1.1,/players/c/cartema01.html,0.371
719,1.3,0.39,3.4,0.0,0.0,0.0,,1.5,0.1,0.7,1.3,0.388,3.4,0.9,0.772,1.1,135,1.0,NBA,10.8,0.5,1.4,,3.5,Career,0.4,,0.9,1.2,/players/c/cartere01.html,0.388
720,1.2,0.429,2.7,0.0,,0.0,,0.6,0.2,0.6,1.2,0.429,2.7,0.6,0.623,1.0,59.0,,NBA,7.6,0.4,1.2,,3.0,Career,0.3,,0.8,1.1,/players/c/cartero01.html,0.429
721,4.5,0.462,9.8,1.5,0.371,4.0,,3.1,0.6,3.2,6.0,0.435,13.8,3.1,0.798,3.9,1541.0,983.0,NBA,30.1,1.1,2.6,,16.7,Career,1.0,,1.7,4.3,/players/c/cartevi01.html,0.489
722,4.2,0.559,7.5,0.5,0.298,1.6,,2.0,0.9,6.4,4.7,0.513,9.1,2.3,0.731,3.2,203.0,192.0,NBA,27.6,2.4,3.1,,12.2,Career,0.6,,1.6,8.9,/players/c/cartewe01.html,0.539
723,3.4,0.436,7.7,0.5,0.255,1.8,,4.4,0.5,3.4,3.8,0.402,9.5,2.2,0.706,3.1,391.0,217.0,NBA,25.3,1.0,2.5,,10.3,Career,1.3,,2.3,4.4,/players/c/cartemi01.html,0.426
724,4.8,.525,9.2,0.0,.000,0.0,,1.4,0.7,4.5,4.8,.525,9.2,3.5,.771,4.6,963,676,NBA,28.5,1.9,2.9,,13.2,Career,0.5,,2.0,6.3,/players/c/cartwbi01.html,.525
725,,,,,,,,0.4,,,1.2,0.382,3.2,0.3,0.727,0.4,28,,NBA,6.9,,1.1,,2.7,Career,,,,2.1,/players/c/cartyja01.html,
726,1.4,0.463,3.0,0.8,0.366,2.1,,2.7,0.3,2.0,2.1,0.422,5.1,1.1,0.736,1.5,225.0,37.0,NBA,20.6,0.5,1.9,,6.2,Career,1.1,,1.2,2.5,/players/c/carusal01.html,0.499
727,,,,,,,,0.2,0.2,1.3,1.5,0.391,3.8,0.5,0.5,1.0,6,,NBA,8.2,1.3,1.3,,3.5,Career,0.3,,,2.7,/players/c/cashco01.html,
728,0.6,0.222,2.6,0.0,,0.0,,0.0,0.4,1.1,0.6,0.222,2.6,1.7,0.706,2.4,7,,ABA,7.4,1.6,1.6,,2.9,Career,0.7,,2.3,2.7,/players/c/cashsa01.html,0.222
729,5.1,0.477,10.6,0.7,0.331,2.0,,6.0,0.2,2.6,5.7,0.454,12.6,3.6,0.861,4.2,993.0,690.0,NBA,30.0,0.6,2.8,,15.7,Career,1.1,,2.4,3.2,/players/c/cassesa01.html,0.48
730,2.1,0.502,4.2,0.8,0.368,2.3,,1.1,0.2,3.2,2.9,0.454,6.4,1.2,0.678,1.8,588.0,145.0,NBA,20.3,0.8,1.6,,7.9,Career,0.6,,1.0,4.0,/players/c/casspom01.html,0.52
731,1.3,0.436,2.9,0.0,0.0,0.0,,0.8,1.7,3.3,1.3,0.435,2.9,0.7,0.647,1.0,725.0,90.0,NBA,18.2,1.7,2.8,,3.2,Career,0.4,,1.1,5.0,/players/c/catchha01.html,0.435
732,5.0,.487,10.3,0.0,.094,0.1,,0.9,0.2,3.6,5.0,.485,10.3,2.7,.654,4.1,515,379,NBA,26.3,2.9,2.5,,12.7,Career,0.6,,1.7,6.4,/players/c/catlete01.html,.485
733,,,,,,,,0.1,,,0.2,0.222,1.0,0.2,0.222,1.0,9,,NBA,4.4,,0.3,,0.7,Career,,,,0.4,/players/c/catlesi01.html,
734,2.1,0.509,4.1,0.0,0.077,0.0,,0.5,1.3,3.7,2.1,0.507,4.1,1.3,0.644,2.0,541.0,248.0,NBA,19.6,1.6,2.5,,5.5,Career,0.5,,0.8,5.3,/players/c/catoke01.html,0.507
735,1.1,.412,2.7,0.0,.143,0.1,,0.1,0.0,0.9,1.1,.404,2.8,0.8,.765,1.1,78,1,NBA,6.7,0.5,1.0,,3.1,Career,0.2,,0.4,1.4,/players/c/cattabo01.html,.406
736,3.7,0.548,6.7,0.0,0.188,0.1,,1.4,0.8,4.2,3.7,0.544,6.8,1.3,0.612,2.2,422.0,256.0,NBA,22.0,1.6,2.3,,8.7,Career,0.8,,0.9,5.9,/players/c/caulewi01.html,0.545
737,0.5,0.4,1.3,0.5,0.667,0.8,,1.0,0.0,0.5,1.0,0.5,2.0,0.0,,0.0,4,0,NBA,4.0,0.3,0.0,,2.5,Career,0.3,,0.0,0.8,/players/c/caupatr01.html,0.625
738,1.9,0.508,3.7,0.0,0.286,0.0,,0.4,1.4,2.7,1.9,0.507,3.8,1.1,0.618,1.8,541.0,262.0,NBA,17.4,1.5,2.7,,4.9,Career,0.4,,0.9,4.2,/players/c/causwdu01.html,0.508
739,0.7,0.544,1.4,0.7,0.351,1.9,,0.6,0.1,1.7,1.4,0.432,3.2,0.4,0.826,0.5,50.0,1.0,NBA,11.1,1.0,1.3,,3.8,Career,0.2,,0.3,2.7,/players/c/cavanty01.html,0.534
740,0.5,.337,1.5,0.0,,0.0,,0.3,0.8,2.0,0.5,.337,1.5,0.4,.545,0.8,58,2,NBA,11.5,0.9,2.2,,1.4,Career,0.2,,0.8,2.9,/players/c/cavenro01.html,.337
741,1.0,1.0,1.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,1,0,NBA,1.0,0.0,0.0,,2.0,Career,0.0,,0.0,0.0,/players/c/caverah01.html,1.0
742,5.2,0.524,10.0,0.4,0.309,1.2,,1.2,0.3,3.3,5.6,0.5,11.2,2.7,0.753,3.6,609.0,313.0,NBA,24.2,2.1,1.8,,14.3,Career,0.7,,1.6,5.3,/players/c/cebalce01.html,0.518
